model	nDCG	Recall	Precision	nDCGRendle2020	HR	F1	MAP	MAR	MRR	ACLT	APLT	ARP	PopREO	PopRSP	ItemCoverage	UserCoverage	Gini	SEntropy	EFD	EPC
EASER_neighborhood=2234_l2_norm=914$8550939205305	0.05289958983261183	0.1550330639235856	0.007097722263041881	0.05289958983261183	0.30639235855988245	0.01349186258781361	0.007537857576060042	0.08204237080578006	0.03301783512776028	0.4805290227773696	0.009610580455547392	62.320264511388686	0.9463016499225351	0.9914300415001959	1034.0	1361.0	0.05453882103100516	7.264939416785359	0.06042614787277842	0.006991534970732601
EASER_neighborhood=2234_l2_norm=826$1068781180943	0.053089642865122716	0.1552779818760715	0.007097722263041882	0.053089642865122716	0.30639235855988245	0.013491883497738695	0.007593533239949094	0.08240631888317414	0.033335840915528214	0.49301983835415136	0.009860396767083028	62.045980896399705	0.9463016499225351	0.9912060458076687	1045.0	1361.0	0.05553678326538025	7.290770277917892	0.060720916505160594	0.0070166420685465036
EASER_neighborhood=2234_l2_norm=1676$4028275510354	0.05166300006590275	0.15252265491060493	0.0070095518001469515	0.05166300006590275	0.3019838354151359	0.01332380254995424	0.0072786523657482035	0.07973083517021798	0.03181172764495266	0.44599559147685525	0.008919911829537105	63.461778104335046	0.9456347730470076	0.9920489979580037	1001.0	1361.0	0.05070978275569171	7.157612977030489	0.0588660278431637	0.00683507746130865
EASER_neighborhood=2234_l2_norm=895$216699479292	0.052934580150020595	0.1550330639235856	0.007083027185892726	0.052934580150020595	0.3056576047024247	0.013464156937079913	0.007555749243319034	0.08214156257653685	0.03315481204894847	0.4819985304922851	0.009639970609845701	62.264819985304925	0.9461916422592468	0.9914036923159356	1037.0	1361.0	0.05476850646882825	7.270432523552679	0.0604640659285081	0.0069926122352101374
EASER_neighborhood=2234_l2_norm=1626$6680168311527	0.05163069777273729	0.15227773695811903	0.006994856722997795	0.05163069777273729	0.30124908155767816	0.013296075989295457	0.007287586314615693	0.07983247612049964	0.031835135718886215	0.44893460690668624	0.008978692138133725	63.41534166054372	0.9455220131900897	0.991996339430189	1003.0	1361.0	0.05085262706585747	7.161772979375372	0.05880338634938273	0.0068284261882995525
EASER_neighborhood=2234_l2_norm=1601$111348798274	0.05163541237333152	0.15227773695811903	0.006994856722997795	0.05163541237333152	0.3005143277002204	0.013296075989295457	0.007290461388145034	0.07985819250551064	0.03182886515187994	0.44893460690668624	0.008978692138133725	63.38846436443791	0.9455220131900897	0.991996339430189	1003.0	1361.0	0.05093025497900194	7.164206728418525	0.05881445515777374	0.006829339771971986
EASER_neighborhood=2234_l2_norm=1470$7157557912808	0.05171352770900177	0.152400195934362	0.006994856722997795	0.05171352770900177	0.30124908155767816	0.013296609192385051	0.007315037582599201	0.08017438158216997	0.03189064358852772	0.449669360764144	0.00899338721528288	63.2677149155033	0.9455220131900897	0.9919831742572145	1005.0	1361.0	0.05129848083963928	7.17550122368044	0.05890920158200179	0.006836277202637395
EASER_neighborhood=2234_l2_norm=1237$9879234196092	0.052165588103445036	0.15328190056331129	0.007024246877296105	0.052165588103445036	0.3027185892725937	0.013352141391237471	0.00739888195941121	0.08084692627969631	0.0324214806629252	0.4562821454812638	0.009125642909625276	62.97196179279941	0.945747067081928	0.9918646779609582	1013.0	1361.0	0.05227623981076035	7.203204849801133	0.05945658437711146	0.0068941515709256005
EASER_neighborhood=2234_l2_norm=1091$3721047037218	0.05244441871214269	0.15389419544452607	0.007053637031594417	0.05244441871214269	0.3041880969875092	0.01340812771564463	0.007457481875680799	0.08137766348273329	0.032651229256578145	0.4628949301983835	0.00925789860396767	62.717222630418796	0.9459702691844114	0.9917461641308837	1020.0	1361.0	0.053122763122003036	7.2269037673624945	0.05982133867367118	0.006932442298246413
EASER_neighborhood=2234_l2_norm=1911$401192756757	0.05135271595404577	0.15215527798187606	0.006994856722997795	0.05135271595404577	0.3019838354151359	0.013295542786205867	0.0072337439113789705	0.07935023267205486	0.03142552968430973	0.44158706833210876	0.008831741366642174	63.64066127847171	0.9455220131900897	0.9921279792580678	997.0	1361.0	0.050197883395583065	7.141821311955633	0.05853676822497302	0.006799196191126605
