model	metric	value
EASER_neighborhood=2234_l2_norm=914$8550939205305	nDCG	0.05289958983261183
EASER_neighborhood=2234_l2_norm=914$8550939205305	Recall	0.1550330639235856
EASER_neighborhood=2234_l2_norm=914$8550939205305	Precision	0.007097722263041881
EASER_neighborhood=2234_l2_norm=914$8550939205305	nDCGRendle2020	0.05289958983261183
EASER_neighborhood=2234_l2_norm=914$8550939205305	HR	0.30639235855988245
EASER_neighborhood=2234_l2_norm=914$8550939205305	F1	0.01349186258781361
EASER_neighborhood=2234_l2_norm=914$8550939205305	MAP	0.007537857576060042
EASER_neighborhood=2234_l2_norm=914$8550939205305	MAR	0.08204237080578006
EASER_neighborhood=2234_l2_norm=914$8550939205305	MRR	0.03301783512776028
EASER_neighborhood=2234_l2_norm=914$8550939205305	ACLT	0.4805290227773696
EASER_neighborhood=2234_l2_norm=914$8550939205305	APLT	0.009610580455547392
EASER_neighborhood=2234_l2_norm=914$8550939205305	ARP	62.320264511388686
EASER_neighborhood=2234_l2_norm=914$8550939205305	PopREO	0.9463016499225351
EASER_neighborhood=2234_l2_norm=914$8550939205305	PopRSP	0.9914300415001959
EASER_neighborhood=2234_l2_norm=914$8550939205305	ItemCoverage	1034.0
EASER_neighborhood=2234_l2_norm=914$8550939205305	UserCoverage	1361.0
EASER_neighborhood=2234_l2_norm=914$8550939205305	Gini	0.05453882103100516
EASER_neighborhood=2234_l2_norm=914$8550939205305	SEntropy	7.264939416785359
EASER_neighborhood=2234_l2_norm=914$8550939205305	EFD	0.06042614787277842
EASER_neighborhood=2234_l2_norm=914$8550939205305	EPC	0.006991534970732601
EASER_neighborhood=2234_l2_norm=826$1068781180943	nDCG	0.053089642865122716
EASER_neighborhood=2234_l2_norm=826$1068781180943	Recall	0.1552779818760715
EASER_neighborhood=2234_l2_norm=826$1068781180943	Precision	0.007097722263041882
EASER_neighborhood=2234_l2_norm=826$1068781180943	nDCGRendle2020	0.053089642865122716
EASER_neighborhood=2234_l2_norm=826$1068781180943	HR	0.30639235855988245
EASER_neighborhood=2234_l2_norm=826$1068781180943	F1	0.013491883497738695
EASER_neighborhood=2234_l2_norm=826$1068781180943	MAP	0.007593533239949094
EASER_neighborhood=2234_l2_norm=826$1068781180943	MAR	0.08240631888317414
EASER_neighborhood=2234_l2_norm=826$1068781180943	MRR	0.033335840915528214
EASER_neighborhood=2234_l2_norm=826$1068781180943	ACLT	0.49301983835415136
EASER_neighborhood=2234_l2_norm=826$1068781180943	APLT	0.009860396767083028
EASER_neighborhood=2234_l2_norm=826$1068781180943	ARP	62.045980896399705
EASER_neighborhood=2234_l2_norm=826$1068781180943	PopREO	0.9463016499225351
