model	metric	value
EASER_neighborhood=2234_l2_norm=826$1068781180943	nDCG	0.0318069699815584
EASER_neighborhood=2234_l2_norm=826$1068781180943	Recall	0.06889542003428852
EASER_neighborhood=2234_l2_norm=826$1068781180943	Precision	0.007935341660543719
EASER_neighborhood=2234_l2_norm=826$1068781180943	nDCGRendle2020	0.0318069699815584
EASER_neighborhood=2234_l2_norm=826$1068781180943	HR	0.14768552534900808
EASER_neighborhood=2234_l2_norm=826$1068781180943	F1	0.014049093523265327
EASER_neighborhood=2234_l2_norm=826$1068781180943	MAP	0.008018160388306007
EASER_neighborhood=2234_l2_norm=826$1068781180943	MAR	0.03621356845456772
EASER_neighborhood=2234_l2_norm=826$1068781180943	MRR	0.02852732877889098
EASER_neighborhood=2234_l2_norm=826$1068781180943	ACLT	0.09772226304188097
EASER_neighborhood=2234_l2_norm=826$1068781180943	APLT	0.004886113152094048
EASER_neighborhood=2234_l2_norm=826$1068781180943	ARP	92.87744305657606
EASER_neighborhood=2234_l2_norm=826$1068781180943	PopREO	0.9485121827955343
EASER_neighborhood=2234_l2_norm=826$1068781180943	PopRSP	0.9956544363757237
EASER_neighborhood=2234_l2_norm=826$1068781180943	ItemCoverage	478.0
EASER_neighborhood=2234_l2_norm=826$1068781180943	UserCoverage	1361.0
EASER_neighborhood=2234_l2_norm=826$1068781180943	Gini	0.02434963754226982
EASER_neighborhood=2234_l2_norm=826$1068781180943	SEntropy	6.093733081700565
EASER_neighborhood=2234_l2_norm=826$1068781180943	EFD	0.06434190530556323
EASER_neighborhood=2234_l2_norm=826$1068781180943	EPC	0.007572800700799684
