model	metric	value
EASER_neighborhood=1507_l2_norm=914$8550939205305	nDCG	0.2790719288113126
EASER_neighborhood=1507_l2_norm=914$8550939205305	Recall	0.2938380546060012
EASER_neighborhood=1507_l2_norm=914$8550939205305	Precision	0.10893155258764607
EASER_neighborhood=1507_l2_norm=914$8550939205305	nDCGRendle2020	0.25997641067600546
EASER_neighborhood=1507_l2_norm=914$8550939205305	HR	0.8530884808013356
EASER_neighborhood=1507_l2_norm=914$8550939205305	F1	0.1563188194668281
EASER_neighborhood=1507_l2_norm=914$8550939205305	MAP	0.16656621115588785
EASER_neighborhood=1507_l2_norm=914$8550939205305	MAR	0.19649754661649488
EASER_neighborhood=1507_l2_norm=914$8550939205305	MRR	0.44525163593315104
EASER_neighborhood=1507_l2_norm=914$8550939205305	ACLT	0.9560378408458542
EASER_neighborhood=1507_l2_norm=914$8550939205305	APLT	0.04780189204229272
EASER_neighborhood=1507_l2_norm=914$8550939205305	ARP	144.1860322760156
EASER_neighborhood=1507_l2_norm=914$8550939205305	PopREO	0.7513362255986435
EASER_neighborhood=1507_l2_norm=914$8550939205305	PopRSP	0.9278193661890635
EASER_neighborhood=1507_l2_norm=914$8550939205305	ItemCoverage	929.0
EASER_neighborhood=1507_l2_norm=914$8550939205305	UserCoverage	1797.0
EASER_neighborhood=1507_l2_norm=914$8550939205305	Gini	0.14906051919201324
EASER_neighborhood=1507_l2_norm=914$8550939205305	SEntropy	8.199634022621762
EASER_neighborhood=1507_l2_norm=914$8550939205305	EFD	1.1801394889359988
EASER_neighborhood=1507_l2_norm=914$8550939205305	EPC	0.12515892799220263
EASER_neighborhood=1507_l2_norm=826$1068781180943	nDCG	0.2902662828393945
EASER_neighborhood=1507_l2_norm=826$1068781180943	Recall	0.29984232980894077
EASER_neighborhood=1507_l2_norm=826$1068781180943	Precision	0.11188091263216472
EASER_neighborhood=1507_l2_norm=826$1068781180943	nDCGRendle2020	0.26931391310203173
EASER_neighborhood=1507_l2_norm=826$1068781180943	HR	0.8631051752921536
EASER_neighborhood=1507_l2_norm=826$1068781180943	F1	0.1603039695077399
EASER_neighborhood=1507_l2_norm=826$1068781180943	MAP	0.17375965845562685
EASER_neighborhood=1507_l2_norm=826$1068781180943	MAR	0.20254297285599457
EASER_neighborhood=1507_l2_norm=826$1068781180943	MRR	0.4662204598140782
EASER_neighborhood=1507_l2_norm=826$1068781180943	ACLT	1.0044518642181413
EASER_neighborhood=1507_l2_norm=826$1068781180943	APLT	0.050222593210907066
EASER_neighborhood=1507_l2_norm=826$1068781180943	ARP	141.41841958820257
EASER_neighborhood=1507_l2_norm=826$1068781180943	PopREO	0.754327942150323
EASER_neighborhood=1507_l2_norm=826$1068781180943	PopRSP	0.9241168548416498
EASER_neighborhood=1507_l2_norm=826$1068781180943	ItemCoverage	957.0
EASER_neighborhood=1507_l2_norm=826$1068781180943	UserCoverage	1797.0
EASER_neighborhood=1507_l2_norm=826$1068781180943	Gini	0.15813466593651326
EASER_neighborhood=1507_l2_norm=826$1068781180943	SEntropy	8.288629016721304
EASER_neighborhood=1507_l2_norm=826$1068781180943	EFD	1.2250259074046501
EASER_neighborhood=1507_l2_norm=826$1068781180943	EPC	0.12997402906702749
EASER_neighborhood=1507_l2_norm=1676$4028275510354	nDCG	0.3127163291321237
EASER_neighborhood=1507_l2_norm=1676$4028275510354	Recall	0.3231658142759979
EASER_neighborhood=1507_l2_norm=1676$4028275510354	Precision	0.12209237618252645
EASER_neighborhood=1507_l2_norm=1676$4028275510354	nDCGRendle2020	0.2922588727091896
EASER_neighborhood=1507_l2_norm=1676$4028275510354	HR	0.8797996661101837
EASER_neighborhood=1507_l2_norm=1676$4028275510354	F1	0.17446193083950998
EASER_neighborhood=1507_l2_norm=1676$4028275510354	MAP	0.1909269547908669
EASER_neighborhood=1507_l2_norm=1676$4028275510354	MAR	0.2185392872600719
EASER_neighborhood=1507_l2_norm=1676$4028275510354	MRR	0.4930890858697523
EASER_neighborhood=1507_l2_norm=1676$4028275510354	ACLT	0.6844741235392321
EASER_neighborhood=1507_l2_norm=1676$4028275510354	APLT	0.034223706176961605
EASER_neighborhood=1507_l2_norm=1676$4028275510354	ARP	155.70244852531997
