model	metric	value
EASER_neighborhood=1507_l2_norm=1676$4028275510354	nDCG	0.3127163291321237
EASER_neighborhood=1507_l2_norm=1676$4028275510354	Recall	0.3231658142759979
EASER_neighborhood=1507_l2_norm=1676$4028275510354	Precision	0.12209237618252645
EASER_neighborhood=1507_l2_norm=1676$4028275510354	nDCGRendle2020	0.2922588727091896
EASER_neighborhood=1507_l2_norm=1676$4028275510354	HR	0.8797996661101837
EASER_neighborhood=1507_l2_norm=1676$4028275510354	F1	0.17446193083950998
EASER_neighborhood=1507_l2_norm=1676$4028275510354	MAP	0.1909269547908669
EASER_neighborhood=1507_l2_norm=1676$4028275510354	MAR	0.2185392872600719
EASER_neighborhood=1507_l2_norm=1676$4028275510354	MRR	0.4930890858697523
EASER_neighborhood=1507_l2_norm=1676$4028275510354	ACLT	0.6844741235392321
EASER_neighborhood=1507_l2_norm=1676$4028275510354	APLT	0.034223706176961605
EASER_neighborhood=1507_l2_norm=1676$4028275510354	ARP	155.70244852531997
EASER_neighborhood=1507_l2_norm=1676$4028275510354	PopREO	0.8069458535928508
EASER_neighborhood=1507_l2_norm=1676$4028275510354	PopRSP	0.9485022806406807
EASER_neighborhood=1507_l2_norm=1676$4028275510354	ItemCoverage	824.0
EASER_neighborhood=1507_l2_norm=1676$4028275510354	UserCoverage	1797.0
EASER_neighborhood=1507_l2_norm=1676$4028275510354	Gini	0.12524500403136074
EASER_neighborhood=1507_l2_norm=1676$4028275510354	SEntropy	7.955664358979828
EASER_neighborhood=1507_l2_norm=1676$4028275510354	EFD	1.3160268985394736
EASER_neighborhood=1507_l2_norm=1676$4028275510354	EPC	0.14097337583880812
