model	metric	value
EASER_neighborhood=1862_l2_norm=914$8550939205305	nDCG	0.0730773330019856
EASER_neighborhood=1862_l2_norm=914$8550939205305	Recall	0.09993749784507001
EASER_neighborhood=1862_l2_norm=914$8550939205305	Precision	0.03808724832214765
EASER_neighborhood=1862_l2_norm=914$8550939205305	nDCGRendle2020	0.07868442003711215
EASER_neighborhood=1862_l2_norm=914$8550939205305	HR	0.6778523489932886
EASER_neighborhood=1862_l2_norm=914$8550939205305	F1	0.04588996350761458
EASER_neighborhood=1862_l2_norm=914$8550939205305	MAP	0.05447007991951857
EASER_neighborhood=1862_l2_norm=914$8550939205305	MAR	0.06455014579926585
EASER_neighborhood=1862_l2_norm=914$8550939205305	MRR	0.16222641736671808
EASER_neighborhood=1862_l2_norm=914$8550939205305	ACLT	6.897651006711409
EASER_neighborhood=1862_l2_norm=914$8550939205305	APLT	0.1379530201342282
EASER_neighborhood=1862_l2_norm=914$8550939205305	ARP	65.55657718120806
EASER_neighborhood=1862_l2_norm=914$8550939205305	PopREO	0.8622061812240623
EASER_neighborhood=1862_l2_norm=914$8550939205305	PopRSP	0.7630392973128793
EASER_neighborhood=1862_l2_norm=914$8550939205305	ItemCoverage	797.0
EASER_neighborhood=1862_l2_norm=914$8550939205305	UserCoverage	596.0
EASER_neighborhood=1862_l2_norm=914$8550939205305	Gini	0.12516374612768644
EASER_neighborhood=1862_l2_norm=914$8550939205305	SEntropy	8.307560092749647
EASER_neighborhood=1862_l2_norm=914$8550939205305	EFD	0.3970482906440208
EASER_neighborhood=1862_l2_norm=914$8550939205305	EPC	0.036508630151192906
EASER_neighborhood=1862_l2_norm=826$1068781180943	nDCG	0.08770833780850254
EASER_neighborhood=1862_l2_norm=826$1068781180943	Recall	0.10463864845987453
EASER_neighborhood=1862_l2_norm=826$1068781180943	Precision	0.037416107382550336
EASER_neighborhood=1862_l2_norm=826$1068781180943	nDCGRendle2020	0.09044021007618304
EASER_neighborhood=1862_l2_norm=826$1068781180943	HR	0.7080536912751678
EASER_neighborhood=1862_l2_norm=826$1068781180943	F1	0.045795966102719125
EASER_neighborhood=1862_l2_norm=826$1068781180943	MAP	0.06354450332514408
EASER_neighborhood=1862_l2_norm=826$1068781180943	MAR	0.07564266270800157
EASER_neighborhood=1862_l2_norm=826$1068781180943	MRR	0.20878510978461273
EASER_neighborhood=1862_l2_norm=826$1068781180943	ACLT	14.946308724832214
EASER_neighborhood=1862_l2_norm=826$1068781180943	APLT	0.2989261744966443
EASER_neighborhood=1862_l2_norm=826$1068781180943	ARP	62.097516778523485
EASER_neighborhood=1862_l2_norm=826$1068781180943	PopREO	0.5993273912576579
EASER_neighborhood=1862_l2_norm=826$1068781180943	PopRSP	0.47263673064973666
EASER_neighborhood=1862_l2_norm=826$1068781180943	ItemCoverage	951.0
EASER_neighborhood=1862_l2_norm=826$1068781180943	UserCoverage	596.0
EASER_neighborhood=1862_l2_norm=826$1068781180943	Gini	0.14096895296964518
EASER_neighborhood=1862_l2_norm=826$1068781180943	SEntropy	8.455219467509371
EASER_neighborhood=1862_l2_norm=826$1068781180943	EFD	0.4293999686009435
EASER_neighborhood=1862_l2_norm=826$1068781180943	EPC	0.03893009246640657
EASER_neighborhood=1862_l2_norm=1676$4028275510354	nDCG	0.07436822490174107
EASER_neighborhood=1862_l2_norm=1676$4028275510354	Recall	0.11451950044167893
EASER_neighborhood=1862_l2_norm=1676$4028275510354	Precision	0.04419463087248322
EASER_neighborhood=1862_l2_norm=1676$4028275510354	nDCGRendle2020	0.08264019525736879
EASER_neighborhood=1862_l2_norm=1676$4028275510354	HR	0.7214765100671141
EASER_neighborhood=1862_l2_norm=1676$4028275510354	F1	0.053141124306031996
EASER_neighborhood=1862_l2_norm=1676$4028275510354	MAP	0.04930947848147186
EASER_neighborhood=1862_l2_norm=1676$4028275510354	MAR	0.0630541892686873
EASER_neighborhood=1862_l2_norm=1676$4028275510354	MRR	0.14708377600750036
EASER_neighborhood=1862_l2_norm=1676$4028275510354	ACLT	1.1963087248322148
