userId	title	bookId	rank
751	 The Book Thief 	266	1
751	 To Kill a Mockingbird 	305	2
751	 The Catcher in the Rye 	3	3
751	 1984 	705	4
751	 The Great Gats	6	5
751	 Pride and Prejudice 	61	6
751	 The Lord of the Rings 	50	7
751	 The Hobbit 	19	8
751	 The Chronicles of Narnia 	254	9
751	 The Hunger Games Trilogy 	964	10
751	 The Help 	269	12
751	 The Color Purple 	411	13
751	 The Secret Life of Bees 	102	14
751	 The Alchemist 	113	15
751	 The Da Vinci Code 	278	16
751	 Angels and Demons 	96	17
751	 The Girl with the Dragon Tattoo 	668	18
751	 The Girl Who Kicked the Hornet's Nest 	299	19
751	 The Girl Who Takes an Eye for an Eye 	299	20
751	 The Immortalists 	513	22
751	 The Nightingale 	894	23
751	 The Alice Network 	190	25
751	 The Silent Patient 	567	26
751	 The Testaments 	2469	27
751	 The Handmaid's Tale 	1240	28
751	 The Dutch House 	2606	29
751	 The Goldfinch 	2479	30
751	 The Help 	269	31
751	 The Lovely Bones 	353	32
751	 The Time Traveler's Wife 	227	33
751	 The Martian 	521	34
751	 The Hunger Games 	331	35
751	 The Catching Fire 	211	36
751	 The Mockingjay 	402	37
751	 The Maze Runner 	14	38
751	 The Scorch Trials 	1588	39
751	 The Death Cure 	1970	40
751	 The Giver 	42	41
751	 The Outsiders 	38	42
751	 The Perks of Being a Wallflower 	171	43
751	 Looking for Alaska 	373	45
751	 Paper Towns 	464	46
751	 An Abundance of Katherines 	811	47
751	 For Whom the Bell Tolls 	358	50
1084	 Frankenstein 	32	1
1084	 The Picture of Dorian Gray 	5	2
1084	 To Kill a Mockingbird 	305	3
1084	 The Great Gats	6	4
1084	 1984 	705	5
1084	 Animal Farm 	187	6
1084	 The Hobbit 	19	7
1084	 The Lord of the Rings 	50	8
1084	 The Hitchhiker's Guide to the Galaxy 	1736	9
1084	 The Chronicles of Narnia 	254	10
1084	 The Adventures of Sherlock Holmes 	158	11
1084	 The Hound of the Baskervilles 	1880	12
1084	 The Time Machine 	673	13
1084	 The War of the Worlds 	783	14
1084	 The Invisible Man 	40	15
1084	 The Strange Case of Dr. Jekyll and Mr. Hyde 	43	16
1084	 Treasure Island 	167	17
1084	 The Adventures of Tom Sawyer 	169	18
1084	 The Adventures of Huckleberry Finn 	249	19
1084	 The Call of the Wild 	326	20
1084	 White Fang 	252	21
1084	 The Old Man and the Sea 	390	22
1084	 For Whom the Bell Tolls 	358	23
1084	 One Hundred Years of Solitude 	320	25
1084	 Love in the Time of Cholera 	318	26
1084	 The Name of the Rose 	1626	27
1084	 The Da Vinci Code 	278	28
1084	 Angels and Demons 	96	29
1084	 The Girl with the Dragon Tattoo 	668	30
1084	 The Girl Who Played with Fire 	395	31
1084	 The Girl Who Kicked the Hornet's Nest 	299	32
1084	 The Hunger Games 	331	33
1084	 Catching Fire 	211	34
1084	 Mockingjay 	402	35
1084	 The Maze Runner 	14	36
1084	 The Scorch Trials 	1588	37
1084	 The Death Cure 	1970	38
1084	 The Bourne Identity 	909	39
