1. The Hitchhiker's Guide to the Galaxy (novel)
2. The Da Vinci Code by ['Dan Brown']
3. The Lord of the Rings
4. Harry Potter
5. The Bourne Identity (novel)
6. The Bourne Supremacy
7. The Bourne Ultimatum
8. The Da Vinci Code
9. Angels & Demons
10. The Lost Symbol
11. Inferno (Dante)
12. The Divine Comedy
13. The Inferno
14. The Purgatorio
15. The Paradiso
16. The Divine Comedy: Inferno
17. The Divine Comedy: Purgatorio
18. The Divine Comedy: Paradiso
19. The Divine Comedy: The Inferno
20. The Divine Comedy: The Purgatorio
21. The Divine Comedy: The Paradiso
22. The Divine Comedy: Inferno: Canto I
23. The Divine Comedy: Inferno: Canto II
24. The Divine Comedy: Inferno: Canto III
25. The Divine Comedy: Inferno: Canto IV
26. The Divine Comedy: Inferno: Canto V
27. The Divine Comedy: Inferno: Canto VI
28. The Divine Comedy: Inferno: Canto VII
29. The Divine Comedy: Inferno: Canto VIII
30. The Divine Comedy: Inferno: Canto IX
31. The Divine Comedy: Inferno: Canto X
32. The Divine Comedy: Inferno: Canto XI
33. The Divine Comedy: Inferno: Canto XII
34. The Divine Comedy: Inferno: Canto XIII
35. The Divine Comedy: Inferno: Canto XIV
36. The Divine Comedy: Inferno: Canto XV
37. The Divine Comedy: Inferno: Canto XVI
38. The Divine Comedy: Inferno: Canto XVII
39. The Divine Comedy: Inferno: Canto XVIII
40. The Divine Comedy: Inferno: Canto XIX
41. The Divine Comedy: Inferno: Canto XX
42. The Divine Comedy: Inferno: Canto XXI
43. The Divine Comedy: Inferno: Canto XXII
44. The Divine Comedy: Inferno: Canto XXIII
45. The Divine Comedy: Inferno: Canto XXIV
46. The Divine Comedy: Inferno: Canto XXV
47. The Divine Comedy: Inferno: Canto XXVI
48. The Divine Comedy: Inferno: Canto XXVII
49. The Divine Comedy: Inferno: Canto XXVIII
50. The Divine Comedy: Inferno: Canto XXIX
