1. The Hunger Games
2. The Maze Runner
3. The Mortal Instruments
4. The Infernal Devices
5. The Selection
6. Divergent
7. The Legend of Zelda
8. The Lord of the Rings
9. Harry Potter
10. Percy Jackson and the Olympians
11. The Hunger Games: Catching Fire
12. The Hunger Games: Mockingjay
13. The Mortal Instruments: City of Bones
14. The Mortal Instruments: City of Ashes
15. The Mortal Instruments: City of Glass
16. The Mortal Instruments: The Bane Chronicles
17. The Mortal Instruments: The Infernal Devices: Clockwork Angel
18. The Mortal Instruments: The Infernal Devices: Clockwork Prince
19. The Mortal Instruments: The Infernal Devices: Clockwork Princess
20. The Mortal Instruments: The Dark Artifices: Lady Midnight
21. The Mortal Instruments: The Dark Artifices: Lord of Shadows
22. The Mortal Instruments: The Dark Artifices: Queen of Air and Darkness
23. The Mortal Instruments: The Last Hours: Chain of Gold
24. The Mortal Instruments: The Last Hours: Chain of Thorns
25. The Mortal Instruments: The Last Hours: Chain of Iron
26. The Mortal Instruments: The Last Hours: Chain of Gold
27. The Mortal Instruments: The Last Hours: Chain of Thorns
28. The Mortal Instruments: The Last Hours: Chain of Iron
29. The Mortal Instruments: The Last Hours: Chain of Gold
30. The Mortal Instruments: The Last Hours: Chain of Thorns
31. The Mortal Instruments: The Last Hours: Chain of Iron
32. The Mortal Instruments: The Last Hours: Chain of Gold
33. The Mortal Instruments: The Last Hours: Chain of Thorns
34. The Mortal Instruments: The Last Hours: Chain of Iron
35. The Mortal Instruments: The Last Hours: Chain of Gold
36. The Mortal Instruments: The Last Hours: Chain of Thorns
37. The Mortal Instruments: The Last Hours: Chain of Iron
38. The Mortal Instruments: The Last Hours: Chain of Gold
39. The Mortal Instruments: The Last Hours: Chain of Thorns
40. The Mortal Instruments: The Last Hours: Chain of Iron
41. The Mortal Instruments: The Last Hours: Chain of Gold
42. The Mortal Instruments: The Last Hours: Chain of Thorns
43. The Mortal Instruments: The Last Hours: Chain of Iron
44. The Mortal Instruments: The Last Hours: Chain of Gold
45. The Mortal Instruments: The Last Hours: Chain of Thorns
46. The Mortal Instruments: The Last Hours: Chain of Iron
47. The Mortal Instruments: The Last Hours: Chain of Gold
48. The Mortal Instruments: The Last Hours: Chain of Thorns
49. The Mortal Instruments: The Last Hours: Chain of Iron
50. The Mortal Instruments: The Last Hours: Chain of Gold
