1. The Lord of the Rings
2. Harry Potter
3. The Hunger Games
4. Twilight
5. The Mortal Instruments
6. The Giver
7. The Fault in Our Stars
8. Divergent
9. The Hunger Games: Catching Fire
10. The Maze Runner
11. The Selection
12. The Fault in Our Stars
13. The Hunger Games: Mockingjay - Part 1
14. The Hunger Games: Mockingjay - Part 2
15. The Maze Runner: The Scorch Trials
16. The Maze Runner: The Death Cure
17. The Selection Series
18. The Mortal Instruments: City of Bones
19. The Mortal Instruments: City of Ashes
20. The Mortal Instruments: City of Glass
21. The Mortal Instruments: The Infernal Devices
22. The Mortal Instruments: The Dark Artifices
23. The Mortal Instruments: The Bane Chronicles
24. The Mortal Instruments: The Lost Book of the White
25. The Mortal Instruments: The Shadowhunter's Codex
26. The Mortal Instruments: The Bane Chronicles
27. The Mortal Instruments: The Bane Chronicles
28. The Mortal Instruments: The Bane Chronicles
29. The Mortal Instruments: The Bane Chronicles
30. The Mortal Instruments: The Bane Chronicles
31. The Mortal Instruments: The Bane Chronicles
32. The Mortal Instruments: The Bane Chronicles
33. The Mortal Instruments: The Bane Chronicles
34. The Mortal Instruments: The Bane Chronicles
35. The Mortal Instruments: The Bane Chronicles
36. The Mortal Instruments: The Bane Chronicles
37. The Mortal Instruments: The Bane Chronicles
38. The Mortal Instruments: The Bane Chronicles
39. The Mortal Instruments: The Bane Chronicles
40. The Mortal Instruments: The Bane Chronicles
41. The Mortal Instruments: The Bane Chronicles
42. The Mortal Instruments: The Bane Chronicles
43. The Mortal Instruments: The Bane Chronicles
44. The Mortal Instruments: The Bane Chronicles
45. The Mortal Instruments: The Bane Chronicles
46. The Mortal Instruments: The Bane Chronicles
47. The Mortal Instruments: The Bane Chronicles
48. The Mortal Instruments: The Bane Chronicles
49. The Mortal Instruments: The Bane Chronicles
50. The Mortal Instruments: The Bane Chronicles
