bookId	name
1	The Unbearable Lightness of Being
2	Dracula
3	The Catcher in the Rye
2051	The Lost Books (novel series)
5	The Picture of Dorian Gray
6	The Great Gatsby
7	Brave New World
8	Harry Potter
2053	The Pillowman
2058	Dragon Ball Z
2059	Gantz
2060	Twilight Eyes
14	The Maze Runner
15	Across the Universe (novel)
16	The City of Ember
2065	Gravity's Rainbow
18	The Southern Vampire Mysteries
19	The Hobbit
2066	Delta of Venus
2069	Medea (play)
24	Dexter in the Dark
25	The Silmarillion
2072	And the Ass Saw the Angel
2075	Incarceron
2074	Made in America (book)
29	World War Z
30	List of Scott Pilgrim characters
32	Frankenstein
2081	W.I.T.C.H.
34	If There Be Thorns
35	Petals on the Wind
36	Cut (novel)
37	Vampire Kisses
38	The Outsiders (novel)
2083	The Tenant of Wildfell Hall
40	Invisible Man
41	Lady Chatterley's Lover
42	The Giver
43	Strange Case of Dr Jekyll and Mr Hyde
44	Crime and Punishment
45	The Scarlet Letter
46	The Phantom of the Opera
47	A Series of Unfortunate Events
2095	The Rapture (novel)
2091	Shakespeare's sonnets
50	The Lord of the Rings
2097	The House of Mirth
48	Pygmalion (play)
54	The Stand
55	Through the Looking-Glass
