userId	title	itemId	rank
35	 The Great Gats	6	1
35	 The Grapes of Wrath 	804	2
35	 The Lord of the Rings 	50	3
35	 The Hitchhiker's Guide to the Galaxy 	1736	4
35	 The Adventures of Huckleberry Finn 	249	6
35	 The Alchemist 	113	7
35	 The Kite Runner 	112	8
35	 The Catcher in the Rye 	3	9
35	 To Kill a Mockingbird 	305	10
35	 1984 	705	11
35	 Animal Farm 	187	12
35	 Brave New World 	7	13
35	 The Great Gats	6	14
35	 The Handmaid's Tale 	1240	15
35	 The Hunger Games 	331	16
35	 The Lord of the Flies 	168	17
35	 The Little Prince 	369	18
35	 The Odyssey 	94	19
35	 The Outsiders 	38	20
35	 The Scarlet Letter 	45	21
35	 The Secret Garden 	294	22
35	 The Strange Case of Dr. Jekyll and Mr. Hyde 	43	23
35	 The Time Machine 	673	24
35	 The War of the Worlds 	783	25
35	 The Wonderful Wizard of Oz 	1145	26
35	 The Chronicles of Narnia 	254	27
35	 The Cat in the Hat 	588	28
35	 The Giving Tree 	734	29
35	 The Little Prince 	369	30
35	 The Hobbit 	19	31
35	 The Lion, the Witch and the Wardrobe 	851	32
35	 The Prince and the Pauper 	1877	33
35	 The Adventures of Tom Sawyer 	169	34
35	 The Call of the Wild 	326	35
35	 The Count of Monte Cristo 	250	36
35	 The Giver 	42	37
35	 The Hitchhiker's Guide to the Galaxy 	1736	38
35	 The Lord of the Rings 	50	39
35	 The Once and Future King 	747	40
35	 The Picture of Dorian Gray 	5	41
35	 The Red Badge of Courage 	253	42
35	 The Stand 	54	43
35	 The Three Musketeers 	221	44
35	 The War of the Worlds 	783	45
35	 The Wind in the Willows 	508	46
35	 The Wonderful Wizard of Oz 	1145	47
35	 The Catcher in the Rye 	3	48
35	 The Chronicles of Narnia 	254	49
35	 The Lord of the Flies 	168	50
11	 The Da Vinci Code 	278	1
11	 The Girl on the Train 	668	2
11	 The Hunger Games 	331	3
11	 The Catcher in the Rye 	3	4
11	 To Kill a Mockingbird 	305	5
11	 The Great Gats	6	6
11	 1984 	705	7
11	 The Lord of the Rings 	50	8
11	 The Hitchhiker's Guide to the Galaxy 	1736	9
11	 The Alchemist 	113	10
11	 The Kite Runner 	112	11
11	 The Book Thief 	266	12
11	 The Giver 	42	13
11	 The Hobbit 	19	15
11	 The Chronicles of Narnia 	254	16
11	 The Little Prince 	369	17
11	 The Girl with the Dragon Tattoo 	668	18
11	 The Help 	269	19
11	 The Hunger Games: Catching Fire 	331	20
11	 The Chronicles of Narnia: The Lion, the Witch and the Wardrobe 	851	21
11	 The Hunger Games: Mockingjay 	331	22
11	 The Lord of the Flies 	168	23
11	 The Perks of Being a Wallflower 	171	24
11	 The Outsiders 	38	25
11	 The Harry Potter Series 	8	26
11	 The Maze Runner 	14	27
11	 The Divergent Series 	2827	28
11	 The Chronicles of Narnia: Prince Caspian 	83	29
11	 The Chronicles of Narnia: The Voyage of the Dawn Treader 	641	30
11	 The Chronicles of Narnia: The Silver Chair 	83	31
11	 The Chronicles of Narnia: The Horse and His Boy 	83	32
11	 The Chronicles of Narnia: The Magician's Nephew 	83	33
11	 The Chronicles of Narnia: The Last Battle 	83	34
11	 The Hunger Games: The Hunger Games Trilogy 	964	37
1001	 The Hunger Games 	331	1
1001	 The Book Thief 	266	3
1001	 The Perks of Being a Wallflower 	171	4
1001	 The Catcher in the Rye 	3	5
1001	 To Kill a Mockingbird 	305	6
1001	 The Giver 	42	7
1001	 The Maze Runner 	14	8
1001	 The Outsiders 	38	9
1001	 The Chronicles of Narnia 	254	10
1001	 The Lord of the Rings 	50	11
1001	 The Hobbit 	19	12
1001	 The Divergent Series 	2827	13
1001	 The Harry Potter Series 	8	14
1001	 The Hunger Games Trilogy 	964	15
1001	 The Maze Runner Trilogy 	14	16
1001	 The Chronicles of Narnia Series 	254	17
1001	 The Lord of the Rings Trilogy 	50	18
1001	 The Fault in Our Stars Trilogy 	2561	19
1001	 The Catcher in the Rye Trilogy 	3	20
1001	 The Giver Quartet 	42	21
