1. The Human League
2. Tears for Fears
3. Depeche Mode
4. Pet Shop Boys
5. Erasure
6. New Order
7. The Smiths
8. The Cure
9. Joy Division
10. The Clash
11. The Specials
12. The Police
13. The Cure
14. The Smiths
15. The Clash
16. The Specials
17. The Police
18. The Cure
19. The Smiths
20. The Clash
21. The Specials
22. The Police
23. The Cure
24. The Smiths
25. The Clash
26. The Specials
27. The Police
28. The Cure
29. The Smiths
30. The Clash
31. The Specials
32. The Police
33. The Cure
34. The Smiths
35. The Clash
36. The Specials
37. The Police
38. The Cure
39. The Smiths
40. The Clash
41. The Specials
42. The Police
43. The Cure
44. The Smiths
45. The Clash
46. The Specials
47. The Police
48. The Cure
49. The Smiths
50. The Clash
