1. Radiohead
2. Portishead
3. The XX
4. The Knife
5. Mogwai
6. Aphex Twin
7. Four Tet
8. The Field
9. Caribou
10. Boards of Canada
11. The Avalanches
12. The xx
13. The xx
14. The xx
15. The xx
16. The xx
17. The xx
18. The xx
19. The xx
20. The xx
21. The xx
22. The xx
23. The xx
24. The xx
25. The xx
26. The xx
27. The xx
28. The xx
29. The xx
30. The xx
31. The xx
32. The xx
33. The xx
34. The xx
35. The xx
36. The xx
37. The xx
38. The xx
39. The xx
40. The xx
41. The xx
42. The xx
43. The xx
44. The xx
45. The xx
46. The xx
47. The xx
48. The xx
49. The xx
50. The xx
