1. Kelly Clarkson
2. Dixie Chicks
3. Tim McGraw
4. Kenny Chesney
5. Alan Jackson
6. Reba McEntire
7. Miranda Lambert
8. Carrie Underwood
9. Taylor Swift
10. Rascal Flatts
11. Lady Antebellum
12. Faith Hill
13. Garth Brooks
14. Keith Urban
15. Shania Twain
16. Brad Paisley
17. Britney Spears
18. Josh Groban
19. Bon Jovi
20. Jessica Simpson
21. Mariah Carey
22. Adam Lambert
23. Glee Cast
24. Celine Dion
25. Dixie Chicks
26. Tim McGraw
27. Kenny Chesney
28. Alan Jackson
29. Reba McEntire
30. Miranda Lambert
31. Carrie Underwood
32. Taylor Swift
33. Rascal Flatts
34. Lady Antebellum
35. Faith Hill
36. Garth Brooks
37. Keith Urban
38. Shania Twain
39. Brad Paisley
40. Britney Spears
41. Josh Groban
42. Bon Jovi
43. Jessica Simpson
44. Mariah Carey
45. Adam Lambert
46. Glee Cast
47. Celine Dion
48. Dixie Chicks
49. Tim McGraw
50. Kenny Chesney
