1. Christina Perri
2. Demi Lovato
3. Miley Cyrus
4. Selena Gomez
5. Demi Lovato
6. Miley Cyrus
7. Selena Gomez
8. Demi Lovato
9. Miley Cyrus
10. Selena Gomez
11. Demi Lovato
12. Miley Cyrus
13. Selena Gomez
14. Demi Lovato
15. Miley Cyrus
16. Selena Gomez
17. Demi Lovato
18. Miley Cyrus
19. Selena Gomez
20. Demi Lovato
21. Miley Cyrus
22. Selena Gomez
23. Demi Lovato
24. Miley Cyrus
25. Selena Gomez
26. Demi Lovato
27. Miley Cyrus
28. Selena Gomez
29. Demi Lovato
30. Miley Cyrus
31. Selena Gomez
32. Demi Lovato
33. Miley Cyrus
34. Selena Gomez
35. Demi Lovato
36. Miley Cyrus
37. Selena Gomez
38. Demi Lovato
39. Miley Cyrus
40. Selena Gomez
41. Demi Lovato
42. Miley Cyrus
43. Selena Gomez
44. Demi Lovato
45. Miley Cyrus
46. Selena Gomez
47. Demi Lovato
48. Miley Cyrus
49. Selena Gomez
50. Demi Lovato
