1. The Academy Is...
2. The Cab
3. The Starting Line
4. The Wonder Years
5. Mayday Parade
6. Motion City Soundtrack
7. Anberlin
8. The Spill Canvas
9. The Hush Sound
10. The Starting Line
11. The Get Up Kids
12. The Early November
13. The Juliana Theory
14. The Starting Line
15. The Starting Line
16. The Starting Line
17. The Starting Line
18. The Starting Line
19. The Starting Line
20. The Starting Line
21. The Starting Line
22. The Starting Line
23. The Starting Line
24. The Starting Line
25. The Starting Line
26. The Starting Line
27. The Starting Line
28. The Starting Line
29. The Starting Line
30. The Starting Line
31. The Starting Line
32. The Starting Line
33. The Starting Line
34. The Starting Line
35. The Starting Line
36. The Starting Line
37. The Starting Line
38. The Starting Line
39. The Starting Line
40. The Starting Line
41. The Starting Line
42. The Starting Line
43. The Starting Line
44. The Starting Line
45. The Starting Line
46. The Starting Line
47. The Starting Line
48. The Starting Line
49. The Starting Line
50. The Starting Line
