1. Radiohead
2. Bon Iver
3. The Mountain Goats
4. The Shins
5. The Beatles
6. The Decemberists
7. The National
8. The xx
9. The Smiths
10. The Cure
11. The White Stripes
12. The Strokes
13. The Killers
14. Arcade Fire
15. Modest Mouse
16. Animal Collective
17. The Flaming Lips
18. MGMT
19. The xx
20. The xx
21. The xx
22. The xx
23. The xx
24. The xx
25. The xx
26. The xx
27. The xx
28. The xx
29. The xx
30. The xx
31. The xx
32. The xx
33. The xx
34. The xx
35. The xx
36. The xx
37. The xx
38. The xx
39. The xx
40. The xx
41. The xx
42. The xx
43. The xx
44. The xx
45. The xx
46. The xx
47. The xx
48. The xx
49. The xx
50. The xx
