artistID	name
289	Britney Spears
72	Depeche Mode
89	Lady Gaga
292	Christina Aguilera
498	Paramore
67	Madonna
288	Rihanna
701	Shakira
227	The Beatles
300	Katy Perry
333	Avril Lavigne
344	Taylor Swift
378	Evanescence
679	Glee Cast
295	Beyoncé
511	U2
486	30 Seconds to Mars
190	Muse
163	Pink Floyd
55	Kylie Minogue
461	Miley Cyrus
154	Radiohead
466	Ke$ha
51	Duran Duran
65	Coldplay
203	Blur
207	Arctic Monkeys
173	Placebo
229	The Killers
234	Nirvana
917	Iron Maiden
903	Amy Winehouse
1412	Led Zeppelin
707	Metallica
157	Michael Jackson
614	Pearl Jam
187	a-ha
1098	Björk
198	System of a Down
56	Daft Punk
233	Nine Inch Nails
377	Linkin Park
291	Kelly Clarkson
687	All Time Low
302	P!nk
1672	Avenged Sevenfold
306	Black Eyed Peas
209	My Chemical Romance
230	Green Day
159	The Cure
