userId	title	movieId	rank
263	Eternal Sunshine of the Spotless Mind (2004)	7361	1
263	The Shawshank Redemption (1994)	318	2
263	The Godfather (1972)	858	3
263	The Godfather: Part II (1974)	1221	4
263	Pulp Fiction (1994)	296	5
263	The Dark Knight (2008)	58559	6
263	Fight Club (1999)	2959	7
263	The Silence of the Lambs (1991)	135937	8
263	Forrest Gump (1994)	356	9
263	Goodfellas (1990)	1213	10
263	The Matrix (1999)	2571	11
263	The Lord of the Rings: The Fellowship of the Ring (2001)	4993	12
263	The Lord of the Rings: The Two Towers (2002)	5952	13
263	The Lord of the Rings: The Return of the King (2003)	7153	14
263	The Prestige (2006)	172233	15
263	Inception (2010)	79132	16
263	The Departed (2006)	48516	17
263	The Usual Suspects (1995)	50	18
263	Se7en (1995)	1487	19
263	The Green Mile (1999)	3147	20
263	The Truman Show (1998)	1682	21
263	The Social Network (2010)	80463	22
263	The Curious Case of Benjamin Button (2008)	64957	23
263	The Grand Budapest Hotel (2014)	109374	24
263	The Intouchables (2011)	92259	25
263	The Help (2011)	171023	26
263	The King's Speech (2010)	81845	27
263	The Artist (2011)	89904	28
263	The Imitation Game (2014)	116797	29
263	The Theory of Everything (2014)	117176	30
263	The Revenant (2015)	139385	31
263	The Hateful Eight (2015)	128360	32
263	Django Unchained (2012)	99114	33
263	The Wolf of Wall Street (2013)	106782	34
263	The Big Short (2015)	148626	35
263	The Martian (2015)	134130	36
263	Interstellar (2014)	109487	37
263	Gravity (2013)	104841	38
263	Life of Pi (2012)	97938	39
263	The Avengers (2012)	136859	40
263	Iron Man (2008)	59315	41
263	Captain America: The Winter Soldier (2014)	110102	42
263	Guardians of the Galaxy (2014)	112852	43
263	Deadpool (2016)	122904	44
263	Zootopia (2016)	152081	45
263	Inside Out (2015)	134853	46
263	Up (2009)	68954	47
263	WALL-E (2008)	60069	48
263	Ratatouille (2007)	50872	49
263	Finding Nemo (2003)	6377	50
180	Lord of the Rings: The Two Towers (2002)	5952	1
180	Lord of the Rings: The Return of the King, The (2003)	7153	2
180	Star Wars: Episode VI - Return of the Jedi (1983)	1210	3
180	Raiders of the Lost Ark (1981)	69524	4
180	Jurassic Park (1993)	480	5
180	Terminator 2: Judgment Day (1991)	589	6
180	Aliens (1986)	1200	7
180	Back to the Future (1985)	1270	8
180	The Matrix Reloaded (2003)	6365	9
180	The Matrix Revolutions (2003)	6934	10
180	The Terminator (1984)	1240	11
180	Die Hard (1988)	1036	12
180	Die Hard with a Vengeance (1995)	165	13
180	The Fugitive (1993)	4675	14
180	The Bourne Identity (2002)	5418	15
180	The Bourne Supremacy (2004)	8665	16
180	The Bourne Ultimatum (2007)	54286	17
180	The Dark Knight (2008)	58559	18
180	Inception (2010)	79132	19
180	The Prestige (2006)	172233	20
180	Blade Runner (1982)	541	21
180	The Fifth Element (1997)	1527	22
180	Total Recall (1990)	2916	23
180	The Shawshank Redemption (1994)	318	24
180	The Godfather (1972)	858	25
180	The Godfather: Part II (1974)	1221	26
180	Goodfellas (1990)	1213	27
180	Pulp Fiction (1994)	296	28
180	Reservoir Dogs (1992)	1089	29
180	The Silence of the Lambs (1991)	135937	30
180	Se7en (1995)	1487	31
180	The Usual Suspects (1995)	50	32
180	Heat (1995)	6	33
180	L.A. Confidential (1997)	1617	34
180	Fight Club (1999)	2959	35
180	American Beauty (1999)	2858	36
180	The Green Mile (1999)	3147	37
180	Gladiator (2000)	3578	38
180	A Beautiful Mind (2001)	4995	39
180	The Departed (2006)	48516	40
180	No Country for Old Men (2007)	55820	41
180	There Will Be Blood (2007)	56782	42
180	The Social Network (2010)	80463	43
180	The King's Speech (2010)	81845	44
180	Argo (2012)	97304	45
180	Django Unchained (2012)	99114	46
180	The Wolf of Wall Street (2013)	106782	47
180	Interstellar (2014)	109487	48
180	Mad Max: Fury Road (2015)	122882	49
180	The Revenant (2015)	139385	50
71	Jurassic Park (1993)	480	1
71	Raiders of the Lost Ark (1981)	69524	2
71	Terminator, The (1984)	1240	3
71	Back to the Future (1985)	1270	4
71	Aliens (1986)	1200	5
71	Indiana Jones and the Last Crusade (1989)	1291	6
71	Terminator 2: Judgment Day (1991)	589	7
71	Star Wars: Episode V - The Empire Strikes Back (1980)	1196	8
71	Matrix, The (1999)	2571	9
71	Die Hard: With a Vengeance (1995)	165	10
71	Die Hard 2 (1990)	1370	11
71	Mission: Impossible (1996)	648	12
71	Lethal Weapon (1987)	2000	13
71	Die Hard (1988)	1036	14
71	Top Gun (1986)	1101	15
71	Braveheart (1995)	110	16
71	Saving Private Ryan (1998)	2028	17
71	Gladiator (2000)	3578	18
71	Shawshank Redemption, The (1994)	318	19
71	Forrest Gump (1994)	356	20
71	Goodfellas (1990)	1213	21
71	Pulp Fiction (1994)	296	22
71	Silence of the Lambs, The (1991)	593	23
71	Godfather, The (1972)	858	24
71	Godfather: Part II, The (1974)	1221	25
71	Schindler's List (1993)	527	26
71	Braveheart (1995)	110	27
71	Titanic (1997)	1721	28
71	Shawshank Redemption, The (1994)	318	29
71	Forrest Gump (1994)	356	30
71	Goodfellas (1990)	1213	31
71	Pulp Fiction (1994)	296	32
71	Silence of the Lambs, The (1991)	593	33
71	Godfather, The (1972)	858	34
71	Godfather: Part II, The (1974)	1221	35
71	Schindler's List (1993)	527	36
71	Braveheart (1995)	110	37
71	Titanic (1997)	1721	38
71	Shawshank Redemption, The (1994)	318	39
71	Forrest Gump (1994)	356	40
71	Goodfellas (1990)	1213	41
71	Pulp Fiction (1994)	296	42
71	Silence of the Lambs, The (1991)	593	43
71	Godfather, The (1972)	858	44
71	Godfather: Part II, The (1974)	1221	45
71	Schindler's List (1993)	527	46
71	Braveheart (1995)	110	47
71	Titanic (1997)	1721	48
71	Shawshank Redemption, The (1994)	318	49
71	Forrest Gump (1994)	356	50
553	The Shawshank Redemption (1994)	318	1
553	Forrest Gump (1994)	356	2
553	The Godfather: Part III (1990)	2023	3
553	The Silence of the Lambs (1991)	135937	4
553	Schindler's List (1993)	527	5
553	Saving Private Ryan (1998)	2028	6
553	The Green Mile (1999)	3147	7
553	The Godfather: Part II (1974)	1221	8
553	The Departed (2006)	48516	9
553	The Dark Knight (2008)	58559	10
553	The Prestige (2006)	172233	11
553	The Usual Suspects (1995)	50	12
553	The Matrix (1999)	2571	13
553	The Bourne Ultimatum (2007)	54286	14
553	The Bourne Supremacy (2004)	8665	15
553	The Bourne Identity (2002)	5418	16
553	The Social Network (2010)	80463	17
553	The Girl with the Dragon Tattoo (2011)	91658	18
553	The Girl Who Played with Fire (2009)	99005	19
553	The Girl Who Kicked the Hornet's Nest (2009)	73323	20
553	The King's Speech (2010)	81845	21
553	The Grand Budapest Hotel (2014)	109374	22
553	The Wolf of Wall Street (2013)	106782	23
553	The Revenant (2015)	139385	24
553	The Hateful Eight (2015)	128360	25
553	The Big Short (2015)	148626	26
553	The Martian (2015)	134130	27
553	The Imitation Game (2014)	116797	28
553	The Theory of Everything (2014)	117176	29
553	The Artist (2011)	89904	30
553	The Help (2011)	171023	31
553	The Fighter (2010)	142422	32
553	The Town (2010)	87194	33
553	The Hurt Locker (2008)	69481	34
553	The Reader (2008)	6195	35
553	No Country for Old Men (2007)	55820	36
553	American Gangster (2007)	55765	37
553	Into the Wild (2007)	55247	38
553	The Departed (2006)	48516	39
553	Lucky Number Slevin (2006)	44665	40
553	Inside Man (2006)	44199	41
553	Crash (2004)	33166	42
553	Layer Cake (2004)	27831	43
553	I Heart Huckabees (2004)	8910	44
553	Garden State (2004)	8784	45
553	Mystic River (2003)	6870	46
553	The Italian Job (2003)	6378	47
553	Catch Me If You Can (2002)	5989	48
553	25th Hour (2002)	5954	49
553	Ocean's Eleven (2001)	4963	50
227	Whiplash (2014)	112552	1
227	La La Land (2016)	164909	2
227	Arrival (2016)	164179	3
227	Moonlight (2016)	97923	4
227	Manchester by the Sea (2016)	165549	5
227	Hell or High Water (2016)	161582	6
227	Hacksaw Ridge (2016)	163645	7
227	Lion (2016)	165551	8
227	Hidden Figures (2016)	166643	9
227	The Revenant (2015)	139385	10
227	Mad Max: Fury Road (2015)	122882	11
227	The Hateful Eight (2015)	128360	12
227	The Big Short (2015)	148626	13
227	Sicario (2015)	139644	14
227	The Martian (2015)	134130	15
227	Ex Machina (2015)	115713	16
227	Inside Out (2015)	134853	17
227	The Imitation Game (2014)	116797	18
227	The Grand Budapest Hotel (2014)	109374	19
227	Birdman (2014)	112421	20
227	Boyhood (2014)	112290	21
227	Gone Girl (2014)	112556	22
227	Interstellar (2014)	109487	23
227	Nightcrawler (2014)	115569	24
227	The Theory of Everything (2014)	117176	25
227	Captain Phillips (2013)	105504	26
227	Gravity (2013)	104841	27
227	12 Years a Slave (2013)	105844	28
227	Dallas Buyers Club (2013)	106100	29
227	The Wolf of Wall Street (2013)	106782	30
227	Django Unchained (2012)	99114	31
227	Argo (2012)	97304	32
227	The Master (2012)	133771	33
227	The Avengers (2012)	136859	34
227	Moneyball (2011)	89492	35
227	The Girl with the Dragon Tattoo (2011)	91658	36
227	The Social Network (2010)	80463	37
227	Inception (2010)	79132	38
227	The King's Speech (2010)	81845	39
227	Black Swan (2010)	81591	40
227	The Hurt Locker (2009)	69481	41
227	Inglourious Basterds (2009)	68157	42
227	Up (2009)	68954	43
227	The Dark Knight (2008)	58559	44
227	Wall-E (2008)	62437	45
227	There Will Be Blood (2007)	56782	46
227	No Country for Old Men (2007)	55820	47
227	The Departed (2006)	48516	48
227	Babel (2006)	46723	49
227	Crash (2004)	33166	50
458	Schindler's List (1993)	527	1
458	The Shawshank Redemption (1994)	318	2
458	The Godfather (1972)	858	3
458	The Godfather: Part II (1974)	1221	4
458	The Silence of the Lambs (1991)	135937	5
458	Goodfellas (1990)	1213	6
458	Saving Private Ryan (1998)	2028	7
458	The Green Mile (1999)	3147	8
458	The Matrix (1999)	2571	9
458	The Usual Suspects (1995)	50	10
458	Se7en (1995)	1487	11
458	Fight Club (1999)	2959	12
458	The Sixth Sense (1999)	2762	13
458	American Beauty (1999)	2858	14
458	The Prestige (2006)	172233	15
458	The Departed (2006)	48516	16
458	Inception (2010)	79132	17
458	The Dark Knight (2008)	58559	18
458	The Lord of the Rings: The Fellowship of the Ring (2001)	4993	19
458	The Lord of the Rings: The Two Towers (2002)	5952	20
458	The Lord of the Rings: The Return of the King (2003)	7153	21
458	Gladiator (2000)	3578	22
458	Braveheart (1995)	110	23
458	Forrest Gump (1994)	356	24
458	Titanic (1997)	1721	25
458	Jurassic Park (1993)	480	26
458	Terminator 2: Judgment Day (1991)	589	27
458	The Lion King (1994)	134019	28
458	Aladdin (1992)	588	29
458	Beauty and the Beast (1991)	595	30
458	The Hateful Eight (2015)	128360	31
458	Django Unchained (2012)	99114	32
458	Kill Bill: Vol. 1 (2003)	6874	33
458	Kill Bill: Vol. 2 (2004)	7438	34
458	Reservoir Dogs (1992)	1089	35
458	Pulp Fiction (1994)	296	36
458	The Big Lebowski (1998)	1732	37
458	Fargo (1996)	608	38
458	No Country for Old Men (2007)	55820	39
458	There Will Be Blood (2007)	56782	40
458	The Social Network (2010)	80463	41
458	The King's Speech (2010)	81845	42
458	The Grand Budapest Hotel (2014)	109374	43
458	Moonlight (2016)	97923	44
458	La La Land (2016)	164909	45
458	Whiplash (2014)	112552	46
458	The Revenant (2015)	139385	47
458	Mad Max: Fury Road (2015)	122882	48
458	The Martian (2015)	134130	49
458	Interstellar (2014)	109487	50
225	Raiders of the Lost Ark (1981)	69524	1
225	Terminator 2: Judgment Day (1991)	589	2
225	Jurassic Park (1993)	480	3
225	Die Hard (1988)	1036	4
225	The Matrix (1999)	2571	5
225	The Silence of the Lambs (1991)	135937	6
225	Pulp Fiction (1994)	296	7
225	The Shawshank Redemption (1994)	318	8
225	Goodfellas (1990)	1213	9
225	The Godfather (1972)	858	10
225	The Godfather: Part II (1974)	1221	11
225	Schindler's List (1993)	527	12
225	Forrest Gump (1994)	356	13
225	Saving Private Ryan (1998)	2028	14
225	The Green Mile (1999)	3147	15
225	The Departed (2006)	48516	16
225	The Prestige (2006)	172233	17
225	The Dark Knight (2008)	58559	18
225	Inception (2010)	79132	19
225	The Usual Suspects (1995)	50	20
225	Fight Club (1999)	2959	21
225	The Terminator (1984)	1240	22
225	Aliens (1986)	1200	23
225	Blade Runner (1982)	541	24
225	The Thing (1982)	180263	25
225	The Shining (1980)	180263	26
225	A Clockwork Orange (1971)	1206	27
225	One Flew Over the Cuckoo's Nest (1975)	1193	28
225	Taxi Driver (1976)	111	29
225	Apocalypse Now (1979)	1208	30
225	Platoon (1986)	1090	31
225	Full Metal Jacket (1987)	1222	32
225	The Deer Hunter (1978)	1263	33
225	Rocky (1976)	1954	34
225	The Karate Kid (1984)	2420	35
225	The Breakfast Club (1985)	1968	36
225	Ferris Bueller's Day Off (1986)	2918	37
225	Sixteen Candles (1984)	2144	38
225	The Princess Diaries (2001)	4700	39
225	The Lion King (1994)	134019	40
225	Beauty and the Beast (1991)	595	41
225	Toy Story (1995)	1	42
225	Finding Nemo (2003)	6377	43
225	Up (2009)	68954	44
225	WALL-E (2008)	60069	45
225	Ratatouille (2007)	50872	46
225	Monsters, Inc. (2001)	4886	47
225	The Incredibles (2004)	8961	48
225	Inside Out (2015)	134853	49
225	Coco (2017)	177765	50
81	The Matrix (1999)	2571	1
81	Fight Club (1999)	2959	2
81	The Silence of the Lambs (1991)	135937	3
81	Goodfellas (1990)	1213	4
81	The Usual Suspects (1995)	50	5
81	Schindler's List (1993)	527	6
81	Forrest Gump (1994)	356	7
81	Saving Private Ryan (1998)	2028	8
81	American Beauty (1999)	2858	9
81	The Green Mile (1999)	3147	10
81	The Shawshank Redemption (1994)	318	11
81	The Godfather (1972)	858	12
81	The Godfather: Part II (1974)	1221	13
81	The Departed (2006)	48516	14
81	The Prestige (2006)	172233	15
81	The Dark Knight (2008)	58559	16
81	Inception (2010)	79132	17
81	The Terminator (1984)	1240	18
81	Terminator 2: Judgment Day (1991)	589	19
81	Aliens (1986)	1200	20
81	Blade Runner (1982)	541	21
81	The Fifth Element (1997)	1527	22
81	The Truman Show (1998)	1682	23
81	The Sixth Sense (1999)	2762	24
81	The Bourne Identity (2002)	5418	25
81	The Bourne Supremacy (2004)	8665	26
81	The Bourne Ultimatum (2007)	54286	27
81	Die Hard (1988)	1036	28
81	Die Hard with a Vengeance (1995)	165	29
81	L.A. Confidential (1997)	1617	30
81	Heat (1995)	6	31
81	The Insider (1999)	3006	32
81	The Hunt for Red October (1990)	1610	33
81	A Few Good Men (1992)	2268	34
81	The Rock (1996)	101	35
81	Jurassic Park (1993)	480	36
81	Jaws (1975)	1387	37
81	Indiana Jones and the Raiders of the Lost Ark (1981)	1198	38
81	Indiana Jones and the Last Crusade (1989)	1291	39
81	Back to the Future (1985)	1270	40
81	Back to the Future Part II (1989)	2011	41
81	Back to the Future Part III (1990)	2012	42
81	Ghostbusters (1984)	2717	43
81	Ghostbusters II (1989)	2717	44
81	The Princess Bride (1987)	1197	45
81	The Lion King (1994)	134019	46
81	Beauty and the Beast (1991)	595	47
81	Aladdin (1992)	588	48
81	The Little Mermaid (1989)	2081	49
81	Toy Story (1995)	1	50
513	Star Wars: Episode V - The Empire Strikes Back (1980)	1196	1
513	Raiders of the Lost Ark (1981)	69524	2
513	Jurassic Park (1993)	480	3
513	Terminator 2: Judgment Day (1991)	589	4
513	The Matrix (1999)	2571	5
513	The Godfather (1972)	858	6
513	The Godfather: Part II (1974)	1221	7
513	Jaws (1975)	1387	8
513	E.T. the Extra-Terrestrial (1982)	1097	9
513	Forrest Gump (1994)	356	10
513	The Silence of the Lambs (1991)	135937	11
513	Goodfellas (1990)	1213	12
513	Saving Private Ryan (1998)	2028	13
513	Gladiator (2000)	3578	14
513	The Shawshank Redemption (1994)	318	15
513	The Lord of the Rings: The Fellowship of the Ring (2001)	4993	16
513	The Lord of the Rings: The Return of the King (2003)	7153	17
513	The Dark Knight (2008)	58559	18
513	Inception (2010)	79132	19
513	The Prestige (2006)	172233	20
513	The Departed (2006)	48516	21
513	The Usual Suspects (1995)	50	22
513	Fight Club (1999)	2959	23
513	The Terminator (1984)	1240	24
513	Aliens (1986)	1200	25
513	Blade Runner (1982)	541	26
513	The Princess Bride (1987)	1197	27
513	The Lion King (1994)	134019	28
513	Toy Story (1995)	1	29
513	Finding Nemo (2003)	6377	30
513	WALL-E (2008)	60069	31
513	Up (2009)	68954	32
513	Ratatouille (2007)	50872	33
513	The Incredibles (2004)	8961	34
513	The Iron Giant (1999)	2761	35
513	The Truman Show (1998)	1682	36
513	Groundhog Day (1993)	1265	37
513	The Green Mile (1999)	3147	38
513	The Prestige (2006)	172233	39
513	The Social Network (2010)	80463	40
513	The Grand Budapest Hotel (2014)	109374	41
513	Moonlight (2016)	97923	42
513	La La Land (2016)	164909	43
513	Arrival (2016)	164179	44
513	Manchester by the Sea (2016)	165549	45
513	The Shape of Water (2017)	180031	46
513	Three Billboards Outside Ebbing, Missouri (2017)	177593	47
513	Lady Bird (2017)	177615	48
513	Get Out (2017)	168250	49
513	Call Me by Your Name (2017)	168492	50
290	The Godfather: Part II (1974)	1221	1
290	Goodfellas (1990)	1213	2
290	Apocalypse Now (1979)	1208	3
290	Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)	1198	4
290	Star Wars: Episode V - The Empire Strikes Back (1980)	1196	5
290	One Flew Over the Cuckoo's Nest (1975)	1193	6
290	Amadeus (1984)	1225	7
290	The Godfather (1972)	858	8
290	Vertigo (1958)	903	9
290	Citizen Kane (1941)	923	10
290	Wizard of Oz, The (1939)	919	11
290	Casablanca (1942)	912	12
290	Bringing Up Baby (1938)	955	13
290	North by Northwest (1959)	908	14
290	Monty Python and the Holy Grail (1975)	1136	15
290	Sex, Lies, and Videotape (1989)	1186	16
290	Deer Hunter, The (1978)	1263	17
290	Stand by Me (1986)	1259	18
290	Shining, The (1980)	1258	19
290	Chinatown (1974)	1252	20
290	Glory (1989)	1242	21
290	Terminator, The (1984)	1240	22
290	Boot, Das (Boat, The) (1981)	1233	23
290	Right Stuff, The (1983)	1231	24
290	Grifters, The (1990)	1179	25
290	Raging Bull (1980)	1228	26
290	Henry V (1989)	1224	27
290	Alien (1979)	1214	28
290	Blade Runner (1982)	541	29
290	Taxi Driver (1976)	111	30
290	Star Wars: Episode IV - A New Hope (1977)	260	31
290	King Kong (1933)	2366	32
290	Jaws (1975)	1387	33
290	Out of Sight (1998)	1912	34
290	All Quiet on the Western Front (1930)	1927	35
290	From Here to Eternity (1953)	1944	36
290	On the Waterfront (1954)	1945	37
290	Waking Ned Devine (a.k.a. Waking Ned) (1998)	2359	38
290	Bug's Life, A (1998)	2355	39
290	American History X (1998)	2329	40
290	Pleasantville (1998)	2321	41
290	Elephant Man, The (1980)	2313	42
290	Player, The (1992)	2289	43
290	Doctor Zhivago (1965)	2067	44
290	Saving Private Ryan (1998)	2028	45
290	Cool Hand Luke (1967)	1276	46
290	Dangerous Liaisons (1988)	2020	47
