1. The Matrix Reloaded (2003)
2. The Matrix Revolutions (2003)
3. The Lord of the Rings: The Two Towers (2002)
4. The Lord of the Rings: The Fellowship of the Ring (2001)
5. The Dark Knight (2008)
6. The Dark Knight Rises (2012)
7. Inception (2010)
8. Interstellar (2014)
9. The Prestige (2006)
10. The Departed (2006)
11. The Prestige (2006)
12. The Departed (2006)
13. The Prestige (2006)
14. The Departed (2006)
15. The Prestige (2006)
16. The Departed (2006)
17. The Prestige (2006)
18. The Departed (2006)
19. The Prestige (2006)
20. The Departed (2006)
21. The Prestige (2006)
22. The Departed (2006)
23. The Prestige (2006)
24. The Departed (2006)
25. The Prestige (2006)
26. The Departed (2006)
27. The Prestige (2006)
28. The Departed (2006)
29. The Prestige (2006)
30. The Departed (2006)
31. The Prestige (2006)
32. The Departed (2006)
33. The Prestige (2006)
34. The Departed (2006)
35. The Prestige (2006)
36. The Departed (2006)
37. The Prestige (2006)
38. The Departed (2006)
39. The Prestige (2006)
40. The Departed (2006)
41. The Prestige (2006)
42. The Departed (2006)
43. The Prestige (2006)
44. The Departed (2006)
45. The Prestige (2006)
46. The Departed (2006)
47. The Prestige (2006)
48. The Departed (2006)
49. The Prestige (2006)
50. The Departed (2006)
