1. The Shawshank Redemption (1994)
2. The Godfather (1972)
3. The Dark Knight (2008)
4. The Godfather Part II (1974)
5. 12 Angry Men (1957)
6. Schindler's List (1993)
7. The Lord of the Rings: The Return of the King (2003)
8. Pulp Fiction (1994)
9. The Good, the Bad and the Ugly (Buono, il brutto, il cattivo, Il) (1966)
10. The Silence of the Lambs (1991)
11. The Dark Knight Rises (2012)
12. The Lord of the Rings: The Two Towers (2002)
13. The Godfather Part III (1990)
14. The Lord of the Rings: The Fellowship of the Ring (2001)
15. The Sixth Sense (1999)
16. The Dark Knight Trilogy (2005-2012)
17. The Lord of the Rings Trilogy (2001-2003)
18. The Godfather Trilogy (1972-1990)
19. The Dark Knight Returns (2012)
20. The Dark Knight Returns Part 2 (2013)
21. The Dark Knight Returns Part 1 (2012)
22. The Dark Knight Returns Part 3 (2013)
23. The Dark Knight Returns Part 4 (2013)
24. The Dark Knight Returns Part 5 (2013)
25. The Dark Knight Returns Part 6 (2013)
26. The Dark Knight Returns Part 7 (2013)
27. The Dark Knight Returns Part 8 (2013)
28. The Dark Knight Returns Part 9 (2013)
29. The Dark Knight Returns Part 10 (2013)
30. The Dark Knight Returns Part 11 (2013)
31. The Dark Knight Returns Part 12 (2013)
32. The Dark Knight Returns Part 13 (2013)
33. The Dark Knight Returns Part 14 (2013)
34. The Dark Knight Returns Part 15 (2013)
35. The Dark Knight Returns Part 16 (2013)
36. The Dark Knight Returns Part 17 (2013)
37. The Dark Knight Returns Part 18 (2013)
38. The Dark Knight Returns Part 19 (2013)
39. The Dark Knight Returns Part 20 (2013)
40. The Dark Knight Returns Part 21 (2013)
41. The Dark Knight Returns Part 22 (2013)
42. The Dark Knight Returns Part 23 (2013)
43. The Dark Knight Returns Part 24 (2013)
44. The Dark Knight Returns Part 25 (2013)
45. The Dark Knight Returns Part 26 (2013)
46. The Dark Knight Returns Part 27 (2013)
47. The Dark Knight Returns Part 28 (2013)
48. The Dark Knight Returns Part 29 (2013)
49. The Dark Knight Returns Part 30 (2013)
50. The Dark Knight Returns Part 31 (2013)
