userId	title	itemId	rank
35	 The Shawshank Redemption (1994)	318	1
35	 Forrest Gump (1994)	356	2
35	 Pulp Fiction (1994)	296	3
35	 Schindler's List (1993)	527	4
35	 Toy Story (1995)	1	5
35	 Se7en (1995)	1487	6
35	 Heat (1995)	6	7
35	 Braveheart (1995)	110	8
35	 Fargo (1996)	608	9
35	 Trainspotting (1996)	778	10
35	 L.A. Confidential (1997)	1617	11
35	 Titanic (1997)	1721	12
35	 Good Will Hunting (1997)	1704	13
35	 The Sweet Hereafter (1997)	1719	14
35	 Life Is Beautiful (1997)	2324	15
35	 Saving Private Ryan (1998)	2028	16
35	 The Truman Show (1998)	1682	17
35	 The Thin Red Line (1998)	2427	18
35	 The Big Lebowski (1998)	1732	19
35	 Fight Club (1999)	2959	20
35	 American Beauty (1999)	2858	21
35	 The Matrix (1999)	2571	22
35	 The Sixth Sense (1999)	2762	23
35	 Toy Story 2 (1999)	3114	24
35	 All About My Mother (1999)	3083	25
35	 The Green Mile (1999)	3147	26
35	 Crouching Tiger, Hidden Dragon (2000)	3996	27
35	 Memento (2000)	4226	28
35	 In the Mood for Love (2000)	4144	29
35	 Yi Yi (2000)	4334	30
35	 Mulholland Drive (2001)	4848	31
35	 Spirited Away (2001)	95633	32
35	 A Beautiful Mind (2001)	4995	33
35	 The Lord of the Rings: The Fellowship of the Ring (2001)	4993	34
35	 The Lord of the Rings: The Two Towers (2002)	5952	35
35	 Talk to Her (2002)	5066	36
35	 City of God (2002)	62376	37
35	 Minority Report (2002)	5445	38
35	 Punch-Drunk Love (2002)	5673	39
35	 The Pianist (2002)	8950	40
35	 The Lord of the Rings: The Return of the King (2003)	7153	41
35	 Lost in Translation (2003)	6711	42
35	 Oldboy (2003)	107314	43
35	 Finding Nemo (2003)	6377	44
35	 Eternal Sunshine of the Spotless Mind (2004)	7361	45
35	 Sideways (2004)	8949	47
35	 Before Sunset (2004)	8638	48
35	 Caché (2005)	31685	49
35	 A History of Violence (2005)	37733	50
