model	nDCG	Recall	Precision	nDCGRendle2020	HR	F1	MAP	MAR	MRR	ACLT	APLT	ARP	PopREO	PopRSP	ItemCoverage	UserCoverage	Gini	SEntropy	EFD	EPC
ItemKNN_nn=80_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.04642109787165889	0.10634337496938527	0.0044526083761939755	0.04642109787165889	0.2035268185157972	0.008491957620405804	0.0071087187734665555	0.06916727896154787	0.04169158180431783	28.733284349742835	0.5746656869948568	14.746612784717119	0.27052193763885796	0.25064356935596704	2234.0	1361.0	0.685168731797732	10.842418857149529	0.06250732315773126	0.00592090585268829
ItemKNN_nn=80_sim=correlation_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.036779077523663016	0.09005633112907176	0.003806024981631154	0.036779077523663016	0.17560617193240263	0.007258756785733506	0.005763732349817937	0.05739505265735978	0.030965738023508462	18.20646583394563	0.3641293166789126	6.949493019838354	0.3385121003884075	0.5949534823653392	2212.0	1361.0	0.43899094242300285	10.337772129322483	0.05169102546081498	0.00480927726317458
ItemKNN_nn=40_sim=correlation_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.02402652447319066	0.06075189811413176	0.0026451138868479065	0.02402652447319066	0.12564290962527552	0.005040622301792639	0.00381141813809443	0.03897232427136909	0.01934551904434883	34.461425422483465	0.6892285084496693	3.8220132255694343	0.13410220175958423	0.008298212901034918	2215.0	1361.0	0.5402839052052356	10.622169163226584	0.036510198725355686	0.003207114548523036
ItemKNN_nn=20_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.03504187771443346	0.07618172912074456	0.0032623071271124177	0.03504187771443346	0.1535635562086701	0.006214849438518788	0.005301068192330669	0.050343864805290225	0.03333171333943867	40.56135194709772	0.8112270389419544	9.679397501836885	0.08524070834991111	0.3117165460030156	2201.0	1361.0	0.6416625377207104	10.786334015085005	0.04915112084692395	0.0045098057153849696
ItemKNN_nn=100_sim=correlation_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.039508813590613576	0.09730590252265492	0.004173401910360029	0.039508813590613576	0.19324026451138868	0.007950674837699704	0.0063781753689682065	0.06387607151604213	0.03362398853777143	14.66054371785452	0.29321087435709037	8.633886847905952	0.48814549279594754	0.6892239864968706	2193.0	1361.0	0.4014973447844814	10.214356794553296	0.05537395173812218	0.0052581851474921715
ItemKNN_nn=60_sim=correlation_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.031963194048934794	0.0778104335047759	0.0033063923585598823	0.0319631940489348	0.1535635562086701	0.006304712412302883	0.004936812589775043	0.04849179524859172	0.02761000996247771	23.90154298310066	0.47803085966201325	5.299103600293901	0.14561626429479038	0.42232839160891994	2227.0	1361.0	0.487749037301344	10.480755711579555	0.04666216849982327	0.004210585576973785
ItemKNN_nn=100_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.04890074236860659	0.11626255204506492	0.004893460690668626	0.04890074236860659	0.22116091109478325	0.009328371716721342	0.007465888212020505	0.0740173891746265	0.04160182941168412	26.789125642909625	0.5357825128581926	16.63285819250551	0.32589670237190876	0.32288836857502307	2234.0	1361.0	0.664771740965209	10.799203187240055	0.0649900843005622	0.006238401427007035
ItemKNN_nn=60_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.043115742926987624	0.09414646093558657	0.0039970609845701695	0.043115742926987624	0.18368846436443792	0.007619434990647154	0.006758956747724491	0.06396987509184422	0.040188045468902464	31.367376928728877	0.6273475385745775	12.916443791329904	0.1488803479781823	0.14509736315834665	2233.0	1361.0	0.6938659010046684	10.863296767196937	0.05880450635927433	0.0055147956078162655
ItemKNN_nn=40_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.039647189684822406	0.08728875826598088	0.0037178545187362237	0.039647189684822406	0.1719324026451139	0.0070861691712799275	0.006070634801029985	0.057221405829047264	0.036552288080350055	35.6208670095518	0.712417340191036	11.329360764144011	0.04384891876796767	0.04698626354246829	2225.0	1361.0	0.6826560249651789	10.847199225266106	0.0544085726996887	0.005065275976695281
ItemKNN_nn=20_sim=correlation_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.021449291786165958	0.05366152338966446	0.002233651726671565	0.021449291786165954	0.10506980161645849	0.0042590664771424	0.003299485220970475	0.03473720303698261	0.016137300655038624	45.15209404849375	0.903041880969875	2.8393681116825866	0.26837108585662833	0.6101680311746207	2165.0	1361.0	0.5376663914767237	10.60798631501675	0.031178676655939704	0.0027178895680719396
