model	metric	value
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ChainedKG	nDCG	0.03704650267089264
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ChainedKG	Recall	0.05391868723977468
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ChainedKG	Precision	0.011756061719324026
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ChainedKG	nDCGRendle2020	0.03704650267089264
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ChainedKG	HR	0.10947832476120499
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ChainedKG	F1	0.0188715521559019
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ChainedKG	MAP	0.01606160269643003
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ChainedKG	MAR	0.03666176830761695
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ChainedKG	MRR	0.045537245022917325
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ChainedKG	ACLT	5.916238060249817
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ChainedKG	APLT	0.5916238060249817
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ChainedKG	ARP	8.118442321822188
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ChainedKG	PopREO	0.04577830499538686
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ChainedKG	PopRSP	0.21767561150184456
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ChainedKG	ItemCoverage	1619.0
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ChainedKG	UserCoverage	1361.0
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ChainedKG	Gini	0.34962977684607344
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ChainedKG	SEntropy	9.989870946202632
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ChainedKG	EFD	0.15319712374805067
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ChainedKG	EPC	0.01388868101659244
AttributeItemKNN_nn=20_sim=cosine_bin=False_load=ChainedKG	nDCG	0.05033735829648733
AttributeItemKNN_nn=20_sim=cosine_bin=False_load=ChainedKG	Recall	0.07166299289737937
AttributeItemKNN_nn=20_sim=cosine_bin=False_load=ChainedKG	Precision	0.015944158706833213
AttributeItemKNN_nn=20_sim=cosine_bin=False_load=ChainedKG	nDCGRendle2020	0.05033735829648733
