model	metric	value
VSM_sim=correlation_up=binary_ip=tfidf_load=ChainedKG	nDCG	0.05006000256383661
VSM_sim=correlation_up=binary_ip=tfidf_load=ChainedKG	Recall	0.10536370315944157
VSM_sim=correlation_up=binary_ip=tfidf_load=ChainedKG	Precision	0.011572373254959589
VSM_sim=correlation_up=binary_ip=tfidf_load=ChainedKG	nDCGRendle2020	0.05006000256383661
VSM_sim=correlation_up=binary_ip=tfidf_load=ChainedKG	HR	0.20720058780308598
VSM_sim=correlation_up=binary_ip=tfidf_load=ChainedKG	F1	0.020591912107741264
VSM_sim=correlation_up=binary_ip=tfidf_load=ChainedKG	MAP	0.013094306656068632
VSM_sim=correlation_up=binary_ip=tfidf_load=ChainedKG	MAR	0.05961058045554739
VSM_sim=correlation_up=binary_ip=tfidf_load=ChainedKG	MRR	0.045513152371471126
VSM_sim=correlation_up=binary_ip=tfidf_load=ChainedKG	ACLT	11.59147685525349
VSM_sim=correlation_up=binary_ip=tfidf_load=ChainedKG	APLT	0.5795738427626744
VSM_sim=correlation_up=binary_ip=tfidf_load=ChainedKG	ARP	7.145628214548127
VSM_sim=correlation_up=binary_ip=tfidf_load=ChainedKG	PopREO	0.05827620241683783
VSM_sim=correlation_up=binary_ip=tfidf_load=ChainedKG	PopRSP	0.24119617133224838
VSM_sim=correlation_up=binary_ip=tfidf_load=ChainedKG	ItemCoverage	1426.0
VSM_sim=correlation_up=binary_ip=tfidf_load=ChainedKG	UserCoverage	1361.0
VSM_sim=correlation_up=binary_ip=tfidf_load=ChainedKG	Gini	0.22079185604483942
VSM_sim=correlation_up=binary_ip=tfidf_load=ChainedKG	SEntropy	9.218947268776787
VSM_sim=correlation_up=binary_ip=tfidf_load=ChainedKG	EFD	0.1345333897519177
VSM_sim=correlation_up=binary_ip=tfidf_load=ChainedKG	EPC	0.012249139003566485
VSM_sim=correlation_up=tfidf_ip=binary_load=ChainedKG	nDCG	0.05784667506752032
VSM_sim=correlation_up=tfidf_ip=binary_load=ChainedKG	Recall	0.11503796228263531
VSM_sim=correlation_up=tfidf_ip=binary_load=ChainedKG	Precision	0.01307861866274798
VSM_sim=correlation_up=tfidf_ip=binary_load=ChainedKG	nDCGRendle2020	0.05784667506752032
VSM_sim=correlation_up=tfidf_ip=binary_load=ChainedKG	HR	0.224834680382072
VSM_sim=correlation_up=tfidf_ip=binary_load=ChainedKG	F1	0.023181556434599276
VSM_sim=correlation_up=tfidf_ip=binary_load=ChainedKG	MAP	0.016576434828080345
VSM_sim=correlation_up=tfidf_ip=binary_load=ChainedKG	MAR	0.0733896644624051
VSM_sim=correlation_up=tfidf_ip=binary_load=ChainedKG	MRR	0.05453841349740604
VSM_sim=correlation_up=tfidf_ip=binary_load=ChainedKG	ACLT	11.640705363703159
VSM_sim=correlation_up=tfidf_ip=binary_load=ChainedKG	APLT	0.5820352681851579
VSM_sim=correlation_up=tfidf_ip=binary_load=ChainedKG	ARP	7.744195444526084
VSM_sim=correlation_up=tfidf_ip=binary_load=ChainedKG	PopREO	0.09747339557354574
VSM_sim=correlation_up=tfidf_ip=binary_load=ChainedKG	PopRSP	0.2364295881640697
VSM_sim=correlation_up=tfidf_ip=binary_load=ChainedKG	ItemCoverage	1663.0
VSM_sim=correlation_up=tfidf_ip=binary_load=ChainedKG	UserCoverage	1361.0
VSM_sim=correlation_up=tfidf_ip=binary_load=ChainedKG	Gini	0.30403229494921746
VSM_sim=correlation_up=tfidf_ip=binary_load=ChainedKG	SEntropy	9.757176696606377
VSM_sim=correlation_up=tfidf_ip=binary_load=ChainedKG	EFD	0.16091034170125332
VSM_sim=correlation_up=tfidf_ip=binary_load=ChainedKG	EPC	0.014503244473506597
VSM_sim=cosine_up=tfidf_ip=binary_load=ChainedKG	nDCG	0.05805098049488436
VSM_sim=cosine_up=tfidf_ip=binary_load=ChainedKG	Recall	0.11509919177075678
VSM_sim=cosine_up=tfidf_ip=binary_load=ChainedKG	Precision	0.01307861866274798
VSM_sim=cosine_up=tfidf_ip=binary_load=ChainedKG	nDCGRendle2020	0.05805098049488436
VSM_sim=cosine_up=tfidf_ip=binary_load=ChainedKG	HR	0.224834680382072
VSM_sim=cosine_up=tfidf_ip=binary_load=ChainedKG	F1	0.02318421858625673
VSM_sim=cosine_up=tfidf_ip=binary_load=ChainedKG	MAP	0.0165360133750946
VSM_sim=cosine_up=tfidf_ip=binary_load=ChainedKG	MAR	0.07338231692383052
VSM_sim=cosine_up=tfidf_ip=binary_load=ChainedKG	MRR	0.054469900345838415
VSM_sim=cosine_up=tfidf_ip=binary_load=ChainedKG	ACLT	11.633357825128583
VSM_sim=cosine_up=tfidf_ip=binary_load=ChainedKG	APLT	0.5816678912564291
VSM_sim=cosine_up=tfidf_ip=binary_load=ChainedKG	ARP	7.773548861131521
VSM_sim=cosine_up=tfidf_ip=binary_load=ChainedKG	PopREO	0.09747339557354574
VSM_sim=cosine_up=tfidf_ip=binary_load=ChainedKG	PopRSP	0.23714224443416534
VSM_sim=cosine_up=tfidf_ip=binary_load=ChainedKG	ItemCoverage	1681.0
VSM_sim=cosine_up=tfidf_ip=binary_load=ChainedKG	UserCoverage	1361.0
VSM_sim=cosine_up=tfidf_ip=binary_load=ChainedKG	Gini	0.30591350173553866
VSM_sim=cosine_up=tfidf_ip=binary_load=ChainedKG	SEntropy	9.766059913217083
VSM_sim=cosine_up=tfidf_ip=binary_load=ChainedKG	EFD	0.16113194827631389
VSM_sim=cosine_up=tfidf_ip=binary_load=ChainedKG	EPC	0.014499654310896027
VSM_sim=correlation_up=tfidf_ip=tfidf_load=ChainedKG	nDCG	0.05750801649400785
VSM_sim=correlation_up=tfidf_ip=tfidf_load=ChainedKG	Recall	0.11936076414401174
VSM_sim=correlation_up=tfidf_ip=tfidf_load=ChainedKG	Precision	0.013482733284349744
VSM_sim=correlation_up=tfidf_ip=tfidf_load=ChainedKG	nDCGRendle2020	0.05750801649400785
VSM_sim=correlation_up=tfidf_ip=tfidf_load=ChainedKG	HR	0.22997795738427626
VSM_sim=correlation_up=tfidf_ip=tfidf_load=ChainedKG	F1	0.023921456196637488
VSM_sim=correlation_up=tfidf_ip=tfidf_load=ChainedKG	MAP	0.016272931930815294
VSM_sim=correlation_up=tfidf_ip=tfidf_load=ChainedKG	MAR	0.0739033798677443
VSM_sim=correlation_up=tfidf_ip=tfidf_load=ChainedKG	MRR	0.05103287350843669
VSM_sim=correlation_up=tfidf_ip=tfidf_load=ChainedKG	ACLT	11.362968405584128
VSM_sim=correlation_up=tfidf_ip=tfidf_load=ChainedKG	APLT	0.5681484202792064
VSM_sim=correlation_up=tfidf_ip=tfidf_load=ChainedKG	ARP	8.07722263041881
VSM_sim=correlation_up=tfidf_ip=tfidf_load=ChainedKG	PopREO	0.11811816310571395
VSM_sim=correlation_up=tfidf_ip=tfidf_load=ChainedKG	PopRSP	0.26307159460468227
VSM_sim=correlation_up=tfidf_ip=tfidf_load=ChainedKG	ItemCoverage	1541.0
VSM_sim=correlation_up=tfidf_ip=tfidf_load=ChainedKG	UserCoverage	1361.0
VSM_sim=correlation_up=tfidf_ip=tfidf_load=ChainedKG	Gini	0.27122074763261483
VSM_sim=correlation_up=tfidf_ip=tfidf_load=ChainedKG	SEntropy	9.600721456917535
VSM_sim=correlation_up=tfidf_ip=tfidf_load=ChainedKG	EFD	0.1595856355101305
VSM_sim=correlation_up=tfidf_ip=tfidf_load=ChainedKG	EPC	0.014369865853809111
VSM_sim=cosine_up=binary_ip=tfidf_load=ChainedKG	nDCG	0.050457085568279755
VSM_sim=cosine_up=binary_ip=tfidf_load=ChainedKG	Recall	0.10552289982855742
VSM_sim=cosine_up=binary_ip=tfidf_load=ChainedKG	Precision	0.011498897869213813
VSM_sim=cosine_up=binary_ip=tfidf_load=ChainedKG	nDCGRendle2020	0.050457085568279755
VSM_sim=cosine_up=binary_ip=tfidf_load=ChainedKG	HR	0.2049963262307127
VSM_sim=cosine_up=binary_ip=tfidf_load=ChainedKG	F1	0.020477987229097345
VSM_sim=cosine_up=binary_ip=tfidf_load=ChainedKG	MAP	0.013127810257095088
VSM_sim=cosine_up=binary_ip=tfidf_load=ChainedKG	MAR	0.05939321577271613
VSM_sim=cosine_up=binary_ip=tfidf_load=ChainedKG	MRR	0.04631830477559465
VSM_sim=cosine_up=binary_ip=tfidf_load=ChainedKG	ACLT	11.590742101396032
VSM_sim=cosine_up=binary_ip=tfidf_load=ChainedKG	APLT	0.5795371050698016
VSM_sim=cosine_up=binary_ip=tfidf_load=ChainedKG	ARP	7.192211609110948
VSM_sim=cosine_up=binary_ip=tfidf_load=ChainedKG	PopREO	0.042908047248214905
VSM_sim=cosine_up=binary_ip=tfidf_load=ChainedKG	PopRSP	0.24126716836734238
VSM_sim=cosine_up=binary_ip=tfidf_load=ChainedKG	ItemCoverage	1431.0
VSM_sim=cosine_up=binary_ip=tfidf_load=ChainedKG	UserCoverage	1361.0
VSM_sim=cosine_up=binary_ip=tfidf_load=ChainedKG	Gini	0.22122395580552656
VSM_sim=cosine_up=binary_ip=tfidf_load=ChainedKG	SEntropy	9.223573783641601
VSM_sim=cosine_up=binary_ip=tfidf_load=ChainedKG	EFD	0.13556125876491285
