model	nDCG	Recall	Precision	nDCGRendle2020	HR	F1	MAP	MAR	MRR	ACLT	APLT	ARP	PopREO	PopRSP	ItemCoverage	UserCoverage	Gini	SEntropy	EFD	EPC
output_exp_1_rec_book_copy	0.07139642	0.130308597	0.014033799	0.07139642	0.251285819	0.024969318	0.020005681	0.085042248	0.075379612	3.719324026	0.187467122	48.14003189	0.383605118	0.809706962	876	1360	0.055289361	7.070754842	0.167109777	0.017067239
VSM_sim=cosine_up=tfidf_ip=binary_load=ChainedKG	0.05805098	0.115099192	0.013078619	0.05805098	0.22483468	0.023184219	0.016536013	0.073382317	0.0544699	11.63335783	0.581667891	7.773548861	0.097473396	0.237142244	1681	1361	0.305913502	9.766059913	0.161131948	0.014499654
AttributeItemKNN_nn=20_sim=cosine_bin=False_load=ChainedKG	0.059439526	0.099926525	0.011278472	0.059439526	0.198383542	0.019992357	0.017740505	0.069289738	0.066336726	11.99265246	0.599632623	7.277185893	0.085731654	0.201781132	1732	1361	0.335705352	9.888384442	0.163260229	0.014716629
AttributeUserKNN_nn=60_sim=cosine_profile=binary_bin=False_load=ChainedKG	0.050921748	0.090533921	0.010396767	0.050921748	0.189566495	0.01841628	0.014871321	0.058900318	0.056763151	0.996326231	0.049816312	57.8497061	0.797871701	0.954555427	1291	1361	0.11023065	8.116637564	0.115883826	0.012543205
ItemKNN_nn=100_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.036906426	0.067180994	0.006980162	0.036906426	0.132990448	0.012471359	0.009997325	0.043266593	0.03875729	11.53857458	0.576928729	21.22468773	0.237144857	0.246297028	2228	1361	0.611469333	10.6406908	0.089808699	0.008539916
UserKNN_nn=60_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.040158276	0.08110458	0.008927259	0.040158276	0.166054372	0.01588606	0.010838108	0.047978202	0.039528315	0.904481999	0.0452241	60.85635562	0.865396164	0.958852797	1377	1361	0.108961332	8.069348075	0.086167369	0.009566867
EASER_neighborhood=2234_l2_norm=18374136$168271586	0.026908946	0.056820965	0.006539309	0.026908946	0.122703894	0.011570373	0.007059233	0.031318883	0.02466582	0.087435709	0.004371785	96.69739162	0.937680345	0.99611298	438	1361	0.020178322	5.809870537	0.053214641	0.006344973
RP3beta_neighborhood=29_alpha=1$596217202535946_beta=0$2874229165090889_normalize_similarity=True	0.039528929	0.074663238	0.007898604	0.039528929	0.148420279	0.014085089	0.010875797	0.046855253	0.041376086	9.329169728	0.466458486	20.36381337	0.361443495	0.441216062	2150	1361	0.469406633	10.34562255	0.094308238	0.009326856
MostPop	0.011119045	0.019470977	0.002498163	0.011119045	0.047024247	0.004371584	0.003363959	0.012552657	0.012246252	0	0	108.505878	1	1	28	1361	0.009184983	4.532700529	0.019118142	0.002569311
Random_seed=42	0.00274768	0.006637277	0.000808229	0.00274768	0.016164585	0.001416919	0.000621733	0.003082292	0.002324551	13.79426892	0.689713446	5.773842763	0.542937418	0.000611169	2234	1361	0.841234729	11.06757849	0.006697149	0.000703354
EASER_neighborhood=2234_l2_norm=826$1068781180943	0.03180697	0.06889542	0.007935342	0.03180697	0.147685525	0.014049094	0.00801816	0.036213568	0.028527329	0.097722263	0.004886113	92.87744306	0.948512183	0.995654436	478	1361	0.024349638	6.093733082	0.064341905	0.007572801
