model	metric	value
output_exp_2_rec_book_no_rerank_mostpop	nDCG	0.0009111193350052092
output_exp_2_rec_book_no_rerank_mostpop	Recall	0.002571638501102131
output_exp_2_rec_book_no_rerank_mostpop	Precision	0.0003673769287288758
output_exp_2_rec_book_no_rerank_mostpop	nDCGRendle2020	0.0009111193350052092
output_exp_2_rec_book_no_rerank_mostpop	HR	0.0036737692872887582
output_exp_2_rec_book_no_rerank_mostpop	F1	0.0006345601496226037
output_exp_2_rec_book_no_rerank_mostpop	MAP	0.0001444724350675857
output_exp_2_rec_book_no_rerank_mostpop	MAR	0.0008817046289493019
output_exp_2_rec_book_no_rerank_mostpop	MRR	0.00048546237010601445
output_exp_2_rec_book_no_rerank_mostpop	ACLT	3.618662747979427
output_exp_2_rec_book_no_rerank_mostpop	APLT	0.36186627479794264
output_exp_2_rec_book_no_rerank_mostpop	ARP	74.86105804555473
output_exp_2_rec_book_no_rerank_mostpop	PopREO	1.0
output_exp_2_rec_book_no_rerank_mostpop	PopRSP	0.5981056233537645
output_exp_2_rec_book_no_rerank_mostpop	ItemCoverage	17.0
output_exp_2_rec_book_no_rerank_mostpop	UserCoverage	1361.0
output_exp_2_rec_book_no_rerank_mostpop	Gini	0.004195105611407013
output_exp_2_rec_book_no_rerank_mostpop	SEntropy	3.5067488273880847
output_exp_2_rec_book_no_rerank_mostpop	EFD	0.001302349755850087
output_exp_2_rec_book_no_rerank_mostpop	EPC	0.00018397816596866373
