model	metric	value
output_exp_3_rec_book_no_rerank_userknn	nDCG	0.0301733535946904
output_exp_3_rec_book_no_rerank_userknn	Recall	0.08815821699730589
output_exp_3_rec_book_no_rerank_userknn	Precision	0.003967670830271859
output_exp_3_rec_book_no_rerank_userknn	nDCGRendle2020	0.0301733535946904
output_exp_3_rec_book_no_rerank_userknn	HR	0.18515797207935342
output_exp_3_rec_book_no_rerank_userknn	F1	0.007549873309242642
output_exp_3_rec_book_no_rerank_userknn	MAP	0.0047410773580992835
output_exp_3_rec_book_no_rerank_userknn	MAR	0.053036247856967915
output_exp_3_rec_book_no_rerank_userknn	MRR	0.019689844035315113
output_exp_3_rec_book_no_rerank_userknn	ACLT	7.432770022042615
output_exp_3_rec_book_no_rerank_userknn	APLT	0.18620357869956355
output_exp_3_rec_book_no_rerank_userknn	ARP	36.75897379737798
output_exp_3_rec_book_no_rerank_userknn	PopREO	0.7760993477366659
output_exp_3_rec_book_no_rerank_userknn	PopRSP	0.8155010720405768
output_exp_3_rec_book_no_rerank_userknn	ItemCoverage	2033.0
output_exp_3_rec_book_no_rerank_userknn	UserCoverage	1361.0
output_exp_3_rec_book_no_rerank_userknn	Gini	0.2837367644020551
output_exp_3_rec_book_no_rerank_userknn	SEntropy	9.572495318513935
output_exp_3_rec_book_no_rerank_userknn	EFD	0.045015134902961676
output_exp_3_rec_book_no_rerank_userknn	EPC	0.004748188628323706
