model	metric	value
VSM_sim=cosine_up=tfidf_ip=binary_load=ChainedKG	nDCG	0.009055033608355688
VSM_sim=cosine_up=tfidf_ip=binary_load=ChainedKG	Recall	0.023533950617283948
VSM_sim=cosine_up=tfidf_ip=binary_load=ChainedKG	Precision	0.0025462962962962965
VSM_sim=cosine_up=tfidf_ip=binary_load=ChainedKG	nDCGRendle2020	0.009055033608355688
VSM_sim=cosine_up=tfidf_ip=binary_load=ChainedKG	HR	0.05092592592592592
VSM_sim=cosine_up=tfidf_ip=binary_load=ChainedKG	F1	0.004575168524443887
VSM_sim=cosine_up=tfidf_ip=binary_load=ChainedKG	MAP	0.0017227009001577931
VSM_sim=cosine_up=tfidf_ip=binary_load=ChainedKG	MAR	0.009326774691358024
VSM_sim=cosine_up=tfidf_ip=binary_load=ChainedKG	MRR	0.006616697139035461
VSM_sim=cosine_up=tfidf_ip=binary_load=ChainedKG	ACLT	12.320601851851851
VSM_sim=cosine_up=tfidf_ip=binary_load=ChainedKG	APLT	0.6160300925925926
VSM_sim=cosine_up=tfidf_ip=binary_load=ChainedKG	ARP	7.1359375
VSM_sim=cosine_up=tfidf_ip=binary_load=ChainedKG	PopREO	0.051509769094138534
VSM_sim=cosine_up=tfidf_ip=binary_load=ChainedKG	PopRSP	0.16384387836470293
VSM_sim=cosine_up=tfidf_ip=binary_load=ChainedKG	ItemCoverage	1474.0
VSM_sim=cosine_up=tfidf_ip=binary_load=ChainedKG	UserCoverage	864.0
VSM_sim=cosine_up=tfidf_ip=binary_load=ChainedKG	Gini	0.2911627249880664
VSM_sim=cosine_up=tfidf_ip=binary_load=ChainedKG	SEntropy	9.968555476855945
VSM_sim=cosine_up=tfidf_ip=binary_load=ChainedKG	EFD	0.024101534554346625
VSM_sim=cosine_up=tfidf_ip=binary_load=ChainedKG	EPC	0.0021889192220908137
AttributeUserKNN_nn=60_sim=cosine_profile=binary_bin=False_load=ChainedKG	nDCG	0.012824322295474862
