model	metric	value
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ItemAttributes	nDCG	0.2992107632597191
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ItemAttributes	Recall	0.4410317901970656
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ItemAttributes	Precision	0.06535336672231498
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ItemAttributes	nDCGRendle2020	0.3065949716128333
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ItemAttributes	HR	0.9309961046188091
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ItemAttributes	F1	0.1128183635112149
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ItemAttributes	MAP	0.11106527770530131
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ItemAttributes	MAR	0.30100574590808316
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ItemAttributes	MRR	0.4163166335587879
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ItemAttributes	ACLT	18.051196438508626
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ItemAttributes	APLT	0.36102392877017253
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ItemAttributes	ARP	61.48194769059543
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ItemAttributes	PopREO	0.1523914227839991
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ItemAttributes	PopRSP	0.4070697576594594
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ItemAttributes	ItemCoverage	1507.0
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ItemAttributes	UserCoverage	1797.0
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ItemAttributes	Gini	0.5479204014954834
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ItemAttributes	SEntropy	10.037398777121483
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ItemAttributes	EFD	0.8351652230466527
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ItemAttributes	EPC	0.0832414988900998
AttributeItemKNN_nn=20_sim=cosine_bin=False_load=ItemAttributes	nDCG	0.29622293718779397
AttributeItemKNN_nn=20_sim=cosine_bin=False_load=ItemAttributes	Recall	0.4396547155311763
AttributeItemKNN_nn=20_sim=cosine_bin=False_load=ItemAttributes	Precision	0.06506399554813579
AttributeItemKNN_nn=20_sim=cosine_bin=False_load=ItemAttributes	nDCGRendle2020	0.306285865076547
AttributeItemKNN_nn=20_sim=cosine_bin=False_load=ItemAttributes	HR	0.9376739009460211
