model	metric	value
output_exp_3_rec_artist_rerank_userknn_copy	nDCG	0.21413421586141862
output_exp_3_rec_artist_rerank_userknn_copy	Recall	0.23070947169444667
output_exp_3_rec_artist_rerank_userknn_copy	Precision	0.0849193099610462
output_exp_3_rec_artist_rerank_userknn_copy	nDCGRendle2020	0.20831254876351118
output_exp_3_rec_artist_rerank_userknn_copy	HR	0.7774067890929327
output_exp_3_rec_artist_rerank_userknn_copy	F1	0.12193450157211182
output_exp_3_rec_artist_rerank_userknn_copy	MAP	0.13274184602153816
output_exp_3_rec_artist_rerank_userknn_copy	MAR	0.15604751305085193
output_exp_3_rec_artist_rerank_userknn_copy	MRR	0.38827898552710804
output_exp_3_rec_artist_rerank_userknn_copy	ACLT	2.561491374513077
output_exp_3_rec_artist_rerank_userknn_copy	APLT	0.12960568107853057
output_exp_3_rec_artist_rerank_userknn_copy	ARP	106.10264633250341
output_exp_3_rec_artist_rerank_userknn_copy	PopREO	0.5608691758900877
output_exp_3_rec_artist_rerank_userknn_copy	PopRSP	0.798306405976171
output_exp_3_rec_artist_rerank_userknn_copy	ItemCoverage	1362.0
output_exp_3_rec_artist_rerank_userknn_copy	UserCoverage	1797.0
output_exp_3_rec_artist_rerank_userknn_copy	Gini	0.3145667881915034
output_exp_3_rec_artist_rerank_userknn_copy	SEntropy	9.258948969183184
output_exp_3_rec_artist_rerank_userknn_copy	EFD	0.9790845917246238
output_exp_3_rec_artist_rerank_userknn_copy	EPC	0.10210361224625557
