model	nDCG	Recall	Precision	nDCGRendle2020	HR	F1	MAP	MAR	MRR	ACLT	APLT	ARP	PopREO	PopRSP	ItemCoverage	UserCoverage	Gini	SEntropy	EFD	EPC
AttributeUserKNN_nn=100_sim=correlation_profile=binary_bin=False_load=ItemAttributes	0.01548767525910047	0.030437710437710437	0.01494949494949495	0.021694389686659144	0.1393939393939394	0.019837939837939838	0.013200336700336702	0.01536026936026936	0.0375974025974026	4.216161616161616	0.4216161616161616	46.465858585858584	0.26245784496379976	0.28740271420457814	1121.0	495.0	0.405675882329269	9.634089323734925	0.14820389992980595	0.013435121437237397
output_exp_2_rec_artist_no_rerank_userknn_performance	0.05087386224989151	0.07076923076923076	0.03205128205128205	0.05459363478842902	0.2846153846153846	0.043518831595754676	0.03561538461538462	0.04071367521367521	0.09772486772486771	2.5692307692307694	0.2569230769230769	81.55897435897435	0.2422771901386053	0.5840788627915686	1076.0	390.0	0.39204651479551855	9.547985193186358	0.33033929909504894	0.03188856312482101
UserKNN_nn=100_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.027207017018149097	0.04188552188552188	0.02	0.0327752054858288	0.1898989898989899	0.026784696784696787	0.02210646143979477	0.024646464646464646	0.06221420554753888	2.216161616161616	0.22161616161616163	75.06949494949495	0.05075007979572298	0.6444794482662846	1067.0	495.0	0.3621382483533879	9.465142148840885	0.21801429282619003	0.020125745137899463
EASER_neighborhood=1507_l2_norm=28754079$46612463	0.018505267998333987	0.0298989898989899	0.014141414141414139	0.021393180407539653	0.13535353535353536	0.01897990897990898	0.012834696168029501	0.015154882154882155	0.03766955266955267	0.5616161616161616	0.056161616161616155	109.56161616161616	0.5371206225680935	0.9135413489345586	617.0	495.0	0.16075683796799356	8.341617538990239	0.13503803322846264	0.013108473183116597
VSM_sim=cosine_up=tfidf_ip=binary_load=ItemAttributes	0.025018453807981445	0.04198653198653198	0.019595959595959597	0.03030058780897744	0.1797979797979798	0.026327561327561328	0.018975388808722144	0.023545454545454546	0.050760782427449094	1.903030303030303	0.19030303030303033	83.36565656565656	0.08187023851018276	0.6971236766601662	902.0	495.0	0.2652908903108111	9.022822114383054	0.19520893184651528	0.018230410234274262
output_exp_1_rec_artist	0.20677032627252134	0.2196969696969697	0.09858585858585858	0.20311244651203786	0.6323232323232323	0.13423150923150923	0.14476839826839827	0.15171380471380472	0.35119769119769123	1.9252525252525252	0.2008521725188392	90.67173641173642	0.31011630505336424	0.6868477147382325	708.0	495.0	0.1965934932684238	8.58252951866877	1.2225174399176835	0.11847046572082859
output_exp_3_rec_artist_rerank_userknn_copy	0.1440154860014685	0.1647138047138047	0.07131313131313133	0.14626463173757612	0.498989898989899	0.09785973285973286	0.101671797338464	0.11187542087542088	0.2550208433541767	1.8909090909090909	0.1890909090909091	100.90040404040406	0.25711266857505444	0.6991448050359208	866.0	495.0	0.25088414020684957	8.904948392857518	0.8406037426503856	0.08158588299281891
Random_seed=42	0.004207234582059173	0.005723905723905723	0.0024242424242424242	0.003918823786106044	0.024242424242424242	0.0033494283494283493	0.0022380952380952387	0.0032154882154882152	0.006259419592752925	5.593939393939394	0.5593939393939393	32.749494949494945	0.1268566232191573	0.014396676430042967	1467.0	495.0	0.6976744872362404	10.328972141439305	0.02434268805841982	0.002195850381164217
output_exp_2_rec_artist_rerank_mostpop_copy	0.08866426393588919	0.08723905723905723	0.039797979797979804	0.08639359003715058	0.3111111111111111	0.05367558367558367	0.0645657367324034	0.06417508417508418	0.1707182940516274	0.14545454545454545	0.015353535353535355	216.19313131313132	0.8407799794178707	0.9777923776703942	237.0	495.0	0.02220821287895769	5.333145242564233	0.4362029117974333	0.04692978015345593
AttributeItemKNN_nn=40_sim=correlation_bin=False_load=ItemAttributes	0.02424072621305415	0.03474747474747475	0.01616161616161616	0.025655697901852778	0.1494949494949495	0.02176730676730677	0.015474987974987975	0.018936026936026935	0.04379990379990379	4.9393939393939394	0.49393939393939396	42.107676767676764	0.013514148726144596	0.14867324630386977	1373.0	495.0	0.6072526057386616	10.161729481512326	0.16313316794042804	0.015114474956512611
output_exp_3_rec_artist_no_rerank_userknn_performance	0.07087849374924755	0.11111111111111109	0.05047619047619048	0.07892659780067082	0.4	0.06852433281004709	0.046363567649281935	0.05701587301587301	0.12084278155706729	2.4285714285714284	0.24285714285714285	81.18666666666667	0.37907887376468397	0.6083865732383399	596.0	105.0	0.2724871940808197	8.944288750198659	0.4786013371074921	0.04567190452438018
ItemKNN_nn=100_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0245911265666291	0.038653198653198655	0.01797979797979798	0.02769200055241857	0.16565656565656567	0.024220964220964217	0.016955266955266956	0.020006734006734004	0.0477336860670194	4.1454545454545455	0.4145454545454545	48.40222222222223	0.04236478581471983	0.30067776826722575	1319.0	495.0	0.5643489342294119	10.072703570410194	0.18311840460151563	0.016886153184572577
RP3beta_neighborhood=507_alpha=1$0180281935718316_beta=0$41875971052261285_normalize_similarity=True	0.02183814359828722	0.041784511784511785	0.0197979797979798	0.028915411152495126	0.18585858585858586	0.02652958152958153	0.01681681898348565	0.021131313131313133	0.04680615680615681	2.686868686868687	0.2686868686868687	70.10787878787879	0.1128919999204566	0.5637471760607073	1090.0	495.0	0.3875809891746148	9.568459204130441	0.1883331392082616	0.017636717060413292
MostPop	0.012405713667958711	0.02175084175084175	0.010505050505050505	0.014939205533654094	0.10303030303030303	0.013940318940318941	0.00880479397146064	0.010582491582491582	0.025797659130992464	0.0	0.0	146.2793939393939	1.0	1.0	21.0	495.0	0.007215850403101243	3.8660015529256486	0.08137485434501589	0.008892818443294707
