model	nDCG	Recall	Precision	nDCGRendle2020	HR	F1	MAP	MAR	MRR	ACLT	APLT	ARP	PopREO	PopRSP	ItemCoverage	UserCoverage	Gini	SEntropy	EFD	EPC
AttributeUserKNN_nn=20_sim=correlation_profile=binary_bin=False_load=ItemAttributes	0.2093925598378905	0.12933354211644468	0.20218120805369127	0.24444937636671807	0.7348993288590604	0.13157304386567698	0.2515086023223607	0.0830208348710632	0.45560948652391603	0.3187919463087248	0.031879194630872486	112.33909395973153	0.9945574177808633	0.9461762425263079	611.0	596.0	0.09512277804023972	7.771210634228922	1.9211512695062176	0.17379208222978879
AttributeUserKNN_nn=100_sim=cosine_profile=binary_bin=False_load=ItemAttributes	0.2004740271868517	0.11840016336434867	0.1906040268456376	0.23231247046343884	0.7164429530201343	0.12189375061527855	0.2412167758602322	0.07865729105224498	0.44147557792692016	0.04194630872483222	0.004194630872483221	142.0709731543624	1.0	0.9929493427411387	266.0	596.0	0.034508040347795865	6.426805563329584	1.7714887949473244	0.15802821005810733
AttributeUserKNN_nn=40_sim=correlation_profile=binary_bin=False_load=ItemAttributes	0.21375135650269814	0.1298798429469891	0.20302013422818793	0.24940230819954495	0.738255033557047	0.13258934758255503	0.25818798604452964	0.08459270557055482	0.47447467241930336	0.12248322147651007	0.012248322147651007	125.71426174496646	0.9891801281800556	0.979385478312933	451.0	596.0	0.061808979079588156	7.188720242363003	1.9355969292714919	0.17429716513449114
AttributeUserKNN_nn=40_sim=cosine_profile=binary_bin=False_load=ItemAttributes	0.21017685059139257	0.12915563588132753	0.2028523489932886	0.24745645420392157	0.7365771812080537	0.13208481287617024	0.2560402018749334	0.08287188662857115	0.46894907851283696	0.18456375838926176	0.018456375838926176	123.78708053691274	0.9891712124478489	0.9689060517584176	482.0	596.0	0.0663773175279222	7.273845920517982	1.9268741714200108	0.1734749661012861
AttributeUserKNN_nn=80_sim=cosine_profile=binary_bin=False_load=ItemAttributes	0.2045351786265922	0.12237486879595928	0.19496644295302015	0.23719160468750197	0.7214765100671141	0.12544920827384812	0.24711875466070096	0.07980355968124223	0.44639528070736134	0.05201342281879195	0.005201342281879195	137.53204697986578	1.0	0.9912557744752434	308.0	596.0	0.04065145029193351	6.640109171497008	1.8190905616385196	0.16268191334964313
AttributeUserKNN_nn=80_sim=correlation_profile=binary_bin=False_load=ItemAttributes	0.20616598654980678	0.12178665335125809	0.1946308724832215	0.23875104962875826	0.7231543624161074	0.12509322286377186	0.2500193751997444	0.0805325821662712	0.45428651326302333	0.04865771812080537	0.004865771812080537	138.8776845637584	1.0	0.9918203579455361	300.0	596.0	0.038642174770726734	6.5761560730281445	1.8305580856107448	0.16370859561972656
AttributeUserKNN_nn=20_sim=cosine_profile=binary_bin=False_load=ItemAttributes	0.20402652989688957	0.1261968912648874	0.19832214765100672	0.2394395540107648	0.7315436241610739	0.12861478175041716	0.24683565036752958	0.08043544559479274	0.44977761798231597	0.3808724832214765	0.03808724832214765	110.84882550335571	0.9834191460740349	0.9356304577073941	619.0	596.0	0.09918027761649395	7.828457176668057	1.8883567735682119	0.17078964643316316
AttributeUserKNN_nn=60_sim=cosine_profile=binary_bin=False_load=ItemAttributes	0.20648525143249935	0.12285544879408236	0.19496644295302015	0.23899647269300403	0.7197986577181208	0.12605107565706541	0.24881731383828698	0.07996186333448532	0.45765686587834237	0.09060402684563758	0.009060402684563758	132.23540268456375	1.0	0.9847586972716547	350.0	596.0	0.04850967762875569	6.877970385618299	1.8423376185179323	0.1652147042897932
AttributeUserKNN_nn=60_sim=correlation_profile=binary_bin=False_load=ItemAttributes	0.20460505715761454	0.12233926021325346	0.19479865771812083	0.23791008051309342	0.7181208053691275	0.12569776326364754	0.24842102109300096	0.07881449872823515	0.4542998295515074	0.06711409395973154	0.006711409395973154	133.04161073825503	1.0	0.988714397207752	345.0	596.0	0.04708408916329154	6.840443669908558	1.840133630284058	0.1650510791626998
AttributeUserKNN_nn=100_sim=correlation_profile=binary_bin=False_load=ItemAttributes	0.20483065596534233	0.12079398254458303	0.1931208053691275	0.23588016464061246	0.7197986577181208	0.12409382847198233	0.24421953233194849	0.07965753309464874	0.45076435495898587	0.040268456375838924	0.004026845637583892	143.56359060402684	1.0	0.993231551000309	259.0	596.0	0.03315331657584675	6.371937037431993	1.7959608831025673	0.1601539927527578
