model	nDCG	Recall	Precision	nDCGRendle2020	HR	F1	MAP	MAR	MRR	ACLT	APLT	ARP	PopREO	PopRSP	ItemCoverage	UserCoverage	Gini	SEntropy	EFD	EPC
ItemKNN_nn=80_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.26454052098602066	0.1761262895678161	0.26224832214765104	0.3144534986496122	0.8053691275167785	0.1755768791249991	0.3143558911260253	0.1107543027883427	0.5311035208266752	0.4312080536912752	0.04312080536912752	103.2991610738255	0.9183101972405434	0.9270643225578863	641.0	596.0	0.09825561057236276	7.855684600089075	2.5293662559690797	0.2324844141227667
ItemKNN_nn=80_sim=correlation_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.22866795982582858	0.15877680405007383	0.23573825503355705	0.2792099565778387	0.7768456375838926	0.15780685141489526	0.27841383029721956	0.09997045641113163	0.4704078779162672	1.0352348993288591	0.10352348993288592	74.0238255033557	0.8079693477954641	0.8231754682168886	969.0	596.0	0.18750707745348727	8.793765926823356	2.33630209676947	0.21555065680265056
ItemKNN_nn=40_sim=correlation_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.2409500080004993	0.16527439875524008	0.24597315436241615	0.2948581972475256	0.790268456375839	0.16445720024203855	0.29637024608501117	0.10383640124312456	0.5026652551400874	0.9983221476510067	0.09983221476510067	77.6261744966443	0.8312395881039771	0.82958282112741	959.0	596.0	0.17885527373967225	8.708926018672944	2.457737706794435	0.22676944933340537
ItemKNN_nn=20_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.2642262418796938	0.1741233435852956	0.2555369127516779	0.31432187957454394	0.8036912751677853	0.17307721198704815	0.3188888888888889	0.11349292522054996	0.541278496857356	0.5469798657718121	0.054697986577181196	98.88942953020134	0.9081176529203048	0.9073093447320658	737.0	596.0	0.11855500939453079	8.119801373394756	2.526349629462902	0.23191006345507578
ItemKNN_nn=100_sim=correlation_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.22384526627842868	0.15431725391634005	0.2318791946308725	0.27294382220943947	0.7684563758389261	0.15404285536187454	0.2720390566741238	0.09632464806218921	0.4612835570469799	1.080536912751678	0.1080536912751678	72.63624161073825	0.817442109927386	0.8153013642863808	988.0	596.0	0.19110909556455558	8.8096881633605	2.2989802936934685	0.21214316971531108
ItemKNN_nn=60_sim=correlation_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.23738022603524533	0.16155699412694507	0.24161073825503357	0.28754841582666635	0.7734899328859061	0.16139611631947298	0.2876821002450197	0.10151236657896993	0.48717108767444334	1.0067114093959733	0.10067114093959731	76.67986577181208	0.808351230712893	0.8281272805601146	955.0	596.0	0.17854007912322523	8.711484202054196	2.4075355306084387	0.2219536858050514
ItemKNN_nn=100_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.2619000694747201	0.177073218776804	0.26023489932885907	0.31256069761454863	0.8154362416107382	0.17598947834347384	0.3137758335996591	0.1096175718259446	0.5283190849046554	0.40939597315436244	0.04093959731543624	103.40906040268456	0.9297401314581888	0.9307780210426367	615.0	596.0	0.09486654717641141	7.821349160046862	2.513064866826975	0.23096250793338718
ItemKNN_nn=60_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.26656638570975216	0.17843565684265497	0.26174496644295303	0.31701529781955157	0.8171140939597316	0.17692052008383566	0.31869293970384577	0.11384315323697887	0.5326215777138595	0.46476510067114096	0.04647651006711409	103.18540268456375	0.9062813734619046	0.921345836782305	672.0	596.0	0.10249937790536234	7.905539556839938	2.536346223396249	0.23302494080500336
ItemKNN_nn=40_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.2641834295416368	0.17733161830093952	0.2600671140939597	0.31316117223988843	0.8036912751677853	0.17664081433464748	0.31600544636198996	0.11364942487657828	0.5207640886332161	0.4664429530201342	0.046644295302013423	102.76409395973155	0.9216502353691532	0.9210597499602609	683.0	596.0	0.10642939316020461	7.964610242631631	2.5121715288461126	0.23073832037728184
ItemKNN_nn=20_sim=correlation_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.245949334337649	0.16997585438192792	0.2486577181208054	0.3009326834715187	0.7936241610738255	0.16793440821689007	0.30179070789389584	0.1064262361936716	0.517596143602855	1.0251677852348993	0.10251677852348993	77.36795302013424	0.8251115406152346	0.8249236918170335	976.0	596.0	0.18802440774787266	8.788346529357607	2.5102660364378417	0.23108977785418378
