model	nDCG	Recall	Precision	nDCGRendle2020	HR	F1	MAP	MAR	MRR	ACLT	APLT	ARP	PopREO	PopRSP	ItemCoverage	UserCoverage	Gini	SEntropy	EFD	EPC
output_exp_1_rec_movie_copy	0.14651554701651398	0.10772226439035283	0.08716442953020134	0.15197990504344916	0.662751677852349	0.07839295319869097	0.14201639406593228	0.0769721831983205	0.38042877076034143	1.5520134228187918	0.08168620373820938	99.7749639982714	0.8891674393580365	0.8627642966942954	591.0	596.0	0.06240380601335194	7.07599539653734	1.0533264848726043	0.09454798963128556
VSM_sim=cosine_up=tfidf_ip=binary_load=ItemAttributes	0.018439075852823523	0.01701629553164338	0.018456375838926176	0.0243053443543945	0.23993288590604026	0.014167433693295066	0.02222103930463778	0.010506311115966274	0.0688563322457758	7.684563758389261	0.38422818791946306	27.6501677852349	0.3343772039518524	0.31228173317830893	596.0	596.0	0.08068296975357836	7.584189849802943	0.2031061928128188	0.01841280671270557
AttributeItemKNN_nn=20_sim=cosine_bin=False_load=ItemAttributes	0.037886179570219475	0.03785595741215593	0.03557046979865772	0.04613204460892452	0.40939597315436244	0.029115246798853495	0.04064190239951117	0.02216196444916709	0.11577686829306241	10.986577181208053	0.5493288590604026	23.55763422818792	0.0468983729485306	0.011727363035484826	1654.0	596.0	0.42542617990616294	10.020629760560954	0.394805533781733	0.03477114272800209
AttributeUserKNN_nn=40_sim=correlation_profile=binary_bin=False_load=ItemAttributes	0.22635054600535898	0.1947334191005513	0.1606543624161074	0.24656814002416663	0.8036912751677853	0.14450981626811982	0.21759467813794126	0.12638039708986926	0.4791602875391601	0.3640939597315436	0.018204697986577183	108.69194630872482	0.9829457582814003	0.9693312997619734	690.0	596.0	0.09502675908528602	7.841144284091561	1.6288972040982075	0.14793103779026012
ItemKNN_nn=60_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.2834555216292456	0.2654959886525714	0.20276845637583893	0.31409250367541947	0.8758389261744967	0.18992514821674414	0.27226563271941256	0.1718795701639627	0.5368674202514874	1.0	0.05	95.5668624161074	0.8977470102486418	0.9153347592444504	957.0	596.0	0.1317577509385518	8.27736460254113	2.104639090586194	0.19368856029195192
UserKNN_nn=80_sim=correlation_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.2961828573808656	0.26636292403040146	0.20201342281879195	0.31995916849078243	0.8791946308724832	0.18920450490871774	0.2762470787707466	0.17327976444905194	0.567499142128768	0.22986577181208054	0.011493288590604027	108.56619127516778	0.9891264124741903	0.9806585794840602	646.0	596.0	0.09096384999044294	7.789120599648622	2.0739674425727928	0.18937778356067078
EASER_neighborhood=1862_l2_norm=67855082$99364877	0.21136467443525586	0.17673494492085406	0.14354026845637582	0.22404429280142663	0.8120805369127517	0.12840648413977762	0.19534788380296098	0.11299689057911548	0.4565995570485644	0.0	0.0	154.00771812080538	1.0	1.0	97.0	596.0	0.018756784437896634	5.562699931150055	1.4046824250479792	0.1250103260451093
RP3beta_neighborhood=507_alpha=1$0180281935718316_beta=0$41875971052261285_normalize_similarity=True	0.2928241777505004	0.27196824304386963	0.20293624161073828	0.3175406348609397	0.8909395973154363	0.19192029914580297	0.2720383249449509	0.17651765521371537	0.5424333431757798	0.47818791946308725	0.023909395973154363	109.37214765100671	0.9545526838087897	0.959683896211277	638.0	596.0	0.08304521636271156	7.653866923807455	2.07042200936793	0.1890487260835507
MostPop	0.15621053336777688	0.12777333366454097	0.11098993288590603	0.16748494221206173	0.7030201342281879	0.09609153334109624	0.14994355514721552	0.08095973678330175	0.3601700661520254	0.0	0.0	160.72156040268456	1.0	1.0	64.0	596.0	0.015391703241022903	5.200758312637766	1.0600674552690676	0.09289265508657865
Random_seed=42	0.011122442904003048	0.011495355548690685	0.011996644295302014	0.014644928645441344	0.18959731543624161	0.009595092284746093	0.013608105128866604	0.006259234861542216	0.044307906330653436	10.90268456375839	0.5451342281879195	22.384144295302015	0.03133854577217238	0.008640231177398866	1859.0	596.0	0.7804451312529528	10.747635586877397	0.13419137300854564	0.011804189654462323
