model	metric	value
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ItemAttributes	nDCG	0.028704546123408912
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ItemAttributes	Recall	0.018784710976843658
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ItemAttributes	Precision	0.03708053691275168
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ItemAttributes	nDCGRendle2020	0.039266780765591924
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ItemAttributes	HR	0.25
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ItemAttributes	F1	0.02064045902484547
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ItemAttributes	MAP	0.03858614307020347
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ItemAttributes	MAR	0.010862265646255623
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ItemAttributes	MRR	0.08969652178544797
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ItemAttributes	ACLT	5.48489932885906
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ItemAttributes	APLT	0.548489932885906
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ItemAttributes	ARP	22.268288590604026
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ItemAttributes	PopREO	0.042387678719639214
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ItemAttributes	PopRSP	0.010033501564985298
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ItemAttributes	ItemCoverage	1474.0
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ItemAttributes	UserCoverage	596.0
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ItemAttributes	Gini	0.4290137726343273
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ItemAttributes	SEntropy	10.017463054028259
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ItemAttributes	EFD	0.3960577926894821
AttributeItemKNN_nn=60_sim=correlation_bin=False_load=ItemAttributes	EPC	0.03475233107981339
AttributeItemKNN_nn=20_sim=cosine_bin=False_load=ItemAttributes	nDCG	0.032753403730645274
