model	metric	value
AttributeUserKNN_nn=20_sim=correlation_profile=binary_bin=False_load=ItemAttributes	nDCG	0.2190818328477453
AttributeUserKNN_nn=20_sim=correlation_profile=binary_bin=False_load=ItemAttributes	Recall	0.1901708072407843
AttributeUserKNN_nn=20_sim=correlation_profile=binary_bin=False_load=ItemAttributes	Precision	0.1563758389261745
AttributeUserKNN_nn=20_sim=correlation_profile=binary_bin=False_load=ItemAttributes	nDCGRendle2020	0.23871276695687313
AttributeUserKNN_nn=20_sim=correlation_profile=binary_bin=False_load=ItemAttributes	HR	0.8087248322147651
AttributeUserKNN_nn=20_sim=correlation_profile=binary_bin=False_load=ItemAttributes	F1	0.1408991847729071
AttributeUserKNN_nn=20_sim=correlation_profile=binary_bin=False_load=ItemAttributes	MAP	0.2123441509795259
AttributeUserKNN_nn=20_sim=correlation_profile=binary_bin=False_load=ItemAttributes	MAR	0.12320370536739098
AttributeUserKNN_nn=20_sim=correlation_profile=binary_bin=False_load=ItemAttributes	MRR	0.4606083421329411
AttributeUserKNN_nn=20_sim=correlation_profile=binary_bin=False_load=ItemAttributes	ACLT	0.9177852348993288
AttributeUserKNN_nn=20_sim=correlation_profile=binary_bin=False_load=ItemAttributes	APLT	0.04588926174496644
AttributeUserKNN_nn=20_sim=correlation_profile=binary_bin=False_load=ItemAttributes	ARP	96.57852348993289
AttributeUserKNN_nn=20_sim=correlation_profile=binary_bin=False_load=ItemAttributes	PopREO	0.9790039717233824
AttributeUserKNN_nn=20_sim=correlation_profile=binary_bin=False_load=ItemAttributes	PopRSP	0.9223470187050714
AttributeUserKNN_nn=20_sim=correlation_profile=binary_bin=False_load=ItemAttributes	ItemCoverage	944.0
AttributeUserKNN_nn=20_sim=correlation_profile=binary_bin=False_load=ItemAttributes	UserCoverage	596.0
AttributeUserKNN_nn=20_sim=correlation_profile=binary_bin=False_load=ItemAttributes	Gini	0.1449485915416765
AttributeUserKNN_nn=20_sim=correlation_profile=binary_bin=False_load=ItemAttributes	SEntropy	8.411185753901757
AttributeUserKNN_nn=20_sim=correlation_profile=binary_bin=False_load=ItemAttributes	EFD	1.5984418487692287
AttributeUserKNN_nn=20_sim=correlation_profile=binary_bin=False_load=ItemAttributes	EPC	0.1455859868408209
