model	metric	value
EASER_neighborhood=1862_l2_norm=18374136$168271586	nDCG	0.19836235008369005
EASER_neighborhood=1862_l2_norm=18374136$168271586	Recall	0.11254962408518004
EASER_neighborhood=1862_l2_norm=18374136$168271586	Precision	0.1783557046979866
EASER_neighborhood=1862_l2_norm=18374136$168271586	nDCGRendle2020	0.2245014043791693
EASER_neighborhood=1862_l2_norm=18374136$168271586	HR	0.6812080536912751
EASER_neighborhood=1862_l2_norm=18374136$168271586	F1	0.11406957953655765
EASER_neighborhood=1862_l2_norm=18374136$168271586	MAP	0.23380859166932993
EASER_neighborhood=1862_l2_norm=18374136$168271586	MAR	0.07558974525906587
EASER_neighborhood=1862_l2_norm=18374136$168271586	MRR	0.44729479599446037
EASER_neighborhood=1862_l2_norm=18374136$168271586	ACLT	0.0
EASER_neighborhood=1862_l2_norm=18374136$168271586	APLT	0.0
EASER_neighborhood=1862_l2_norm=18374136$168271586	ARP	175.4040268456376
EASER_neighborhood=1862_l2_norm=18374136$168271586	PopREO	1.0
EASER_neighborhood=1862_l2_norm=18374136$168271586	PopRSP	1.0
EASER_neighborhood=1862_l2_norm=18374136$168271586	ItemCoverage	53.0
EASER_neighborhood=1862_l2_norm=18374136$168271586	UserCoverage	596.0
EASER_neighborhood=1862_l2_norm=18374136$168271586	Gini	0.01054621712365078
EASER_neighborhood=1862_l2_norm=18374136$168271586	SEntropy	4.769130463465136
EASER_neighborhood=1862_l2_norm=18374136$168271586	EFD	1.6584262261788925
EASER_neighborhood=1862_l2_norm=18374136$168271586	EPC	0.1450029783155049
EASER_neighborhood=1862_l2_norm=28754079$46612463	nDCG	0.19834262250256446
EASER_neighborhood=1862_l2_norm=28754079$46612463	Recall	0.11254962408518004
EASER_neighborhood=1862_l2_norm=28754079$46612463	Precision	0.1783557046979866
EASER_neighborhood=1862_l2_norm=28754079$46612463	nDCGRendle2020	0.22447264013557794
EASER_neighborhood=1862_l2_norm=28754079$46612463	HR	0.6812080536912751
EASER_neighborhood=1862_l2_norm=28754079$46612463	F1	0.11406957953655765
EASER_neighborhood=1862_l2_norm=28754079$46612463	MAP	0.23371144934483862
EASER_neighborhood=1862_l2_norm=28754079$46612463	MAR	0.07554596076268069
EASER_neighborhood=1862_l2_norm=28754079$46612463	MRR	0.44729479599446037
EASER_neighborhood=1862_l2_norm=28754079$46612463	ACLT	0.0
EASER_neighborhood=1862_l2_norm=28754079$46612463	APLT	0.0
EASER_neighborhood=1862_l2_norm=28754079$46612463	ARP	175.4040268456376
EASER_neighborhood=1862_l2_norm=28754079$46612463	PopREO	1.0
EASER_neighborhood=1862_l2_norm=28754079$46612463	PopRSP	1.0
EASER_neighborhood=1862_l2_norm=28754079$46612463	ItemCoverage	53.0
EASER_neighborhood=1862_l2_norm=28754079$46612463	UserCoverage	596.0
EASER_neighborhood=1862_l2_norm=28754079$46612463	Gini	0.01054621712365078
EASER_neighborhood=1862_l2_norm=28754079$46612463	SEntropy	4.769130463465136
EASER_neighborhood=1862_l2_norm=28754079$46612463	EFD	1.6581946310431246
EASER_neighborhood=1862_l2_norm=28754079$46612463	EPC	0.14498149479027458
EASER_neighborhood=1862_l2_norm=22111700$89318527	nDCG	0.1983557515934844
EASER_neighborhood=1862_l2_norm=22111700$89318527	Recall	0.11254962408518004
EASER_neighborhood=1862_l2_norm=22111700$89318527	Precision	0.1783557046979866
EASER_neighborhood=1862_l2_norm=22111700$89318527	nDCGRendle2020	0.22449480588896362
EASER_neighborhood=1862_l2_norm=22111700$89318527	HR	0.6812080536912751
EASER_neighborhood=1862_l2_norm=22111700$89318527	F1	0.11406957953655765
EASER_neighborhood=1862_l2_norm=22111700$89318527	MAP	0.23378462235005862
EASER_neighborhood=1862_l2_norm=22111700$89318527	MAR	0.07557925868188466
EASER_neighborhood=1862_l2_norm=22111700$89318527	MRR	0.44729479599446037
EASER_neighborhood=1862_l2_norm=22111700$89318527	ACLT	0.0
EASER_neighborhood=1862_l2_norm=22111700$89318527	APLT	0.0
EASER_neighborhood=1862_l2_norm=22111700$89318527	ARP	175.4040268456376
EASER_neighborhood=1862_l2_norm=22111700$89318527	PopREO	1.0
EASER_neighborhood=1862_l2_norm=22111700$89318527	PopRSP	1.0
EASER_neighborhood=1862_l2_norm=22111700$89318527	ItemCoverage	53.0
EASER_neighborhood=1862_l2_norm=22111700$89318527	UserCoverage	596.0
EASER_neighborhood=1862_l2_norm=22111700$89318527	Gini	0.01054621712365078
EASER_neighborhood=1862_l2_norm=22111700$89318527	SEntropy	4.769130463465136
EASER_neighborhood=1862_l2_norm=22111700$89318527	EFD	1.6583693793069543
EASER_neighborhood=1862_l2_norm=22111700$89318527	EPC	0.14499761635828964
EASER_neighborhood=1862_l2_norm=75298605$75037934	nDCG	0.1982997091097004
EASER_neighborhood=1862_l2_norm=75298605$75037934	Recall	0.1124874814055877
EASER_neighborhood=1862_l2_norm=75298605$75037934	Precision	0.17818791946308726
EASER_neighborhood=1862_l2_norm=75298605$75037934	nDCGRendle2020	0.22436147533112424
