model	metric	value
RP3beta_neighborhood=229_alpha=0$9071667388239657_beta=1$8396772922619087_normalize_similarity=True	nDCG	0.018178681372084716
RP3beta_neighborhood=229_alpha=0$9071667388239657_beta=1$8396772922619087_normalize_similarity=True	Recall	0.015336144288058734
RP3beta_neighborhood=229_alpha=0$9071667388239657_beta=1$8396772922619087_normalize_similarity=True	Precision	0.0238255033557047
RP3beta_neighborhood=229_alpha=0$9071667388239657_beta=1$8396772922619087_normalize_similarity=True	nDCGRendle2020	0.02658082066849083
RP3beta_neighborhood=229_alpha=0$9071667388239657_beta=1$8396772922619087_normalize_similarity=True	HR	0.18791946308724833
RP3beta_neighborhood=229_alpha=0$9071667388239657_beta=1$8396772922619087_normalize_similarity=True	F1	0.0156734853445108
RP3beta_neighborhood=229_alpha=0$9071667388239657_beta=1$8396772922619087_normalize_similarity=True	MAP	0.025143949078512837
RP3beta_neighborhood=229_alpha=0$9071667388239657_beta=1$8396772922619087_normalize_similarity=True	MAR	0.00898170930724594
RP3beta_neighborhood=229_alpha=0$9071667388239657_beta=1$8396772922619087_normalize_similarity=True	MRR	0.06658743475018643
RP3beta_neighborhood=229_alpha=0$9071667388239657_beta=1$8396772922619087_normalize_similarity=True	ACLT	10.0
RP3beta_neighborhood=229_alpha=0$9071667388239657_beta=1$8396772922619087_normalize_similarity=True	APLT	1.0
RP3beta_neighborhood=229_alpha=0$9071667388239657_beta=1$8396772922619087_normalize_similarity=True	ARP	4.396308724832214
RP3beta_neighborhood=229_alpha=0$9071667388239657_beta=1$8396772922619087_normalize_similarity=True	PopREO	1.0
RP3beta_neighborhood=229_alpha=0$9071667388239657_beta=1$8396772922619087_normalize_similarity=True	PopRSP	1.0
RP3beta_neighborhood=229_alpha=0$9071667388239657_beta=1$8396772922619087_normalize_similarity=True	ItemCoverage	306.0
RP3beta_neighborhood=229_alpha=0$9071667388239657_beta=1$8396772922619087_normalize_similarity=True	UserCoverage	596.0
RP3beta_neighborhood=229_alpha=0$9071667388239657_beta=1$8396772922619087_normalize_similarity=True	Gini	0.041240005914406797
RP3beta_neighborhood=229_alpha=0$9071667388239657_beta=1$8396772922619087_normalize_similarity=True	SEntropy	6.587627268464625
RP3beta_neighborhood=229_alpha=0$9071667388239657_beta=1$8396772922619087_normalize_similarity=True	EFD	0.32615031216234974
RP3beta_neighborhood=229_alpha=0$9071667388239657_beta=1$8396772922619087_normalize_similarity=True	EPC	0.024362719518737752
RP3beta_neighborhood=554_alpha=0$6403144023241449_beta=1$3379884855840887_normalize_similarity=True	nDCG	0.022610681688549687
RP3beta_neighborhood=554_alpha=0$6403144023241449_beta=1$3379884855840887_normalize_similarity=True	Recall	0.019358996504727215
RP3beta_neighborhood=554_alpha=0$6403144023241449_beta=1$3379884855840887_normalize_similarity=True	Precision	0.02969798657718121
RP3beta_neighborhood=554_alpha=0$6403144023241449_beta=1$3379884855840887_normalize_similarity=True	nDCGRendle2020	0.032945550600937235
RP3beta_neighborhood=554_alpha=0$6403144023241449_beta=1$3379884855840887_normalize_similarity=True	HR	0.2332214765100671
RP3beta_neighborhood=554_alpha=0$6403144023241449_beta=1$3379884855840887_normalize_similarity=True	F1	0.01981968168652744
RP3beta_neighborhood=554_alpha=0$6403144023241449_beta=1$3379884855840887_normalize_similarity=True	MAP	0.03174217002237136
RP3beta_neighborhood=554_alpha=0$6403144023241449_beta=1$3379884855840887_normalize_similarity=True	MAR	0.011273576764459628
RP3beta_neighborhood=554_alpha=0$6403144023241449_beta=1$3379884855840887_normalize_similarity=True	MRR	0.08102229146692233
RP3beta_neighborhood=554_alpha=0$6403144023241449_beta=1$3379884855840887_normalize_similarity=True	ACLT	9.984899328859061
RP3beta_neighborhood=554_alpha=0$6403144023241449_beta=1$3379884855840887_normalize_similarity=True	APLT	0.998489932885906
RP3beta_neighborhood=554_alpha=0$6403144023241449_beta=1$3379884855840887_normalize_similarity=True	ARP	4.922651006711408
RP3beta_neighborhood=554_alpha=0$6403144023241449_beta=1$3379884855840887_normalize_similarity=True	PopREO	0.9860230238312898
RP3beta_neighborhood=554_alpha=0$6403144023241449_beta=1$3379884855840887_normalize_similarity=True	PopRSP	0.9964050970469128
RP3beta_neighborhood=554_alpha=0$6403144023241449_beta=1$3379884855840887_normalize_similarity=True	ItemCoverage	414.0
RP3beta_neighborhood=554_alpha=0$6403144023241449_beta=1$3379884855840887_normalize_similarity=True	UserCoverage	596.0
RP3beta_neighborhood=554_alpha=0$6403144023241449_beta=1$3379884855840887_normalize_similarity=True	Gini	0.0694445145678334
RP3beta_neighborhood=554_alpha=0$6403144023241449_beta=1$3379884855840887_normalize_similarity=True	SEntropy	7.38414310028886
RP3beta_neighborhood=554_alpha=0$6403144023241449_beta=1$3379884855840887_normalize_similarity=True	EFD	0.4008876642963378
RP3beta_neighborhood=554_alpha=0$6403144023241449_beta=1$3379884855840887_normalize_similarity=True	EPC	0.030342305626143415
RP3beta_neighborhood=509_alpha=0$4887105314052429_beta=0$856723326810181_normalize_similarity=False	nDCG	0.11543605471455806
RP3beta_neighborhood=509_alpha=0$4887105314052429_beta=0$856723326810181_normalize_similarity=False	Recall	0.10097489761752886
RP3beta_neighborhood=509_alpha=0$4887105314052429_beta=0$856723326810181_normalize_similarity=False	Precision	0.12751677852348994
RP3beta_neighborhood=509_alpha=0$4887105314052429_beta=0$856723326810181_normalize_similarity=False	nDCGRendle2020	0.14770958428291409
RP3beta_neighborhood=509_alpha=0$4887105314052429_beta=0$856723326810181_normalize_similarity=False	HR	0.6291946308724832
