model	metric	value
output_exp_2_rec_movie_rerank_most_pop_copy	nDCG	0.13770762121584432
output_exp_2_rec_movie_rerank_most_pop_copy	Recall	0.14449542204806004
output_exp_2_rec_movie_rerank_most_pop_copy	Precision	0.047583892617449663
output_exp_2_rec_movie_rerank_most_pop_copy	nDCGRendle2020	0.13478798430727806
output_exp_2_rec_movie_rerank_most_pop_copy	HR	0.7785234899328859
output_exp_2_rec_movie_rerank_most_pop_copy	F1	0.06034878175469765
output_exp_2_rec_movie_rerank_most_pop_copy	MAP	0.09079477012694244
output_exp_2_rec_movie_rerank_most_pop_copy	MAR	0.10836938144599571
output_exp_2_rec_movie_rerank_most_pop_copy	MRR	0.32796503697500595
output_exp_2_rec_movie_rerank_most_pop_copy	ACLT	0.1342281879194631
output_exp_2_rec_movie_rerank_most_pop_copy	APLT	0.003979635960533043
output_exp_2_rec_movie_rerank_most_pop_copy	ARP	108.35476736788026
output_exp_2_rec_movie_rerank_most_pop_copy	PopREO	1.0
output_exp_2_rec_movie_rerank_most_pop_copy	PopRSP	0.9939734310143882
output_exp_2_rec_movie_rerank_most_pop_copy	ItemCoverage	246.0
output_exp_2_rec_movie_rerank_most_pop_copy	UserCoverage	596.0
output_exp_2_rec_movie_rerank_most_pop_copy	Gini	0.02758045464240111
output_exp_2_rec_movie_rerank_most_pop_copy	SEntropy	5.982937232049608
output_exp_2_rec_movie_rerank_most_pop_copy	EFD	0.7773604170236093
output_exp_2_rec_movie_rerank_most_pop_copy	EPC	0.07016722112193474
