model	nDCG	Recall	Precision	nDCGRendle2020	HR	F1	MAP	MAR	MRR	ACLT	APLT	ARP	PopREO	PopRSP	ItemCoverage	UserCoverage	Gini	SEntropy	EFD	EPC
RP3beta_neighborhood=229_alpha=0$9071667388239657_beta=1$8396772922619087_normalize_similarity=True	0.0073865052989251995	0.012025471467058535	0.002204261572373255	0.0073865052989251995	0.020573108008817047	0.0036118118961616396	0.002864956906103122	0.008251285819250552	0.007798304234748026	9.861131520940486	0.9861131520940484	1.24643644379133	0.9639037163863431	0.9384454069623663	1535.0	1361.0	0.3554060674940358	10.029719585502194	0.03345026906163743	0.002505518777124307
RP3beta_neighborhood=554_alpha=0$6403144023241449_beta=1$3379884855840887_normalize_similarity=True	0.00941643458348194	0.014988978692138133	0.0028655400440852317	0.00941643458348194	0.02718589272593681	0.004662903836305746	0.003633445295825898	0.009399951016409502	0.01070641335152724	9.673769287288758	0.9673769287288757	1.4554004408523145	0.8851631714702253	0.8586618306397986	1774.0	1361.0	0.43254403505233296	10.305549466007115	0.043821064101664	0.0033308486088032135
RP3beta_neighborhood=509_alpha=0$4887105314052429_beta=0$856723326810181_normalize_similarity=False	0.011122005585353405	0.017903502326720545	0.003085966201322557	0.011122005585353405	0.029390154298310066	0.005137625049454587	0.0043171745798490846	0.011819740386970364	0.012440665710320375	9.706833210874358	0.9706833210874356	1.4302718589272594	0.6485240757085418	0.8724783371052854	1641.0	1361.0	0.4319069412687193	10.279975413912167	0.04718001703877085	0.0037334788638038676
RP3beta_neighborhood=720_alpha=1$4833703230264375_beta=0$20222923533369985_normalize_similarity=False	0.02251644980417449	0.0355008572128337	0.007274063188831742	0.02251644980417449	0.06980161645848641	0.011784884231614577	0.008800339386305587	0.0221895664952241	0.025820766709818872	3.2432035268185158	0.32432035268185155	34.70440852314474	0.43993571715548413	0.6489887094647899	2058.0	1361.0	0.4147104105704529	9.987836207021994	0.08005622575284654	0.007948049425142538
RP3beta_neighborhood=507_alpha=1$0180281935718316_beta=0$41875971052261285_normalize_similarity=True	0.0237200653474584	0.03807249571393583	0.008008817046289493	0.0237200653474584	0.07641440117560618	0.012941821832343508	0.00902368123345346	0.02291207445505755	0.02686516683577668	5.224099926524614	0.5224099926524615	17.62417340191036	0.23628837530182822	0.3467157163406223	2176.0	1361.0	0.5925501947443221	10.625952060582433	0.08991166489403808	0.008504596952658077
RP3beta_neighborhood=698_alpha=1$254604326019227_beta=1$0823164137680943_normalize_similarity=False	0.009565023079600006	0.017315699240754344	0.003085966201322557	0.009565023079600006	0.029390154298310066	0.00508487349045762	0.0034033973618837693	0.009997550820475142	0.009461413759723826	9.286554004408524	0.9286554004408524	1.7430565760470245	0.8937475912365479	0.7046878334437534	1918.0	1361.0	0.5245207400975221	10.552581603921046	0.04201556769495936	0.0032360603567083866
RP3beta_neighborhood=577_alpha=1$5238453912578895_beta=0$6782815049570574_normalize_similarity=False	0.013303035106061697	0.023561107029145233	0.00426157237325496	0.013303035106061697	0.041146216017634095	0.007021095485459923	0.004652624704057475	0.013747244673034535	0.013270471058861949	7.495958853783982	0.7495958853783982	3.885598824393828	0.4811877698475636	0.1407328856543666	2188.0	1361.0	0.6878822208980058	10.88871294818232	0.05402170220431578	0.004435716925192697
RP3beta_neighborhood=29_alpha=1$596217202535946_beta=0$2874229165090889_normalize_similarity=True	0.030966370548512333	0.046950771491550324	0.009845701689933874	0.03096637054851234	0.09551800146950772	0.015925000789071327	0.01325650490419043	0.03171565025716385	0.037864898592304914	4.432770022042615	0.4432770022042615	28.78332108743571	0.41910960087542476	0.4780799315490252	1984.0	1361.0	0.39996920154005433	10.020284400856196	0.11306412190684283	0.011237876752780169
RP3beta_neighborhood=374_alpha=1$6894101723630552_beta=0$7718601223442862_normalize_similarity=True	0.013298804093292739	0.02227528777859417	0.0039676708302718595	0.013298804093292739	0.03820720058780309	0.0065420252047731844	0.004921713725901824	0.01393950526573598	0.013930000116627596	8.476120499632623	0.8476120499632622	2.5367376928728875	0.5791451385627056	0.42308265874574086	2106.0	1361.0	0.567351987241014	10.663073870791964	0.0553440928450885	0.004444502566134054
RP3beta_neighborhood=423_alpha=0$5092673133947772_beta=1$9655084320086946_normalize_similarity=False	0.0055566949700697225	0.008474161156012735	0.0015429831006612785	0.005556694970069723	0.014695077149155033	0.002536870428126857	0.0022472679985538176	0.005794758755816801	0.0064381348914780215	9.992652461425422	0.9992652461425422	1.0202057310800883	1.0	0.9966894391512243	913.0	1361.0	0.29719046313842157	9.621812658027086	0.026056102387333486	0.0019201410943477694
