model	metric	value
AttributeUserKNN_nn=20_sim=correlation_profile=binary_bin=False_load=ChainedKG	nDCG	0.036491727096136954
AttributeUserKNN_nn=20_sim=correlation_profile=binary_bin=False_load=ChainedKG	Recall	0.05389419544452608
AttributeUserKNN_nn=20_sim=correlation_profile=binary_bin=False_load=ChainedKG	Precision	0.012049963262307126
AttributeUserKNN_nn=20_sim=correlation_profile=binary_bin=False_load=ChainedKG	nDCGRendle2020	0.036491727096136954
AttributeUserKNN_nn=20_sim=correlation_profile=binary_bin=False_load=ChainedKG	HR	0.115356355620867
AttributeUserKNN_nn=20_sim=correlation_profile=binary_bin=False_load=ChainedKG	F1	0.019258986176693745
AttributeUserKNN_nn=20_sim=correlation_profile=binary_bin=False_load=ChainedKG	MAP	0.01606119449984255
AttributeUserKNN_nn=20_sim=correlation_profile=binary_bin=False_load=ChainedKG	MAR	0.035761694832231204
AttributeUserKNN_nn=20_sim=correlation_profile=binary_bin=False_load=ChainedKG	MRR	0.046445190861061546
AttributeUserKNN_nn=20_sim=correlation_profile=binary_bin=False_load=ChainedKG	ACLT	1.1447465099191771
AttributeUserKNN_nn=20_sim=correlation_profile=binary_bin=False_load=ChainedKG	APLT	0.11447465099191771
AttributeUserKNN_nn=20_sim=correlation_profile=binary_bin=False_load=ChainedKG	ARP	48.45084496693608
AttributeUserKNN_nn=20_sim=correlation_profile=binary_bin=False_load=ChainedKG	PopREO	0.6434315517596341
AttributeUserKNN_nn=20_sim=correlation_profile=binary_bin=False_load=ChainedKG	PopRSP	0.8915578791219292
AttributeUserKNN_nn=20_sim=correlation_profile=binary_bin=False_load=ChainedKG	ItemCoverage	1407.0
AttributeUserKNN_nn=20_sim=correlation_profile=binary_bin=False_load=ChainedKG	UserCoverage	1361.0
AttributeUserKNN_nn=20_sim=correlation_profile=binary_bin=False_load=ChainedKG	Gini	0.1760817054186533
AttributeUserKNN_nn=20_sim=correlation_profile=binary_bin=False_load=ChainedKG	SEntropy	8.768416532006823
AttributeUserKNN_nn=20_sim=correlation_profile=binary_bin=False_load=ChainedKG	EFD	0.1343287934018091
