model	metric	value
EASER_neighborhood=2234_l2_norm=18374136$168271586	nDCG	0.018822381111549224
EASER_neighborhood=2234_l2_norm=18374136$168271586	Recall	0.03126377663482733
EASER_neighborhood=2234_l2_norm=18374136$168271586	Precision	0.007053637031594415
EASER_neighborhood=2234_l2_norm=18374136$168271586	nDCGRendle2020	0.018822381111549224
EASER_neighborhood=2234_l2_norm=18374136$168271586	HR	0.06612784717119764
EASER_neighborhood=2234_l2_norm=18374136$168271586	F1	0.011294632382068091
EASER_neighborhood=2234_l2_norm=18374136$168271586	MAP	0.007576595173950061
EASER_neighborhood=2234_l2_norm=18374136$168271586	MAR	0.018379867744305656
EASER_neighborhood=2234_l2_norm=18374136$168271586	MRR	0.020978097337391973
EASER_neighborhood=2234_l2_norm=18374136$168271586	ACLT	0.03085966201322557
EASER_neighborhood=2234_l2_norm=18374136$168271586	APLT	0.003085966201322557
EASER_neighborhood=2234_l2_norm=18374136$168271586	ARP	125.20396767083028
EASER_neighborhood=2234_l2_norm=18374136$168271586	PopREO	0.8858675357300472
EASER_neighborhood=2234_l2_norm=18374136$168271586	PopRSP	0.9972581878064485
EASER_neighborhood=2234_l2_norm=18374136$168271586	ItemCoverage	227.0
EASER_neighborhood=2234_l2_norm=18374136$168271586	UserCoverage	1361.0
EASER_neighborhood=2234_l2_norm=18374136$168271586	Gini	0.01110968891252151
EASER_neighborhood=2234_l2_norm=18374136$168271586	SEntropy	4.9939995838507665
EASER_neighborhood=2234_l2_norm=18374136$168271586	EFD	0.05476912145327205
EASER_neighborhood=2234_l2_norm=18374136$168271586	EPC	0.006653983809767043
EASER_neighborhood=2234_l2_norm=28754079$46612463	nDCG	0.018799864123947078
EASER_neighborhood=2234_l2_norm=28754079$46612463	Recall	0.03126377663482733
EASER_neighborhood=2234_l2_norm=28754079$46612463	Precision	0.007053637031594415
EASER_neighborhood=2234_l2_norm=28754079$46612463	nDCGRendle2020	0.018799864123947078
EASER_neighborhood=2234_l2_norm=28754079$46612463	HR	0.06612784717119764
EASER_neighborhood=2234_l2_norm=28754079$46612463	F1	0.011294632382068091
EASER_neighborhood=2234_l2_norm=28754079$46612463	MAP	0.007561900096800906
EASER_neighborhood=2234_l2_norm=28754079$46612463	MAR	0.01830639235855988
EASER_neighborhood=2234_l2_norm=28754079$46612463	MRR	0.02095360554214338
EASER_neighborhood=2234_l2_norm=28754079$46612463	ACLT	0.029390154298310066
EASER_neighborhood=2234_l2_norm=28754079$46612463	APLT	0.0029390154298310064
EASER_neighborhood=2234_l2_norm=28754079$46612463	ARP	125.20360029390154
EASER_neighborhood=2234_l2_norm=28754079$46612463	PopREO	0.8858675357300472
EASER_neighborhood=2234_l2_norm=28754079$46612463	PopRSP	0.9973889641940143
EASER_neighborhood=2234_l2_norm=28754079$46612463	ItemCoverage	227.0
EASER_neighborhood=2234_l2_norm=28754079$46612463	UserCoverage	1361.0
EASER_neighborhood=2234_l2_norm=28754079$46612463	Gini	0.011109820529871528
EASER_neighborhood=2234_l2_norm=28754079$46612463	SEntropy	4.994026407848516
EASER_neighborhood=2234_l2_norm=28754079$46612463	EFD	0.05470918503477136
EASER_neighborhood=2234_l2_norm=28754079$46612463	EPC	0.006649038640965591
EASER_neighborhood=2234_l2_norm=22111700$89318527	nDCG	0.018822381111549224
EASER_neighborhood=2234_l2_norm=22111700$89318527	Recall	0.03126377663482733
EASER_neighborhood=2234_l2_norm=22111700$89318527	Precision	0.007053637031594415
EASER_neighborhood=2234_l2_norm=22111700$89318527	nDCGRendle2020	0.018822381111549224
EASER_neighborhood=2234_l2_norm=22111700$89318527	HR	0.06612784717119764
EASER_neighborhood=2234_l2_norm=22111700$89318527	F1	0.011294632382068091
EASER_neighborhood=2234_l2_norm=22111700$89318527	MAP	0.007576595173950061
EASER_neighborhood=2234_l2_norm=22111700$89318527	MAR	0.018379867744305656
EASER_neighborhood=2234_l2_norm=22111700$89318527	MRR	0.020978097337391973
EASER_neighborhood=2234_l2_norm=22111700$89318527	ACLT	0.03159441587068332
EASER_neighborhood=2234_l2_norm=22111700$89318527	APLT	0.003159441587068332
EASER_neighborhood=2234_l2_norm=22111700$89318527	ARP	125.20293901542983
EASER_neighborhood=2234_l2_norm=22111700$89318527	PopREO	0.8858675357300472
EASER_neighborhood=2234_l2_norm=22111700$89318527	PopRSP	0.9971927915772056
EASER_neighborhood=2234_l2_norm=22111700$89318527	ItemCoverage	228.0
EASER_neighborhood=2234_l2_norm=22111700$89318527	UserCoverage	1361.0
EASER_neighborhood=2234_l2_norm=22111700$89318527	Gini	0.0111189679357101
EASER_neighborhood=2234_l2_norm=22111700$89318527	SEntropy	4.994256066278605
EASER_neighborhood=2234_l2_norm=22111700$89318527	EFD	0.05476912145327205
EASER_neighborhood=2234_l2_norm=22111700$89318527	EPC	0.006653983809767043
EASER_neighborhood=2234_l2_norm=75298605$75037934	nDCG	0.018799864123947078
EASER_neighborhood=2234_l2_norm=75298605$75037934	Recall	0.03126377663482733
EASER_neighborhood=2234_l2_norm=75298605$75037934	Precision	0.007053637031594415
EASER_neighborhood=2234_l2_norm=75298605$75037934	nDCGRendle2020	0.018799864123947078
EASER_neighborhood=2234_l2_norm=75298605$75037934	HR	0.06612784717119764
EASER_neighborhood=2234_l2_norm=75298605$75037934	F1	0.011294632382068091
