model	metric	value
RP3beta_neighborhood=229_alpha=0$9071667388239657_beta=1$8396772922619087_normalize_similarity=True	nDCG	0.012173440287710143
RP3beta_neighborhood=229_alpha=0$9071667388239657_beta=1$8396772922619087_normalize_similarity=True	Recall	0.029745285329414648
RP3beta_neighborhood=229_alpha=0$9071667388239657_beta=1$8396772922619087_normalize_similarity=True	Precision	0.0012196914033798679
RP3beta_neighborhood=229_alpha=0$9071667388239657_beta=1$8396772922619087_normalize_similarity=True	nDCGRendle2020	0.012173440287710145
RP3beta_neighborhood=229_alpha=0$9071667388239657_beta=1$8396772922619087_normalize_similarity=True	HR	0.05731080088170463
RP3beta_neighborhood=229_alpha=0$9071667388239657_beta=1$8396772922619087_normalize_similarity=True	F1	0.0023279513330570975
RP3beta_neighborhood=229_alpha=0$9071667388239657_beta=1$8396772922619087_normalize_similarity=True	MAP	0.0018171285258187758
RP3beta_neighborhood=229_alpha=0$9071667388239657_beta=1$8396772922619087_normalize_similarity=True	MAR	0.019419054616703405
RP3beta_neighborhood=229_alpha=0$9071667388239657_beta=1$8396772922619087_normalize_similarity=True	MRR	0.009400404785924174
RP3beta_neighborhood=229_alpha=0$9071667388239657_beta=1$8396772922619087_normalize_similarity=True	ACLT	48.447465099191774
RP3beta_neighborhood=229_alpha=0$9071667388239657_beta=1$8396772922619087_normalize_similarity=True	APLT	0.9689493019838354
RP3beta_neighborhood=229_alpha=0$9071667388239657_beta=1$8396772922619087_normalize_similarity=True	ARP	1.4764437913299044
RP3beta_neighborhood=229_alpha=0$9071667388239657_beta=1$8396772922619087_normalize_similarity=True	PopREO	0.8198549312547364
RP3beta_neighborhood=229_alpha=0$9071667388239657_beta=1$8396772922619087_normalize_similarity=True	PopRSP	0.8652185855408958
RP3beta_neighborhood=229_alpha=0$9071667388239657_beta=1$8396772922619087_normalize_similarity=True	ItemCoverage	2036.0
RP3beta_neighborhood=229_alpha=0$9071667388239657_beta=1$8396772922619087_normalize_similarity=True	UserCoverage	1361.0
RP3beta_neighborhood=229_alpha=0$9071667388239657_beta=1$8396772922619087_normalize_similarity=True	Gini	0.46616791149259706
