model	metric	value
output_EXP_2_elliot	nDCG	0.0023893554769405015
output_EXP_2_elliot	Recall	0.006955922865013774
output_EXP_2_elliot	Precision	0.0008264462809917355
output_EXP_2_elliot	nDCGRendle2020	0.002389355476940501
output_EXP_2_elliot	HR	0.015702479338842976
output_EXP_2_elliot	F1	0.001464013887657438
output_EXP_2_elliot	MAP	0.00041617603619305125
output_EXP_2_elliot	MAR	0.0024139118457300276
output_EXP_2_elliot	MRR	0.0013150846891539776
output_EXP_2_elliot	ACLT	6.047107438016529
output_EXP_2_elliot	APLT	0.30235537190082645
output_EXP_2_elliot	ARP	63.1693388429752
output_EXP_2_elliot	PopREO	0.011272920799264551
output_EXP_2_elliot	PopRSP	0.31424273730400865
output_EXP_2_elliot	ItemCoverage	41.0
output_EXP_2_elliot	UserCoverage	1187.0
output_EXP_2_elliot	Gini	0.010235039088271614
output_EXP_2_elliot	SEntropy	4.330608620674271
output_EXP_2_elliot	EFD	0.005663486472668102
output_EXP_2_elliot	EPC	0.0005931267874790782
