model	metric	value
results_EXP_3_no_rerank	nDCG	0.03127287259146553
results_EXP_3_no_rerank	Recall	0.08815821699730589
results_EXP_3_no_rerank	Precision	0.003967670830271859
results_EXP_3_no_rerank	nDCGRendle2020	0.03127287259146553
results_EXP_3_no_rerank	HR	0.18515797207935342
results_EXP_3_no_rerank	F1	0.007549873309242642
results_EXP_3_no_rerank	MAP	0.004769986501452786
results_EXP_3_no_rerank	MAR	0.0526402155277982
results_EXP_3_no_rerank	MRR	0.020842043684230274
results_EXP_3_no_rerank	ACLT	7.432770022042615
results_EXP_3_no_rerank	APLT	0.18620357869956355
results_EXP_3_no_rerank	ARP	36.75897379737798
results_EXP_3_no_rerank	PopREO	0.7760993477366659
results_EXP_3_no_rerank	PopRSP	0.8155010720405768
results_EXP_3_no_rerank	ItemCoverage	2033.0
results_EXP_3_no_rerank	UserCoverage	1361.0
results_EXP_3_no_rerank	Gini	0.2837367644020551
results_EXP_3_no_rerank	SEntropy	9.572495318513932
results_EXP_3_no_rerank	EFD	0.0458923998138637
results_EXP_3_no_rerank	EPC	0.004854044939248582
