model	nDCG	Recall	Precision	nDCGRendle2020	HR	F1	MAP	MAR	MRR	ACLT	APLT	ARP	PopREO	PopRSP	ItemCoverage	UserCoverage	Gini	SEntropy	EFD	EPC
output_EXP_1_elliot	0.04723253692816979	0.08738425925925926	0.009953703703703706	0.04723253692816979	0.16319444444444445	0.017809434929000147	0.012918018594040374	0.0515625	0.04922829168722701	3.1064814814814814	0.15873702800853323	60.56114784500054	0.6215862632869992	0.8372273241210059	539.0	864.0	0.022754356465196857	6.0134357251075965	0.11288346426559552	0.011627940670132531
VSM_sim=cosine_up=tfidf_ip=binary_load=ChainedKG	0.009055033608355688	0.023533950617283948	0.0025462962962962965	0.009055033608355688	0.05092592592592592	0.004575168524443887	0.0017227009001577931	0.009326774691358024	0.006616697139035461	12.320601851851851	0.6160300925925926	7.1359375	0.051509769094138534	0.16384387836470293	1474.0	864.0	0.2911627249880664	9.968555476855945	0.024101534554346625	0.0021889192220908137
AttributeUserKNN_nn=60_sim=cosine_profile=binary_bin=False_load=ChainedKG	0.012824322295474862	0.0320216049382716	0.003703703703703704	0.012824322295474862	0.07175925925925926	0.006615063680281071	0.0028909748522361937	0.015084876543209877	0.009433064565476632	2.7349537037037037	0.13674768518518518	27.69427083333333	0.38365650969529086	0.8675242490477694	1690.0	864.0	0.20950061248701357	9.459849855127407	0.03321832825169322	0.003208138823584133
EASER_neighborhood=2234_l2_norm=18374136$168271586	0.017155769889420643	0.04282407407407406	0.004918981481481482	0.017155769889420643	0.09143518518518519	0.008792636510027815	0.003955262035979109	0.020621141975308642	0.01252646529927124	0.2847222222222222	0.014236111111111113	38.5427662037037	0.8904278239458294	0.9871490034814248	731.0	864.0	0.053093454286356256	7.487498010319596	0.03922349510716779	0.004260621363659185
AttributeItemKNN_nn=20_sim=cosine_bin=False_load=ChainedKG	0.008570596090727932	0.02102623456790123	0.0023148148148148147	0.008570596090727932	0.046296296296296294	0.004149718370732864	0.001792531010992107	0.008805941358024691	0.007252408961779662	12.508101851851851	0.6254050925925926	6.900173611111111	0.23183391003460213	0.14440617058838282	1576.0	864.0	0.2949805899531067	9.966955773257858	0.024091003730229734	0.0021325315162419225
RP3beta_neighborhood=29_alpha=1$596217202535946_beta=0$2874229165090889_normalize_similarity=True	0.006766109774048729	0.017361111111111112	0.0019675925925925924	0.006766109774048729	0.03935185185185185	0.0035225442834138487	0.0015683479873231981	0.008275462962962964	0.004950983774996932	10.508101851851851	0.5254050925925926	6.097280092592593	0.7386196769456681	0.33712552924617933	2007.0	864.0	0.4177972667986408	10.47903996898141	0.017952612922523814	0.0017022895775431325
Random_seed=42	0.0019895798858289345	0.005208333333333333	0.0006365740740740741	0.001989579885828935	0.01273148148148148	0.001129959010393793	0.00039744977294695646	0.0021412037037037038	0.0013442767457860338	13.631944444444445	0.6815972222222222	5.863020833333333	0.051509769094138534	0.015471493901682242	2231.0	864.0	0.6802995921433184	11.034006276233095	0.005563240873949664	0.0005133514875762939
ItemKNN_nn=100_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.010357499519821851	0.02199074074074074	0.0024884259259259265	0.010357499519821851	0.047453703703703706	0.004455789781876739	0.002680797462130774	0.012297453703703705	0.009625164404038674	9.875	0.49375	13.56533564814815	0.6042245692051139	0.39203348222602163	2166.0	864.0	0.5078244338443829	10.720095126448662	0.025864584985365376	0.0025222551311375155
MostPop	0.028250711404743337	0.06712962962962964	0.007870370370370371	0.028250711404743337	0.15162037037037038	0.014035280339628168	0.006279752387416807	0.03025655864197531	0.02322087138397983	0.0	0.0	43.14409722222222	1.0	1.0	28.0	864.0	0.007584396849465214	4.549941972007438	0.0613811616810831	0.007017867442990043
UserKNN_nn=60_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.013261418621333744	0.030478395061728388	0.003472222222222222	0.013261418621333744	0.06712962962962964	0.006212487190748061	0.0030535877819979234	0.014496527777777777	0.011372417985765078	2.3356481481481484	0.11678240740740742	28.704340277777778	0.846815834767642	0.8881990738005114	1645.0	864.0	0.19215402381152957	9.33671866617969	0.031621767035600344	0.003252001370173763
