model	metric	value
AttributeUserKNN_nn=20_sim=correlation_profile=binary_bin=False_load=ItemAttributes	nDCG	0.23291765019217528
AttributeUserKNN_nn=20_sim=correlation_profile=binary_bin=False_load=ItemAttributes	Recall	0.19316674174771
AttributeUserKNN_nn=20_sim=correlation_profile=binary_bin=False_load=ItemAttributes	Precision	0.1500278241513634
AttributeUserKNN_nn=20_sim=correlation_profile=binary_bin=False_load=ItemAttributes	nDCGRendle2020	0.20960337785690128
AttributeUserKNN_nn=20_sim=correlation_profile=binary_bin=False_load=ItemAttributes	HR	0.6967167501391207
AttributeUserKNN_nn=20_sim=correlation_profile=binary_bin=False_load=ItemAttributes	F1	0.16579351955985872
AttributeUserKNN_nn=20_sim=correlation_profile=binary_bin=False_load=ItemAttributes	MAP	0.20788768317566314
AttributeUserKNN_nn=20_sim=correlation_profile=binary_bin=False_load=ItemAttributes	MAR	0.12946758707192765
AttributeUserKNN_nn=20_sim=correlation_profile=binary_bin=False_load=ItemAttributes	MRR	0.4269309077739796
AttributeUserKNN_nn=20_sim=correlation_profile=binary_bin=False_load=ItemAttributes	ACLT	2.19087367835281
AttributeUserKNN_nn=20_sim=correlation_profile=binary_bin=False_load=ItemAttributes	APLT	0.21908736783528104
AttributeUserKNN_nn=20_sim=correlation_profile=binary_bin=False_load=ItemAttributes	ARP	89.56978297161938
AttributeUserKNN_nn=20_sim=correlation_profile=binary_bin=False_load=ItemAttributes	PopREO	0.5396674400602006
AttributeUserKNN_nn=20_sim=correlation_profile=binary_bin=False_load=ItemAttributes	PopRSP	0.6539269414553996
AttributeUserKNN_nn=20_sim=correlation_profile=binary_bin=False_load=ItemAttributes	ItemCoverage	1255.0
AttributeUserKNN_nn=20_sim=correlation_profile=binary_bin=False_load=ItemAttributes	UserCoverage	1797.0
AttributeUserKNN_nn=20_sim=correlation_profile=binary_bin=False_load=ItemAttributes	Gini	0.3375388078552053
AttributeUserKNN_nn=20_sim=correlation_profile=binary_bin=False_load=ItemAttributes	SEntropy	9.379231840278674
AttributeUserKNN_nn=20_sim=correlation_profile=binary_bin=False_load=ItemAttributes	EFD	1.5828459058085589
AttributeUserKNN_nn=20_sim=correlation_profile=binary_bin=False_load=ItemAttributes	EPC	0.16382371623312864
AttributeUserKNN_nn=100_sim=cosine_profile=binary_bin=False_load=ItemAttributes	nDCG	0.27727091091652856
AttributeUserKNN_nn=100_sim=cosine_profile=binary_bin=False_load=ItemAttributes	Recall	0.22373819681833038
AttributeUserKNN_nn=100_sim=cosine_profile=binary_bin=False_load=ItemAttributes	Precision	0.17228714524207017
AttributeUserKNN_nn=100_sim=cosine_profile=binary_bin=False_load=ItemAttributes	nDCGRendle2020	0.24387770496340452
AttributeUserKNN_nn=100_sim=cosine_profile=binary_bin=False_load=ItemAttributes	HR	0.7857540345019477
AttributeUserKNN_nn=100_sim=cosine_profile=binary_bin=False_load=ItemAttributes	F1	0.19114239897420843
AttributeUserKNN_nn=100_sim=cosine_profile=binary_bin=False_load=ItemAttributes	MAP	0.24160620434410082
AttributeUserKNN_nn=100_sim=cosine_profile=binary_bin=False_load=ItemAttributes	MAR	0.15126524807660033
AttributeUserKNN_nn=100_sim=cosine_profile=binary_bin=False_load=ItemAttributes	MRR	0.4906532934078844
AttributeUserKNN_nn=100_sim=cosine_profile=binary_bin=False_load=ItemAttributes	ACLT	1.0389538119087367
AttributeUserKNN_nn=100_sim=cosine_profile=binary_bin=False_load=ItemAttributes	APLT	0.10389538119087369
AttributeUserKNN_nn=100_sim=cosine_profile=binary_bin=False_load=ItemAttributes	ARP	129.78057874234835
AttributeUserKNN_nn=100_sim=cosine_profile=binary_bin=False_load=ItemAttributes	PopREO	0.7552850937042199
AttributeUserKNN_nn=100_sim=cosine_profile=binary_bin=False_load=ItemAttributes	PopRSP	0.840821036077034
AttributeUserKNN_nn=100_sim=cosine_profile=binary_bin=False_load=ItemAttributes	ItemCoverage	840.0
AttributeUserKNN_nn=100_sim=cosine_profile=binary_bin=False_load=ItemAttributes	UserCoverage	1797.0
AttributeUserKNN_nn=100_sim=cosine_profile=binary_bin=False_load=ItemAttributes	Gini	0.161912616645272
AttributeUserKNN_nn=100_sim=cosine_profile=binary_bin=False_load=ItemAttributes	SEntropy	8.338374216860029
AttributeUserKNN_nn=100_sim=cosine_profile=binary_bin=False_load=ItemAttributes	EFD	1.7401806040359487
AttributeUserKNN_nn=100_sim=cosine_profile=binary_bin=False_load=ItemAttributes	EPC	0.1851637993159361
AttributeUserKNN_nn=40_sim=correlation_profile=binary_bin=False_load=ItemAttributes	nDCG	0.25969176933345095
AttributeUserKNN_nn=40_sim=correlation_profile=binary_bin=False_load=ItemAttributes	Recall	0.21129837206631866
AttributeUserKNN_nn=40_sim=correlation_profile=binary_bin=False_load=ItemAttributes	Precision	0.16327212020033388
AttributeUserKNN_nn=40_sim=correlation_profile=binary_bin=False_load=ItemAttributes	nDCGRendle2020	0.23070820530661612
AttributeUserKNN_nn=40_sim=correlation_profile=binary_bin=False_load=ItemAttributes	HR	0.7451307735114079
AttributeUserKNN_nn=40_sim=correlation_profile=binary_bin=False_load=ItemAttributes	F1	0.1808000591930982
AttributeUserKNN_nn=40_sim=correlation_profile=binary_bin=False_load=ItemAttributes	MAP	0.23029999293354886
AttributeUserKNN_nn=40_sim=correlation_profile=binary_bin=False_load=ItemAttributes	MAR	0.14360832869597479
AttributeUserKNN_nn=40_sim=correlation_profile=binary_bin=False_load=ItemAttributes	MRR	0.4666598210421249
AttributeUserKNN_nn=40_sim=correlation_profile=binary_bin=False_load=ItemAttributes	ACLT	1.6739009460211463
AttributeUserKNN_nn=40_sim=correlation_profile=binary_bin=False_load=ItemAttributes	APLT	0.16739009460211465
AttributeUserKNN_nn=40_sim=correlation_profile=binary_bin=False_load=ItemAttributes	ARP	105.79788536449638
AttributeUserKNN_nn=40_sim=correlation_profile=binary_bin=False_load=ItemAttributes	PopREO	0.6325845945410086
AttributeUserKNN_nn=40_sim=correlation_profile=binary_bin=False_load=ItemAttributes	PopRSP	0.7392173883947286
