model	metric	value
EASER_neighborhood=1507_l2_norm=18374136$168271586	nDCG	0.3090063767067496
EASER_neighborhood=1507_l2_norm=18374136$168271586	Recall	0.4311592954748213
EASER_neighborhood=1507_l2_norm=18374136$168271586	Precision	0.06550918196994991
EASER_neighborhood=1507_l2_norm=18374136$168271586	nDCGRendle2020	0.3082790112968544
EASER_neighborhood=1507_l2_norm=18374136$168271586	HR	0.9393433500278241
EASER_neighborhood=1507_l2_norm=18374136$168271586	F1	0.11278223375763893
EASER_neighborhood=1507_l2_norm=18374136$168271586	MAP	0.11466160207752982
EASER_neighborhood=1507_l2_norm=18374136$168271586	MAR	0.29620134969216777
EASER_neighborhood=1507_l2_norm=18374136$168271586	MRR	0.4326434381398355
EASER_neighborhood=1507_l2_norm=18374136$168271586	ACLT	0.7456872565386756
EASER_neighborhood=1507_l2_norm=18374136$168271586	APLT	0.014913745130773513
EASER_neighborhood=1507_l2_norm=18374136$168271586	ARP	159.32707846410685
EASER_neighborhood=1507_l2_norm=18374136$168271586	PopREO	0.8634241424966265
EASER_neighborhood=1507_l2_norm=18374136$168271586	PopRSP	0.9776692810665486
EASER_neighborhood=1507_l2_norm=18374136$168271586	ItemCoverage	826.0
EASER_neighborhood=1507_l2_norm=18374136$168271586	UserCoverage	1797.0
EASER_neighborhood=1507_l2_norm=18374136$168271586	Gini	0.10232802050931922
EASER_neighborhood=1507_l2_norm=18374136$168271586	SEntropy	7.701516692255614
EASER_neighborhood=1507_l2_norm=18374136$168271586	EFD	0.754870316332692
EASER_neighborhood=1507_l2_norm=18374136$168271586	EPC	0.08143934499858495
EASER_neighborhood=1507_l2_norm=28754079$46612463	nDCG	0.30901192934926897
EASER_neighborhood=1507_l2_norm=28754079$46612463	Recall	0.4311592954748213
EASER_neighborhood=1507_l2_norm=28754079$46612463	Precision	0.06550918196994991
EASER_neighborhood=1507_l2_norm=28754079$46612463	nDCGRendle2020	0.30828570631152946
EASER_neighborhood=1507_l2_norm=28754079$46612463	HR	0.9393433500278241
EASER_neighborhood=1507_l2_norm=28754079$46612463	F1	0.11278223375763893
EASER_neighborhood=1507_l2_norm=28754079$46612463	MAP	0.11466372537973292
EASER_neighborhood=1507_l2_norm=28754079$46612463	MAR	0.2962002853079648
EASER_neighborhood=1507_l2_norm=28754079$46612463	MRR	0.43266595668657887
EASER_neighborhood=1507_l2_norm=28754079$46612463	ACLT	0.7456872565386756
EASER_neighborhood=1507_l2_norm=28754079$46612463	APLT	0.014913745130773513
EASER_neighborhood=1507_l2_norm=28754079$46612463	ARP	159.32870339454647
EASER_neighborhood=1507_l2_norm=28754079$46612463	PopREO	0.8634241424966265
EASER_neighborhood=1507_l2_norm=28754079$46612463	PopRSP	0.9776692810665486
EASER_neighborhood=1507_l2_norm=28754079$46612463	ItemCoverage	826.0
EASER_neighborhood=1507_l2_norm=28754079$46612463	UserCoverage	1797.0
EASER_neighborhood=1507_l2_norm=28754079$46612463	Gini	0.10232434018332215
EASER_neighborhood=1507_l2_norm=28754079$46612463	SEntropy	7.701460439744131
EASER_neighborhood=1507_l2_norm=28754079$46612463	EFD	0.7548798838490632
EASER_neighborhood=1507_l2_norm=28754079$46612463	EPC	0.08144050050987343
EASER_neighborhood=1507_l2_norm=22111700$89318527	nDCG	0.30900747911501364
EASER_neighborhood=1507_l2_norm=22111700$89318527	Recall	0.4311592954748213
EASER_neighborhood=1507_l2_norm=22111700$89318527	Precision	0.06550918196994991
EASER_neighborhood=1507_l2_norm=22111700$89318527	nDCGRendle2020	0.3082800870521906
