model	metric	value
VSM_sim=correlation_up=binary_ip=tfidf_load=ItemAttributes	nDCG	0.19038141020768135
VSM_sim=correlation_up=binary_ip=tfidf_load=ItemAttributes	Recall	0.21447628763989365
VSM_sim=correlation_up=binary_ip=tfidf_load=ItemAttributes	Precision	0.0807178631051753
VSM_sim=correlation_up=binary_ip=tfidf_load=ItemAttributes	nDCGRendle2020	0.18403722896260102
VSM_sim=correlation_up=binary_ip=tfidf_load=ItemAttributes	HR	0.7501391207568169
VSM_sim=correlation_up=binary_ip=tfidf_load=ItemAttributes	F1	0.11535240741946237
VSM_sim=correlation_up=binary_ip=tfidf_load=ItemAttributes	MAP	0.11666501524142225
VSM_sim=correlation_up=binary_ip=tfidf_load=ItemAttributes	MAR	0.13799220040455432
VSM_sim=correlation_up=binary_ip=tfidf_load=ItemAttributes	MRR	0.3382160354126014
VSM_sim=correlation_up=binary_ip=tfidf_load=ItemAttributes	ACLT	1.4858096828046745
VSM_sim=correlation_up=binary_ip=tfidf_load=ItemAttributes	APLT	0.07429048414023375
VSM_sim=correlation_up=binary_ip=tfidf_load=ItemAttributes	ARP	123.00742904841401
VSM_sim=correlation_up=binary_ip=tfidf_load=ItemAttributes	PopREO	0.7568526162817202
VSM_sim=correlation_up=binary_ip=tfidf_load=ItemAttributes	PopRSP	0.8870519108879591
VSM_sim=correlation_up=binary_ip=tfidf_load=ItemAttributes	ItemCoverage	713.0
VSM_sim=correlation_up=binary_ip=tfidf_load=ItemAttributes	UserCoverage	1797.0
VSM_sim=correlation_up=binary_ip=tfidf_load=ItemAttributes	Gini	0.08878368920903246
VSM_sim=correlation_up=binary_ip=tfidf_load=ItemAttributes	SEntropy	7.441589313413519
VSM_sim=correlation_up=binary_ip=tfidf_load=ItemAttributes	EFD	0.8305880441565543
VSM_sim=correlation_up=binary_ip=tfidf_load=ItemAttributes	EPC	0.08885362196501961
VSM_sim=correlation_up=tfidf_ip=binary_load=ItemAttributes	nDCG	0.2775736838401287
VSM_sim=correlation_up=tfidf_ip=binary_load=ItemAttributes	Recall	0.293819505171759
VSM_sim=correlation_up=tfidf_ip=binary_load=ItemAttributes	Precision	0.1092376182526433
VSM_sim=correlation_up=tfidf_ip=binary_load=ItemAttributes	nDCGRendle2020	0.2603381608748603
VSM_sim=correlation_up=tfidf_ip=binary_load=ItemAttributes	HR	0.85920979410128
VSM_sim=correlation_up=tfidf_ip=binary_load=ItemAttributes	F1	0.15659562108698144
VSM_sim=correlation_up=tfidf_ip=binary_load=ItemAttributes	MAP	0.16691277715070274
VSM_sim=correlation_up=tfidf_ip=binary_load=ItemAttributes	MAR	0.19639188108929342
VSM_sim=correlation_up=tfidf_ip=binary_load=ItemAttributes	MRR	0.4522525304646048
VSM_sim=correlation_up=tfidf_ip=binary_load=ItemAttributes	ACLT	2.3917640511964384
VSM_sim=correlation_up=tfidf_ip=binary_load=ItemAttributes	APLT	0.11958820255982192
VSM_sim=correlation_up=tfidf_ip=binary_load=ItemAttributes	ARP	122.48500278241514
VSM_sim=correlation_up=tfidf_ip=binary_load=ItemAttributes	PopREO	0.555097925880123
VSM_sim=correlation_up=tfidf_ip=binary_load=ItemAttributes	PopRSP	0.8160242013877637
VSM_sim=correlation_up=tfidf_ip=binary_load=ItemAttributes	ItemCoverage	1042.0
VSM_sim=correlation_up=tfidf_ip=binary_load=ItemAttributes	UserCoverage	1797.0
VSM_sim=correlation_up=tfidf_ip=binary_load=ItemAttributes	Gini	0.17187473441422607
VSM_sim=correlation_up=tfidf_ip=binary_load=ItemAttributes	SEntropy	8.335974081864531
VSM_sim=correlation_up=tfidf_ip=binary_load=ItemAttributes	EFD	1.2014808487746538
VSM_sim=correlation_up=tfidf_ip=binary_load=ItemAttributes	EPC	0.12607665126139833
VSM_sim=cosine_up=tfidf_ip=binary_load=ItemAttributes	nDCG	0.27880496142761374
VSM_sim=cosine_up=tfidf_ip=binary_load=ItemAttributes	Recall	0.289404518995504
VSM_sim=cosine_up=tfidf_ip=binary_load=ItemAttributes	Precision	0.10784641068447413
VSM_sim=cosine_up=tfidf_ip=binary_load=ItemAttributes	nDCGRendle2020	0.2597170836847379
VSM_sim=cosine_up=tfidf_ip=binary_load=ItemAttributes	HR	0.8547579298831386
VSM_sim=cosine_up=tfidf_ip=binary_load=ItemAttributes	F1	0.15450588404588866
VSM_sim=cosine_up=tfidf_ip=binary_load=ItemAttributes	MAP	0.16735144056952012
VSM_sim=cosine_up=tfidf_ip=binary_load=ItemAttributes	MAR	0.1939814814814815
VSM_sim=cosine_up=tfidf_ip=binary_load=ItemAttributes	MRR	0.45697560134721915
VSM_sim=cosine_up=tfidf_ip=binary_load=ItemAttributes	ACLT	1.401224262659989
VSM_sim=cosine_up=tfidf_ip=binary_load=ItemAttributes	APLT	0.07006121313299944
VSM_sim=cosine_up=tfidf_ip=binary_load=ItemAttributes	ARP	152.83255425709515
VSM_sim=cosine_up=tfidf_ip=binary_load=ItemAttributes	PopREO	0.6526941689890053
VSM_sim=cosine_up=tfidf_ip=binary_load=ItemAttributes	PopRSP	0.893598495063536
VSM_sim=cosine_up=tfidf_ip=binary_load=ItemAttributes	ItemCoverage	899.0
VSM_sim=cosine_up=tfidf_ip=binary_load=ItemAttributes	UserCoverage	1797.0
VSM_sim=cosine_up=tfidf_ip=binary_load=ItemAttributes	Gini	0.11601836024479373
VSM_sim=cosine_up=tfidf_ip=binary_load=ItemAttributes	SEntropy	7.727303960516641
VSM_sim=cosine_up=tfidf_ip=binary_load=ItemAttributes	EFD	1.1675147816083487
