model	metric	value
output_EXP_1_elliot	nDCG	0.21552120759721488
output_EXP_1_elliot	Recall	0.17528265804559626
output_EXP_1_elliot	Precision	0.12793544796883696
output_EXP_1_elliot	nDCGRendle2020	0.1989185490725459
output_EXP_1_elliot	HR	0.7033945464663328
output_EXP_1_elliot	F1	0.14465355503192043
output_EXP_1_elliot	MAP	0.19558903286783086
output_EXP_1_elliot	MAR	0.12509868740670074
output_EXP_1_elliot	MRR	0.4463877185079188
output_EXP_1_elliot	ACLT	0.6911519198664441
output_EXP_1_elliot	APLT	0.07094231125950659
output_EXP_1_elliot	ARP	114.99964756074941
output_EXP_1_elliot	PopREO	0.6831101519608993
output_EXP_1_elliot	PopRSP	0.8937001140963783
output_EXP_1_elliot	ItemCoverage	654.0
output_EXP_1_elliot	UserCoverage	1786.0
output_EXP_1_elliot	Gini	0.10666734674717515
output_EXP_1_elliot	SEntropy	7.663752893113634
output_EXP_1_elliot	EFD	1.4227681635703064
output_EXP_1_elliot	EPC	0.14868216094175024
VSM_sim=cosine_up=tfidf_ip=binary_load=ItemAttributes	nDCG	0.24512140033817353
VSM_sim=cosine_up=tfidf_ip=binary_load=ItemAttributes	Recall	0.20206737861161903
VSM_sim=cosine_up=tfidf_ip=binary_load=ItemAttributes	Precision	0.15108514190317196
VSM_sim=cosine_up=tfidf_ip=binary_load=ItemAttributes	nDCGRendle2020	0.21700789816318825
VSM_sim=cosine_up=tfidf_ip=binary_load=ItemAttributes	HR	0.7562604340567612
VSM_sim=cosine_up=tfidf_ip=binary_load=ItemAttributes	F1	0.16910694903828455
VSM_sim=cosine_up=tfidf_ip=binary_load=ItemAttributes	MAP	0.21070130111031612
VSM_sim=cosine_up=tfidf_ip=binary_load=ItemAttributes	MAR	0.13483943698050543
VSM_sim=cosine_up=tfidf_ip=binary_load=ItemAttributes	MRR	0.45020934361501974
VSM_sim=cosine_up=tfidf_ip=binary_load=ItemAttributes	ACLT	0.5848636616583194
VSM_sim=cosine_up=tfidf_ip=binary_load=ItemAttributes	APLT	0.05848636616583195
VSM_sim=cosine_up=tfidf_ip=binary_load=ItemAttributes	ARP	177.99488035614914
VSM_sim=cosine_up=tfidf_ip=binary_load=ItemAttributes	PopREO	0.7222110443862476
VSM_sim=cosine_up=tfidf_ip=binary_load=ItemAttributes	PopRSP	0.9114424033608239
