model	metric	value
no_rerank_performance	nDCG	0.10815300669482493
no_rerank_performance	Recall	0.1188912738161486
no_rerank_performance	Precision	0.048080133555926545
no_rerank_performance	nDCGRendle2020	0.09799888958088634
no_rerank_performance	HR	0.5180856983861992
no_rerank_performance	F1	0.06769304705497711
no_rerank_performance	MAP	0.06551817568260737
no_rerank_performance	MAR	0.07545374345249137
no_rerank_performance	MRR	0.1719542874645936
no_rerank_performance	ACLT	0.0
no_rerank_performance	APLT	0.0
no_rerank_performance	ARP	272.3584585420145
no_rerank_performance	PopREO	1.0
no_rerank_performance	PopRSP	1.0
no_rerank_performance	ItemCoverage	37.0
no_rerank_performance	UserCoverage	1797.0
no_rerank_performance	Gini	0.015186887397543924
no_rerank_performance	SEntropy	4.7947216213909645
no_rerank_performance	EFD	0.4079964811545678
no_rerank_performance	EPC	0.04573522960190022
