model	metric	value
output_EXP_3_elliot	nDCG	0.07838342526634759
output_EXP_3_elliot	Recall	0.08275853055793175
output_EXP_3_elliot	Precision	0.061317365269461084
output_EXP_3_elliot	nDCGRendle2020	0.08081813955242137
output_EXP_3_elliot	HR	0.4502994011976048
output_EXP_3_elliot	F1	0.0689715904382392
output_EXP_3_elliot	MAP	0.07191875772264994
output_EXP_3_elliot	MAR	0.049837871875297035
output_EXP_3_elliot	MRR	0.18427929854576564
output_EXP_3_elliot	ACLT	1.904191616766467
output_EXP_3_elliot	APLT	0.19041916167664671
output_EXP_3_elliot	ARP	89.89443113772454
output_EXP_3_elliot	PopREO	0.44802697261820984
output_EXP_3_elliot	PopRSP	0.7013541258025962
output_EXP_3_elliot	ItemCoverage	1369.0
output_EXP_3_elliot	UserCoverage	1670.0
output_EXP_3_elliot	Gini	0.4096284721393866
output_EXP_3_elliot	SEntropy	9.650863989491821
output_EXP_3_elliot	EFD	0.5922330101903902
output_EXP_3_elliot	EPC	0.06086297023510928
