model	nDCG	Recall	Precision	nDCGRendle2020	HR	F1	MAP	MAR	MRR	ACLT	APLT	ARP	PopREO	PopRSP	ItemCoverage	UserCoverage	Gini	SEntropy	EFD	EPC
RP3beta_neighborhood=229_alpha=0$9071667388239657_beta=1$8396772922619087_normalize_similarity=True	0.02570527895825174	0.04193028900206736	0.015838926174496646	0.03281035305448058	0.40268456375838924	0.019210087790127683	0.019296856801395288	0.02573034093958407	0.07297013248111599	49.54697986577181	0.9909395973154362	4.8836241610738265	0.9724391364262747	0.9777048991148326	716.0	596.0	0.11445471602800028	8.13827270299728	0.23086136546147673	0.017389787905626317
RP3beta_neighborhood=554_alpha=0$6403144023241449_beta=1$3379884855840887_normalize_similarity=True	0.0363879593081607	0.0641153593645533	0.022516778523489937	0.045903677441458235	0.47818791946308725	0.027945476049023997	0.02532362576340327	0.03445541544505433	0.092571971804002	48.08389261744966	0.9616778523489934	5.9007382550335565	0.8986768802228412	0.9063371081206198	900.0	596.0	0.17244490149382996	8.745833693382545	0.31020994332995855	0.02387339296859871
RP3beta_neighborhood=509_alpha=0$4887105314052429_beta=0$856723326810181_normalize_similarity=False	0.19034474249441252	0.3048026959304003	0.08748322147651007	0.2124828415195807	0.8959731543624161	0.11719918588134537	0.1095461484842529	0.18416379956532322	0.29992465269933327	22.46812080536913	0.44936241610738253	32.361577181208055	0.1455458535040492	0.2034519103852233	1728.0	596.0	0.43014765100671115	10.057321020420062	0.997622403033685	0.08907405192847147
RP3beta_neighborhood=720_alpha=1$4833703230264375_beta=0$20222923533369985_normalize_similarity=False	0.2899452477509215	0.37918125934094343	0.12167785234899331	0.30545044112515096	0.9177852348993288	0.156878409398903	0.17719393171171133	0.2506890204248095	0.46508071944622253	3.7567114093959733	0.07513422818791947	74.31781879194631	0.8555511862629439	0.8763683712212124	1142.0	596.0	0.18761578985350347	8.86434827501145	1.345361840101502	0.12412032827954882
RP3beta_neighborhood=507_alpha=1$0180281935718316_beta=0$41875971052261285_normalize_similarity=True	0.3381331791774619	0.42454680255722693	0.13439597315436244	0.35093365107664254	0.9446308724832215	0.17370898798772327	0.20399601566633094	0.28611115689963884	0.5399898676673858	1.6812080536912752	0.0336241610738255	86.12852348993289	0.9036580948931546	0.9451089312396465	1003.0	596.0	0.14294547881936925	8.477167550476358	1.5078898530157439	0.1391640695212827
RP3beta_neighborhood=698_alpha=1$254604326019227_beta=1$0823164137680943_normalize_similarity=False	0.07205836722766312	0.14265073061628125	0.040167785234899334	0.0887449002059057	0.6426174496644296	0.053223172439667524	0.043969607485236824	0.07804001463909926	0.1268561160213724	40.37919463087248	0.8075838926174497	11.551040268456376	0.5778546712802768	0.5458746973290233	1420.0	596.0	0.3503722667243995	9.763098515587092	0.48747250785456653	0.040379961827390634
RP3beta_neighborhood=577_alpha=1$5238453912578895_beta=0$6782815049570574_normalize_similarity=False	0.15230115445124173	0.25621621517918014	0.07187919463087249	0.17332990109956728	0.8036912751677853	0.09668449116923326	0.08708792471355302	0.1564246223096543	0.2206747689787507	21.46476510067114	0.42929530201342286	27.608020134228184	0.1914893617021277	0.24216317703011336	1552.0	596.0	0.3739337518943494	9.861236777531298	0.8059771144300767	0.07207207286927207
RP3beta_neighborhood=29_alpha=1$596217202535946_beta=0$2874229165090889_normalize_similarity=True	0.2624792437316647	0.3161288690588028	0.09734899328859062	0.2743637466209326	0.8909395973154363	0.12750302179047698	0.157365124114198	0.22479925466518333	0.49419695218625537	12.911073825503356	0.2582214765100671	53.59580536912751	0.6655303993894683	0.55965030165983	1211.0	596.0	0.26673926535325176	9.35782322006082	1.1756089275249193	0.10697506256778117
RP3beta_neighborhood=374_alpha=1$6894101723630552_beta=0$7718601223442862_normalize_similarity=True	0.21662202448628495	0.33352647793232537	0.09872483221476511	0.23595700465844296	0.8942953020134228	0.1306024495062966	0.12524375860988748	0.20867821108706455	0.30693416871586454	17.793624161073826	0.3558724832214765	44.118624161073825	0.43828657727335135	0.3811201108566388	1264.0	596.0	0.27276409035144666	9.409460880495633	1.0595740077635663	0.09576052286054157
RP3beta_neighborhood=423_alpha=0$5092673133947772_beta=1$9655084320086946_normalize_similarity=False	0.018951691666740194	0.030276608551917165	0.012516778523489935	0.023977197254855077	0.3523489932885906	0.014478835174257751	0.014109006934261575	0.017092051111218327	0.057875208050091165	50.0	1.0	3.6297315436241613	1.0	1.0	465.0	596.0	0.06386198311322744	7.329397027546125	0.18219271827491731	0.013414254400717774
