model	metric	value
EASER_neighborhood=1861_l2_norm=18374136$168271586	nDCG	0.24616503417950902
EASER_neighborhood=1861_l2_norm=18374136$168271586	Recall	0.2955105378493335
EASER_neighborhood=1861_l2_norm=18374136$168271586	Precision	0.10030201342281879
EASER_neighborhood=1861_l2_norm=18374136$168271586	nDCGRendle2020	0.24898868492964307
EASER_neighborhood=1861_l2_norm=18374136$168271586	HR	0.9026845637583892
EASER_neighborhood=1861_l2_norm=18374136$168271586	F1	0.125867096085405
EASER_neighborhood=1861_l2_norm=18374136$168271586	MAP	0.14718225602645596
EASER_neighborhood=1861_l2_norm=18374136$168271586	MAR	0.19201033401310513
EASER_neighborhood=1861_l2_norm=18374136$168271586	MRR	0.45192332818436665
EASER_neighborhood=1861_l2_norm=18374136$168271586	ACLT	0.0
EASER_neighborhood=1861_l2_norm=18374136$168271586	APLT	0.0
EASER_neighborhood=1861_l2_norm=18374136$168271586	ARP	119.91523489932888
EASER_neighborhood=1861_l2_norm=18374136$168271586	PopREO	1.0
EASER_neighborhood=1861_l2_norm=18374136$168271586	PopRSP	1.0
EASER_neighborhood=1861_l2_norm=18374136$168271586	ItemCoverage	188.0
EASER_neighborhood=1861_l2_norm=18374136$168271586	UserCoverage	596.0
EASER_neighborhood=1861_l2_norm=18374136$168271586	Gini	0.04164931081763701
EASER_neighborhood=1861_l2_norm=18374136$168271586	SEntropy	6.669313809409652
EASER_neighborhood=1861_l2_norm=18374136$168271586	EFD	1.05105489214053
EASER_neighborhood=1861_l2_norm=18374136$168271586	EPC	0.0960605881812217
EASER_neighborhood=1861_l2_norm=28754079$46612463	nDCG	0.24594496368676147
EASER_neighborhood=1861_l2_norm=28754079$46612463	Recall	0.2955105378493335
EASER_neighborhood=1861_l2_norm=28754079$46612463	Precision	0.10030201342281879
EASER_neighborhood=1861_l2_norm=28754079$46612463	nDCGRendle2020	0.2487758898484865
EASER_neighborhood=1861_l2_norm=28754079$46612463	HR	0.9026845637583892
EASER_neighborhood=1861_l2_norm=28754079$46612463	F1	0.125867096085405
EASER_neighborhood=1861_l2_norm=28754079$46612463	MAP	0.14710590494794754
EASER_neighborhood=1861_l2_norm=28754079$46612463	MAR	0.19191764854112486
EASER_neighborhood=1861_l2_norm=28754079$46612463	MRR	0.45107000826575805
EASER_neighborhood=1861_l2_norm=28754079$46612463	ACLT	0.0
EASER_neighborhood=1861_l2_norm=28754079$46612463	APLT	0.0
EASER_neighborhood=1861_l2_norm=28754079$46612463	ARP	119.91697986577182
EASER_neighborhood=1861_l2_norm=28754079$46612463	PopREO	1.0
EASER_neighborhood=1861_l2_norm=28754079$46612463	PopRSP	1.0
EASER_neighborhood=1861_l2_norm=28754079$46612463	ItemCoverage	188.0
EASER_neighborhood=1861_l2_norm=28754079$46612463	UserCoverage	596.0
EASER_neighborhood=1861_l2_norm=28754079$46612463	Gini	0.04164108392870014
EASER_neighborhood=1861_l2_norm=28754079$46612463	SEntropy	6.669014511178063
EASER_neighborhood=1861_l2_norm=28754079$46612463	EFD	1.0505635024755338
EASER_neighborhood=1861_l2_norm=28754079$46612463	EPC	0.09601434145100476
EASER_neighborhood=1861_l2_norm=22111700$89318527	nDCG	0.246131382395074
