model	metric	value
output_EXP_2_no_rerank	nDCG	0.06718718663019803
output_EXP_2_no_rerank	Recall	0.034732983252344425
output_EXP_2_no_rerank	Precision	0.06812080536912751
output_EXP_2_no_rerank	nDCGRendle2020	0.08055390404884095
output_EXP_2_no_rerank	HR	0.4211409395973154
output_EXP_2_no_rerank	F1	0.03782583286895246
output_EXP_2_no_rerank	MAP	0.08652664589325663
output_EXP_2_no_rerank	MAR	0.022084020038711613
output_EXP_2_no_rerank	MRR	0.19141498881431768
output_EXP_2_no_rerank	ACLT	0.0
output_EXP_2_no_rerank	APLT	0.0
output_EXP_2_no_rerank	ARP	108.63204697986576
output_EXP_2_no_rerank	PopREO	1.0
output_EXP_2_no_rerank	PopRSP	1.0
output_EXP_2_no_rerank	ItemCoverage	26.0
output_EXP_2_no_rerank	UserCoverage	596.0
output_EXP_2_no_rerank	Gini	0.006139496283466772
output_EXP_2_no_rerank	SEntropy	3.9247089711274548
output_EXP_2_no_rerank	EFD	0.6409980956970702
output_EXP_2_no_rerank	EPC	0.058185686826732544
