model	metric	value
output_EXP_2_elliot	nDCG	0.08251500096276544
output_EXP_2_elliot	Recall	0.03994122293074914
output_EXP_2_elliot	Precision	0.0770979020979021
output_EXP_2_elliot	nDCGRendle2020	0.09308839455563961
output_EXP_2_elliot	HR	0.42132867132867136
output_EXP_2_elliot	F1	0.04284848118556819
output_EXP_2_elliot	MAP	0.09760343822843823
output_EXP_2_elliot	MAR	0.024885395942662578
output_EXP_2_elliot	MRR	0.22139041514041513
output_EXP_2_elliot	ACLT	0.0034965034965034965
output_EXP_2_elliot	APLT	0.0017482517482517483
output_EXP_2_elliot	ARP	112.60944125319125
output_EXP_2_elliot	PopREO	1.0
output_EXP_2_elliot	PopRSP	0.9993949950843334
output_EXP_2_elliot	ItemCoverage	55.0
output_EXP_2_elliot	UserCoverage	547.0
output_EXP_2_elliot	Gini	0.011556732466698527
output_EXP_2_elliot	SEntropy	4.6859900672993815
output_EXP_2_elliot	EFD	0.7450785056916941
output_EXP_2_elliot	EPC	0.06753308642453161
