model;nDCG;Recall;Precision;nDCGRendle2020;HR;F1;MAP;MAR;MRR;ACLT;APLT;ARP;PopREO;PopRSP;ItemCoverage;UserCoverage;Gini;SEntropy;EFD;EPC
ChatGPT-3.5;0.05742;0.08628;0.01837;0.05742;0.17267;0.02958;0.02404;0.05590;0.06982;1.73475;0.17374;58.12016;0.43521;0.82818;689;1360;0.04390;6.52283;0.20319;0.02102
AttributeItemKNN;0.05034;0.07166;0.01594;0.05034;0.14254;0.02551;0.02241;0.05003;0.06249;5.84644;0.58464;7.24181;0.07496;0.23136;1488;1361;0.27354;9.58165;0.21303;0.01917
VSM;0.04592;0.07834;0.01712;0.04592;0.15136;0.02745;0.01828;0.04574;0.04939;5.77663;0.57766;7.36657;0.04653;0.24488;1382;1361;0.24747;9.45200;0.19391;0.01748
AttributeUserKNN;0.04196;0.06264;0.01411;0.04196;0.13446;0.02254;0.01815;0.04002;0.05306;0.32697;0.03270;68.63292;0.79530;0.97046;809;1361;0.07523;7.58105;0.14594;0.01586
RP3beta;0.03097;0.04695;0.00985;0.03097;0.09552;0.01593;0.01326;0.03172;0.03786;4.43277;0.44328;28.78332;0.41911;0.47808;1984;1361;0.39997;10.02028;0.11306;0.01124
UserKNN;0.03002;0.04897;0.01051;0.03002;0.10213;0.01700;0.01221;0.02971;0.03523;0.28582;0.02858;76.73226;0.87270;0.97424;868;1361;0.07124;7.44859;0.09712;0.01088
ItemKNN;0.02873;0.04079;0.00860;0.02873;0.08229;0.01389;0.01221;0.02885;0.03520;5.96253;0.59625;25.08244;0.13088;0.20851;2139;1361;0.52833;10.40638;0.10904;0.01029
EASER;0.02107;0.03483;0.00794;0.02107;0.07568;0.01267;0.00844;0.02030;0.02391;0.03233;0.00323;120.47311;0.89825;0.99713;252;1361;0.01366;5.28650;0.06328;0.00757
MostPop;0.00914;0.01367;0.00331;0.00914;0.03233;0.00520;0.00402;0.00859;0.01129;0.00000;0.00000;138.36319;1.00000;1.00000;17;1361;0.00450;3.61987;0.02275;0.00311
Random;0.00142;0.00257;0.00059;0.00142;0.00588;0.00093;0.00053;0.00135;0.00165;6.92799;0.69280;5.78663;0.23049;0.00306;2230;1361;0.77733;11.00623;0.00499;0.00054
text-davinci-003;0.04214;0.06597;0.01440;0.04214;0.13226;0.02310;0.01630;0.03740;0.04973;1.05511;0.10719;73.17358;0.65831;0.89929;505;1361;0.02219;5.48112;0.14574;0.01548
PaLM 2;0.03456;0.05172;0.01040;0.03456;0.09384;0.01680;0.01417;0.03506;0.04045;1.94664;0.21578;55.75281;0.45066;0.76682;583;1072;0.04371;6.44403;0.12306;0.01258
