model;nDCG;Recall;Precision;nDCGRendle2020;HR;F1;MAP;MAR;MRR;ACLT;APLT;ARP;PopREO;PopRSP;ItemCoverage;UserCoverage;Gini;SEntropy;EFD;EPC
ChatGPT-3.5;0.26253;0.28202;0.0403;0.24938;0.8453;0.06985;0.09485;0.2324;0.46049;4.86366;0.16974;85.93759;0.44051;0.73814;1099;1796;0.22245;8.82599;1.01963;0.10426
VSM;0.32117;0.435;0.06462;0.31553;0.94769;0.1115;0.11525;0.30001;0.46007;4.86311;0.09726;120.89399;0.55853;0.85124;1210;1797;0.17866;8.42172;0.79313;0.08338
AttributeItemKNN;0.30656;0.44441;0.06587;0.31212;0.93267;0.11369;0.1133;0.30486;0.4287;18.19811;0.36396;61.60384;0.13711;0.40175;1507;1797;0.56704;10.07443;0.85061;0.08471
AttributeUserKNN;0.36114;0.47873;0.07314;0.3533;0.936;0.12591;0.13193;0.33304;0.49893;8.97718;0.17954;84.93656;0.53294;0.71938;1423;1797;0.36406;9.51754;0.92604;0.09629
ItemKNN;0.3605;0.49627;0.07392;0.36331;0.95715;0.12755;0.13375;0.34755;0.50147;13.09627;0.26193;74.46029;0.29958;0.58143;1504;1797;0.45097;9.78319;0.97215;0.09843
UserKNN;0.35569;0.47879;0.07198;0.35096;0.95492;0.12406;0.12921;0.33162;0.48804;5.21536;0.10431;105.69594;0.57606;0.84017;1390;1797;0.28436;9.14817;0.90132;0.09414
RP3beta;0.38292;0.5243;0.07817;0.37565;0.97496;0.13487;0.13787;0.36388;0.50183;7.24485;0.1449;104.99248;0.45809;0.7756;1349;1797;0.27484;9.08663;0.97206;0.1004
MostPop;0.15527;0.24058;0.03855;0.15742;0.74513;0.06603;0.05724;0.14851;0.22261;0;0;216.52499;1;1;79;1797;0.03702;5.97679;0.36632;0.04089
Random;0.01352;0.03443;0.00502;0.01708;0.22092;0.00868;0.00515;0.01771;0.02138;28.16973;0.56339;31.47403;0.02255;0.00015;1507;1797;0.92653;10.54518;0.04885;0.00472
EASER;0.36003;0.48339;0.07279;0.35423;0.96105;0.12545;0.1312;0.33637;0.49586;3.18976;0.0638;116.81228;0.68211;0.90327;1237;1797;0.22145;8.80256;0.8943;0.09443
text-davinci-003;0.25128;0.27947;0.04078;0.24436;0.81413;0.07053;0.09258;0.22307;0.4528;4.96828;0.14834;78.49711;0.57589;0.76015;895;1786;0.1397;8.18387;0.83088;0.0854
PaLM 2;0.36457;0.44421;0.06677;0.31479;0.65607;0.11512;0.11273;0.30019;0.41147;1.86337;0.07992;103.07255;0.56153;0.79753;865;1675;0.11606;7.76105;1.23771;0.12908
