model;nDCG;Recall;Precision;nDCGRendle2020;HR;F1;MAP;MAR;MRR;ACLT;APLT;ARP;PopREO;PopRSP;ItemCoverage;UserCoverage;Gini;SEntropy;EFD;EPC
ChatGPT;0.14652;0.10772;0.08716;0.15198;0.66275;0.07839;0.14202;0.07697;0.38043;1.55201;0.08169;99.77496;0.88917;0.86276;591;596;0.06240;7.07600;1.05333;0.09455
VSM;0.01844;0.01702;0.01846;0.02431;0.23993;0.01417;0.02222;0.01051;0.06886;7.68456;0.38423;27.65017;0.33438;0.31228;596;596;0.08068;7.58419;0.20311;0.01841
AttributeItemKNN;0.03789;0.03786;0.03557;0.04613;0.40940;0.02912;0.04064;0.02216;0.11578;10.98658;0.54933;23.55763;0.04690;0.01173;1654;596;0.42543;10.02063;0.39481;0.03477
AttributeUserKNN;0.22635;0.19473;0.16065;0.24657;0.80369;0.14451;0.21759;0.12638;0.47916;0.36409;0.01820;108.69195;0.98295;0.96933;690;596;0.09503;7.84114;1.62890;0.14793
ItemKNN;0.28346;0.26550;0.20277;0.31409;0.87584;0.18993;0.27227;0.17188;0.53687;1.00000;0.05000;95.56686;0.89775;0.91533;957;596;0.13176;8.27736;2.10464;0.19369
UserKNN;0.29618;0.26636;0.20201;0.31996;0.87919;0.18920;0.27625;0.17328;0.56750;0.22987;0.01149;108.56619;0.98913;0.98066;646;596;0.09096;7.78912;2.07397;0.18938
EASER;0.21136;0.17673;0.14354;0.22404;0.81208;0.12841;0.19535;0.11300;0.45660;0.00000;0.00000;154.00772;1.00000;1.00000;97;596;0.01876;5.56270;1.40468;0.12501
RP3beta;0.29282;0.27197;0.20294;0.31754;0.89094;0.19192;0.27204;0.17652;0.54243;0.47819;0.02391;109.37215;0.95455;0.95968;638;596;0.08305;7.65387;2.07042;0.18905
MostPop;0.15621;0.12777;0.11099;0.16748;0.70302;0.09609;0.14994;0.08096;0.36017;0.00000;0.00000;160.72156;1.00000;1.00000;64;596;0.01539;5.20076;1.06007;0.09289
Random;0.01112;0.01150;0.01200;0.01464;0.18960;0.00960;0.01361;0.00626;0.04431;10.90268;0.54513;22.38414;0.03134;0.00864;1859;596;0.78045;10.74764;0.13419;0.01180
text-davinci-003;0.14428;0.11523;0.08565;0.14542;0.67114;0.08097;0.12917;0.07847;0.34550;0.84396;0.04538;104.27056;0.92369;0.92655;463;587;0.05127;6.81341;0.98695;0.08966
PaLM 2;0.13754;0.10816;0.07509;0.13376;0.54035;0.07406;0.11710;0.07471;0.31423;0.86842;0.05022;92.49537;0.96723;0.90181;385;532;0.03835;6.09649;0.91944;0.08343
