model	nDCG	Recall	Precision	nDCGRendle2020	HR	F1	MAP	MAR	MRR	ACLT	APLT	ARP	PopREO	PopRSP	ItemCoverage	UserCoverage	Gini	SEntropy	EFD	EPC
EASER_neighborhood=2234_l2_norm=18374136$168271586	0.02690894597002119	0.05682096497673279	0.00653930933137399	0.02690894597002119	0.12270389419544453	0.011570372784952859	0.007059232966725066	0.03131888317413666	0.024665820068461772	0.08743570903747244	0.004371785451873622	96.69739162380604	0.9376803445314286	0.9961129797634989	438.0	1361.0	0.020178321766910368	5.809870537125396	0.05321464098846406	0.006344972541956486
EASER_neighborhood=2234_l2_norm=28754079$46612463	0.026889210432202517	0.05682096497673279	0.00653930933137399	0.026889210432202517	0.12270389419544453	0.011570372784952859	0.007056207509664946	0.03130357580210629	0.024646130586007016	0.08743570903747244	0.004371785451873622	96.69720793534165	0.9376803445314286	0.9961129797634989	439.0	1361.0	0.020187238842386046	5.809998218897077	0.05318402299430282	0.006342678872532971
EASER_neighborhood=2234_l2_norm=22111700$89318527	0.02691046433433887	0.05682096497673279	0.00653930933137399	0.02691046433433887	0.12270389419544453	0.011570372784952859	0.0070613940074822955	0.03133112907176096	0.02466822122485869	0.08743570903747244	0.004371785451873622	96.69882439382805	0.9376803445314286	0.9961129797634989	437.0	1361.0	0.020165357457916366	5.809588847770034	0.05321894132896424	0.006345425541697171
EASER_neighborhood=2234_l2_norm=75298605$75037934	0.026879841885998304	0.05682096497673279	0.00653930933137399	0.02687984188599831	0.12270389419544453	0.011570372784952859	0.007047125888992868	0.031227038941954444	0.02463535760132348	0.0881704628949302	0.00440852314474651	96.69842027920646	0.9376803445314286	0.9960802353912405	436.0	1361.0	0.02016269220657474	5.809653589158404	0.053164665977610534	0.006340703296604276
EASER_neighborhood=2234_l2_norm=67855082$99364877	0.026911727419804663	0.05682096497673279	0.00653930933137399	0.026911727419804663	0.12270389419544453	0.011570372784952859	0.007063555048239525	0.03134031349497918	0.024670622381255614	0.08376193975018369	0.004188096987509184	96.69882439382805	0.9376803445314286	0.9962766814937056	433.0	1361.0	0.02013696101461182	5.809176400714018	0.0532227040017868	0.00634587032301005
EASER_neighborhood=2234_l2_norm=65314571$02427867	0.02691603781798444	0.05682096497673279	0.00653930933137399	0.02691603781798444	0.12270389419544453	0.011570372784952859	0.007066904661413229	0.031364805290227775	0.02467599265988949	0.08596620132255695	0.004298310066127848	96.69816311535634	0.9376803445314286	0.9961784644815511	437.0	1361.0	0.020172366081814164	5.80977680051283	0.053231714164505756	0.006346753909576219
EASER_neighborhood=2234_l2_norm=94715397$59319083	0.026885150460127166	0.05682096497673279	0.00653930933137399	0.02688515046012717	0.12270389419544453	0.011570372784952859	0.007049951865367706	0.03126989958363948	0.024639394710430397	0.08596620132255695	0.004298310066127848	96.70128581925056	0.9376803445314286	0.9961784644815511	434.0	1361.0	0.02013120275554081	5.8089531433102515	0.053172366164902306	0.006341399924744773
EASER_neighborhood=2234_l2_norm=99623163$26251854	0.027006445477348515	0.05718834190546167	0.006576047024246877	0.027006445477348515	0.12343864805290228	0.01163716859017629	0.007058471352968319	0.03129439137888807	0.02469898824584188	0.08376193975018369	0.004188096987509184	96.70113886847906	0.9380234608790763	0.9962766814937056	433.0	1361.0	0.02013136727722864	5.80905920634045	0.05342519036566153	0.006367717518443379
EASER_neighborhood=2234_l2_norm=66207192$32507165	0.0269013599002476	0.05682096497673279	0.00653930933137399	0.026901359900247595	0.12270389419544453	0.011570372784952859	0.007064779638001954	0.03133419054616703	0.024666686199876376	0.08596620132255695	0.004298310066127848	96.70014695077148	0.9376803445314286	0.9961784644815511	436.0	1361.0	0.02016186959813626	5.8095511854786395	0.05320567585341911	0.006345449313873464
EASER_neighborhood=2234_l2_norm=85597542$39503306	0.026882775454933047	0.05682096497673279	0.00653930933137399	0.026882775454933047	0.12270389419544453	0.011570372784952859	0.00705122049253288	0.03125459221160911	0.024639692320503184	0.08155767817781043	0.004077883908890522	96.7033798677443	0.9376803445314286	0.9963748864299314	433.0	1361.0	0.02012968915601354	5.808885865323876	0.053172383474412103	0.006341532012747175
