model	nDCG	Recall	Precision	nDCGRendle2020	HR	F1	MAP	MAR	MRR	ACLT	APLT	ARP	PopREO	PopRSP	ItemCoverage	UserCoverage	Gini	SEntropy	EFD	EPC
output_EXP_1_elliot	0.05903473985151164	0.14774609015639373	0.00577736890524379	0.05903473985151164	0.11683532658693652	0.011029281058186893	0.008692686078930605	0.0930555044464888	0.04175224032159043	3.8040478380864764	0.15252447034440716	46.272250036803094	0.4865412232573554	0.7468426246433708	832.0	1072.0	0.04926455664458407	6.985728865515359	0.10368874251858463	0.010338239171552587
VSM_sim=cosine_up=tfidf_ip=binary_load=ChainedKG	0.07116916418197172	0.16770756796473182	0.007538574577516533	0.07116916418197174	0.316678912564291	0.014339083125010426	0.01243496607952945	0.11761596865050208	0.05749155434509488	30.19250551065393	0.6038501102130786	7.534636296840558	0.06996146709034919	0.1933252331304577	1856.0	1361.0	0.39691753482019265	10.157219844710294	0.1073343106807693	0.00968279779888257
AttributeItemKNN_nn=20_sim=cosine_bin=False_load=ChainedKG	0.0710363439493517	0.14658339456282146	0.00659808963997061	0.0710363439493517	0.28655400440852313	0.012548211518292112	0.01207806823853327	0.10377834925300025	0.06912305676351085	30.80455547391624	0.6160911094783248	7.087200587803086	0.08553444647741486	0.16844040780775774	1867.0	1361.0	0.42202626884883887	10.243908524577602	0.10670828032450896	0.009614785883794162
AttributeUserKNN_nn=60_sim=cosine_profile=binary_bin=False_load=ChainedKG	0.06680287602807145	0.153808474161156	0.007097722263041881	0.06680287602807143	0.3085966201322557	0.013491988371724413	0.010966229187781524	0.09878839088905218	0.06042826397522488	4.836149889786921	0.09672299779573844	41.77850110213078	0.7170418422773386	0.9093307546246914	2010.0	1361.0	0.19455264743364253	8.99637707946473	0.08459253624289033	0.00904151325949936
ItemKNN_nn=100_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.04890074236860659	0.11626255204506492	0.004893460690668626	0.04890074236860659	0.22116091109478325	0.009328371716721342	0.007465888212020505	0.0740173891746265	0.04160182941168412	26.789125642909625	0.5357825128581926	16.63285819250551	0.32589670237190876	0.32288836857502307	2234.0	1361.0	0.664771740965209	10.799203187240055	0.0649900843005622	0.006238401427007035
UserKNN_nn=60_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.05400172348951979	0.13737447954935098	0.0060690668626010285	0.0540017234895198	0.2623071271124173	0.011554058746418284	0.008616242803171475	0.08588733774185649	0.04253988058524077	4.8199853049228505	0.09639970609845701	42.12936076414401	0.8256893101195599	0.909650992317183	2067.0	1361.0	0.19847931945932884	9.01181279388259	0.06467821798463338	0.0070807665107608725
EASER_neighborhood=2234_l2_norm=18374136$168271586	0.05009528541892067	0.1493999510164095	0.0068919911829537096	0.05009528541892067	0.29684055841293167	0.013098216984869175	0.006994850716452835	0.07726157237325496	0.03011869339457066	0.4357090374724467	0.008714180749448934	64.35842762674504	0.9447194041139813	0.9922332755421833	990.0	1361.0	0.048212409344436935	7.076109492780582	0.05700263850548411	0.006634212234501174
RP3beta_neighborhood=29_alpha=1$596217202535946_beta=0$2874229165090889_normalize_similarity=True	0.05009697625872946	0.1162013225569434	0.005084496693607642	0.05009697625872946	0.23512123438648053	0.009679157374223922	0.008138028763759268	0.07877810433504776	0.04427171126647404	24.994121969140338	0.4998824393828068	12.478662747979426	0.378799870936072	0.38574457464244294	2222.0	1361.0	0.5540295869222361	10.635970865010131	0.06678349448399767	0.006564289858318893
MostPop	0.037606383183125466	0.12679402400195935	0.006054371785451874	0.037606383183125466	0.26671565025716387	0.01148973891620033	0.004054085402731386	0.04812931667891257	0.01848893309860925	0.0	0.0	71.6973989713446	1.0	1.0	61.0	1361.0	0.02289899717450483	5.767733160453159	0.04136568949138607	0.005056117974721949
Random_seed=42	0.005846345941409811	0.018760715160421257	0.0008670095518001471	0.005846345941409811	0.0426157237325496	0.0016489200181334237	0.000829404423115139	0.010057310800881706	0.0032159402498272427	34.2035268185158	0.6840705363703159	5.762806759735489	0.05755469983328164	0.002747500901386791	2234.0	1361.0	0.8998639142407667	11.102315377861832	0.008535704915651915	0.0008073647725082277
