model	metric	value
VSM_sim=correlation_up=binary_ip=tfidf_load=ChainedKG	nDCG	0.06504746208234476
VSM_sim=correlation_up=binary_ip=tfidf_load=ChainedKG	Recall	0.1648297820230223
VSM_sim=correlation_up=binary_ip=tfidf_load=ChainedKG	Precision	0.007362233651726671
VSM_sim=correlation_up=binary_ip=tfidf_load=ChainedKG	nDCGRendle2020	0.06504746208234476
VSM_sim=correlation_up=binary_ip=tfidf_load=ChainedKG	HR	0.31594415870683323
VSM_sim=correlation_up=binary_ip=tfidf_load=ChainedKG	F1	0.014005909032946507
VSM_sim=correlation_up=binary_ip=tfidf_load=ChainedKG	MAP	0.010664137596863013
VSM_sim=correlation_up=binary_ip=tfidf_load=ChainedKG	MAR	0.10798701934851823
VSM_sim=correlation_up=binary_ip=tfidf_load=ChainedKG	MRR	0.04895857552596643
VSM_sim=correlation_up=binary_ip=tfidf_load=ChainedKG	ACLT	29.53857457751653
VSM_sim=correlation_up=binary_ip=tfidf_load=ChainedKG	APLT	0.5907714915503306
VSM_sim=correlation_up=binary_ip=tfidf_load=ChainedKG	ARP	7.222145481263777
VSM_sim=correlation_up=binary_ip=tfidf_load=ChainedKG	PopREO	0.025354289083626476
VSM_sim=correlation_up=binary_ip=tfidf_load=ChainedKG	PopRSP	0.21935470652687547
VSM_sim=correlation_up=binary_ip=tfidf_load=ChainedKG	ItemCoverage	1744.0
VSM_sim=correlation_up=binary_ip=tfidf_load=ChainedKG	UserCoverage	1361.0
VSM_sim=correlation_up=binary_ip=tfidf_load=ChainedKG	Gini	0.27382750164274916
VSM_sim=correlation_up=binary_ip=tfidf_load=ChainedKG	SEntropy	9.638375482278962
VSM_sim=correlation_up=binary_ip=tfidf_load=ChainedKG	EFD	0.09600273945347768
VSM_sim=correlation_up=binary_ip=tfidf_load=ChainedKG	EPC	0.00876881402090543
VSM_sim=correlation_up=tfidf_ip=binary_load=ChainedKG	nDCG	0.07088946658885666
VSM_sim=correlation_up=tfidf_ip=binary_load=ChainedKG	Recall	0.16727896154788144
VSM_sim=correlation_up=tfidf_ip=binary_load=ChainedKG	Precision	0.007523879500367377
VSM_sim=correlation_up=tfidf_ip=binary_load=ChainedKG	nDCGRendle2020	0.07088946658885666
VSM_sim=correlation_up=tfidf_ip=binary_load=ChainedKG	HR	0.31741366642174873
VSM_sim=correlation_up=tfidf_ip=binary_load=ChainedKG	F1	0.014311849109253576
VSM_sim=correlation_up=tfidf_ip=binary_load=ChainedKG	MAP	0.012447413800195775
